Cohort Name,Index,CIVM_ID,Animal_ID,Cage_Assignment,Cage Number,Sex,Genotype,Marking,DOB,Age(Years),Age (days),Age Months,Handling Date,Age_at_Handling,Group_Assignment,Glucose_week0,Glucose_week6,Glucose_week12,Glucose_week20,Glucose_Week_28,Glucose_Week30,Weight_week0,Weight_week1,Weight_week2,Weight_week3,Weight_week4,Weight_week5,Weight_week6,Weight_week7,Weight_week8,Weight_week9,Weight_week10,Weight_week11,Weight_week12,Weight_week13,Weight_week14,Weight_week15,Weight_week16,Weight_week17,Weight_week18,Weight_week19,Weight_week20,Weight_week21,Weight_week22,Weight_week23,Weight_week24,Weight_week25,Weight_week26,Weight_week27,Weight_week28,Weight_week29
HFD_Cohort1_10_5_20,1, ,201012_1,1,1275958,M,E4HN,LR,1/15/20,2.083333333,762,25.4,1/11/21,12.07,HFD,142, ,173, ,,,25,26,27,32,32,33,34,35,36,37,37,38,38,39,41,40,40,40,40,40,40,40,,,,,,,,
HFD_Cohort1_10_5_20,2,210118-2:0,201012_2,1,1275958,M,E4HN,RR,1/15/20,2.083333333,762,25.4,1/11/21,12.07,HFD,123, ,191, ,,,25,29,28,32,32,33,34,36,37,37,36,36,37,37,37,37,37,36,36,36,36,35,,,,,,,,
HFD_Cohort1_10_5_20,3,210118-3:0,201012_3,1,1275958,M,E4HN,LL,1/21/20,2.066666667,756,25.2,1/11/21,11.87,HFD,145, ,198, ,,,28,31,33,37,37,39,42,45,48,49,50,50,50,51,52,52,51,50,49,48,48,48,,,,,,,,
HFD_Cohort1_10_5_20,4,210118-4:0,201012_4,2,1275948,F,E4HN,R,1/15/20,2.083333333,762,25.4,1/11/21,12.07,HFD,116, ,241,237,,,21,23,23,28,32,32,33,36,38,37,36,36,36,38,40,40,39,39,42,44,44,44,46,,,,,,,
HFD_Cohort1_10_5_20,5,210118-5:0,201012_5,2,1275948,F,E4HN,L,1/15/20,2.083333333,762,25.4,1/11/21,12.07,HFD,185, ,241,264,,,23,26,25,27,34,34,36,37,39,39,39,39,39,41,43,42,40,40,40,44,44,44,44,,,,,,,
HFD_Cohort1_10_5_20,6,210118-6:0,201012_6,2,1275948,F,E4HN,LL,1/15/20,2.083333333,762,25.4,1/11/21,12.07,HFD,128, ,206,236,,,23,26,28,32,32,34,35,37,38,39,40,41,41,42,44,43,42,42,43,45,45,45,47,,,,,,,
HFD_Cohort1_10_5_20,7,210118-7:0,201012_7,8,1299774,F,E4HN,L,12/25/19,2.138888889,783,26.1,1/11/21,12.77,HFD,161, ,193,137,,,25,27,28,29,29,31,33,34,36,36,36,36,37,37,38,37,36,36,36,37,36,36,35,,,,,,,
HFD_Cohort1_10_5_20,8,210118-8:0,201012_8,8,1299774,F,E4HN,R,12/25/19,2.138888889,783,26.1,1/11/21,12.77,HFD,98, ,177, ,,,26,30,30,31,34,35,38,40,43,44,44,44,44,45,46,47,48,48,48,48,48,48,,,,,,,,
HFD_Cohort1_10_5_20,9,210118-9:0,201012_9,8,1299774,F,E4HN,LL,12/25/19,2.138888889,783,26.1,1/11/21,12.77,HFD,123, ,202,140,,,25,27,29,30,31,31,32,32,33,36,38,39,39,38,37,37,36,36,36,37,37,37,34,,,,,,,
HFD_Cohort1_10_5_20,10,210118-10:0,201012_10,8,1299774,F,E4HN,LR,12/25/19,2.138888889,783,26.1,1/11/21,12.77,HFD,147, ,186, ,,,28,29,31,31,32,32,32,33,34,35,35,36,36,36,36,37,38,38,38,39,39,39,,,,,,,,
