PumpGroup,NameGroup,Source,CIVM,Treatment,Animal_ID,Genotype,Sex,DOB,Weight,Perfusion ,Age_Months,Age_Imaging,Age_Years,Age_Label,Specimens ID,DWI,GRE,T1,T2,Notes,AgeExVivoMRI,Diet
1,original_2019_scans,In House,190610_1,Control,190610_1,APOE44,male,4/2/14,30.7,8/8/15,16.2,16,1.35,,190610_1:1,N57437,N57439,,,,16.2,Control
2,original_2019_scans,In House,190610_6,Control,190610_6,APOE44,female,4/2/14,25.6,8/8/15,16.2,16,1.35,,190610_6:1,N57442,N57443,140,28,,16.2,Control
3,original_2019_scans,In House,190610_2,Control,190610_2,APOE44,male,4/2/14,32.1,8/8/15,16.2,16,1.35,,190610_2:1,N57446,N57445,140,25,,16.2,Control
4,original_2019_scans,In House,190610_7,Control,190610_7,APOE44,female,4/2/14,28.7,8/8/15,16.2,16,1.35,,190610_7:1,N57447,N57448,115,26,,16.2,Control
5,original_2019_scans,In House,190610_3,Control,190610_3,APOE44,male,4/2/14,31.6,8/8/15,16.2,16,1.35,,190610_3:1,N57449,N57450,115,26,,16.2,Control
6,original_2019_scans,In House,190610_8,Control,190610_8,APOE44,female,4/2/14,25.7,8/8/15,16.2,16,1.35,,190610_8:1,N57451,N57517,117,28,,16.2,Control
7,original_2019_scans,In House,190715_7,Control,190715_7,APOE22,female,5/25/14,27.5,9/12/15,15.57,16,1.3,,190715_7:1,N57496,N57497,102,22,,15.57,Control
8,original_2019_scans,In House,190715_6,Control,190715_6,APOE22,male,5/25/14,30.3,9/12/15,15.57,16,1.3,,190715_6:1,N57498,N57499,115,23,,15.57,Control
9,original_2019_scans,In House,190715_8,Control,190715_8,APOE22,female,5/25/14,28,9/12/15,15.57,16,1.3,,190715_8:1,N57500,N57501,108,22,,15.57,Control
10,original_2019_scans,In House,190715_9,Control,190715_9,APOE22,male,5/25/14,29.3,9/12/15,15.57,16,1.3,,190715_9:1,N57502,N57503,114,24,,15.57,Control
11,original_2019_scans,In House,190715_10,Control,190715_10,APOE22,male,4/25/14,32.3,9/12/15,16.57,17,1.38,,190715_10:1,N57513,N57514,112,24,,16.57,Control
12,original_2019_scans,In House,190610_4,Control,190610_4,APOE44,male,4/2/14,30.6,8/8/15,16.2,16,1.35,,190610_4:1,N57515,N57516,114,26,,16.2,Control
13,original_2019_scans,In House,190610_9,Control,190610_9,APOE44,female,4/2/14,24.6,8/8/15,16.2,16,1.35,,190610_9:1,N57518,N57519,114,28,,16.2,Control
14,original_2019_scans,In House,190610_5,Control,190610_5,APOE44,male,4/2/14,32.2,8/8/15,16.2,16,1.35,,190610_5:1,N57520,N57521,111,26,,16.2,Control
15,original_2019_scans,In House,190610_10,Control,190610_10,APOE44,female,4/2/14,29.6,8/8/15,16.2,16,1.35,,190610_10:1,N57522,N57523,111,26,,16.2,Control
16,original_2019_scans,In House,190715_1,Control,190715_1,APOE33,male,4/25/14,32.7,9/12/15,16.57,17,1.38,,190715_1:1,N57546,N57547,113,26,,16.57,Control
17,original_2019_scans,In House,190715_2,Control,190715_2,APOE33,male,4/25/14,36.9,9/12/15,16.57,17,1.38,,190715_2:1,N57548,N57549,113,26,,16.57,Control
18,original_2019_scans,In House,190715_3,Control,190715_3,APOE33,male,4/25/14,32.4,9/12/15,16.57,17,1.38,,190715_3:1,N57550,N57551,116,26,,16.57,Control
19,original_2019_scans,In House,190715_5,Control,190715_5,APOE22,male,5/25/14,32,9/12/15,17.73,18,1.48,,190715_5:1,N57552,N57553,115,27,,17.73,Control
20,original_2019_scans,In House,190715_4,Control,190715_4,HN,female,3/20/14,27.8,9/12/15,17.73,18,1.48,,190715_4:1,N57554,N57555,114,26,,17.73,Control
21,original_2019_scans,In House,190909_9,Control,190909_9,HN,male,4/25/14,33.4,10/11/15,17.53,18,1.46,,190909_9:1,N57559,N57560,149,26,,17.53,Control
22,original_2019_scans,In House,190909_10,Control,190909_10,APOE33,female,4/25/14,36.4,10/11/15,17.53,18,1.46,,190909_10:1,N57580,N57581,125,27,,17.53,Control
23,original_2019_scans,In House,190909_11,Control,190909_11,APOE33,female,4/25/14,36.2,10/11/15,17.53,18,1.46,,190909_11:1,N57582,N57583,108,24,,17.53,Control
24,original_2019_scans,In House,190909_12,Control,190909_12,APOE33,female,4/25/14,30.4,10/11/15,17.53,18,1.46,,190909_12:1,N57584,N57585,108,24,,17.53,Control
24,original_2019_scans,In House,190909_13,Control,190909_13,APOE33,male,4/25/14,34,10/11/15,17.53,18,1.46,,190909_13:1,N57587,N57588,114,25,,17.53,Control
