,Date :,9/27/2022 12:02,,,,,,,,,,,
,Motion Threshold (au):,18,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,White House Light, 0:00:00.000,300,0,9000,,,,,,,,
,,,,,,,,,,,,,
Animal_ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
220905-1,VF092722_092602,Day1_Trial1,Chamber1,,,White House Light,31,270.867,90.29,90.29,1.96,0,162
,,,,,,,,,,,,,
220905-2,VF092722_092602,Day1_Trial1,Chamber2,,,White House Light,49,201.667,67.22,67.22,10.54,0,919
,,,,,,,,,,,,,
220905-3,VF092722_095352,Day1_Trial2,Chamber1,,,White House Light,20,279.1,93.03,93.03,1.89,0,248
,,,,,,,,,,,,,
220905-4,VF092722_095352,Day1_Trial2,Chamber2,,,White House Light,22,292.7,97.57,97.57,0.85,0,64
,,,,,,,,,,,,,
220905-5,VF092722_100340,Day1_Trial3,Chamber1,,,White House Light,12,288.033,96.01,96.01,0.97,0,204
,,,,,,,,,,,,,
220905-6,VF092722_100340,Day1_Trial3,Chamber2,,,White House Light,40,230.733,76.91,76.91,6.3,0,386
,,,,,,,,,,,,,
220905-7,VF092722_101235,Day1_Trial4,Chamber1,,,White House Light,49,252.3,84.1,84.1,3.71,0,228
,,,,,,,,,,,,,
220905-8,VF092722_101235,Day1_Trial4,Chamber2,,,White House Light,21,281.033,93.68,93.68,1.78,0,348
,,,,,,,,,,,,,
220905-9,VF092722_102132,Day1_Trial5,Chamber1,,,White House Light,5,298.1,99.37,99.37,0.26,0,81
,,,,,,,,,,,,,
220905-10,VF092722_102132,Day1_Trial5,Chamber2,,,White House Light,27,290.167,96.72,96.72,0.75,0,42
,,,,,,,,,,,,,
220905-11,VF092722_103056,Day1_Trial6,Chamber1,,,White House Light,5,297.967,99.32,99.32,0.18,0,34
,,,,,,,,,,,,,
220905-12,VF092722_103056,Day1_Trial6,Chamber2,,,White House Light,20,285.633,95.21,95.21,0.88,0,80
,,,,,,,,,,,,,
220905-13,VF092722_104059,Day1_Trial7,Chamber1,,,White House Light,7,298.467,99.49,99.49,0.15,0,64
,,,,,,,,,,,,,
220905-14,VF092722_104059,Day1_Trial7,Chamber2,,,White House Light,13,292.467,97.49,97.49,0.71,0,266
,,,,,,,,,,,,,
220905-15,VF092722_105015,Day1_Trial8,Chamber1,,,White House Light,12,294.4,98.13,98.13,0.35,0,82
,,,,,,,,,,,,,
220905-16,VF092722_105015,Day1_Trial8,Chamber2,,,White House Light,15,294.033,98.01,98.01,0.36,0,43
,,,,,,,,,,,,,
220905-17,VF092722_105958,Day1_Trial9,Chamber1,,,White House Light,6,295.333,98.44,98.44,0.39,0,53
,,,,,,,,,,,,,
220905-18,VF092722_105958,Day1_Trial9,Chamber2,,,White House Light,37,275.367,91.79,91.79,2.36,0,150
,,,,,,,,,,,,,
220905-19,VF092722_110913,Day1_Trial10,Chamber1,,,White House Light,19,280.867,93.62,93.62,1.23,0,77
,,,,,,,,,,,,,
220905-20,VF092722_110913,Day1_Trial10,Chamber2,,,White House Light,57,207.5,69.17,69.17,10.23,0,517
,,,,,,,,,,,,,
220905-21,VF092722_111824,Day1_Trial11,Chamber1,,,White House Light,3,299,99.67,99.67,0.05,0,34
,,,,,,,,,,,,,
220905-22,VF092722_111824,Day1_Trial11,Chamber2,,,White House Light,31,264.533,88.18,88.18,2.72,0,327
,,,,,,,,,,,,,
220905-23,VF092722_112727,Day1_Trial12,Chamber1,,,White House Light,11,295.333,98.44,98.44,0.51,0,112
,,,,,,,,,,,,,
220905-24,VF092722_112727,Day1_Trial12,Chamber2,,,White House Light,20,279.3,93.1,93.1,1.39,0,265
,,,,,,,,,,,,,
220905-25,VF092722_113619,Day1_Trial13,Chamber1,,,White House Light,13,290.6,96.87,96.87,1.49,0,244
,,,,,,,,,,,,,
220905-26,VF092722_113619,Day1_Trial13,Chamber2,,,White House Light,31,271.533,90.51,90.51,1.7,0,155
,,,,,,,,,,,,,
220905-27,VF092722_114529,Day1_Trial14,Chamber1,,,White House Light,15,293.767,97.92,97.92,0.78,0,223
,,,,,,,,,,,,,
220905-28,VF092722_114529,Day1_Trial14,Chamber2,,,White House Light,62,239.733,79.91,79.91,4.86,0,260
,,,,,,,,,,,,,
220905-29,VF092722_115357,Day1_Trial15,Chamber1,,,White House Light,43,264.867,88.29,88.29,3.49,0,283
