,Date :,10/24/2022 13:24,,,,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AnimalID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index,,,
221003-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,This animal didn't perform day0 test due to her schocked during test trial
221003-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
221003-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
221003-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
221003-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
221003-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
,,,,,,,,,,,,,,,,
221003-2,VF102422_100157,Day0_Trial1,Chamber1,,,Sound 1,0,0,0,0,480.62,0,1736,,,
221003-2,VF102422_100157,Day0_Trial1,Chamber1,,,Sound 2,3,7.033,1.36,23.44,133.7,0,773,,,
221003-2,VF102422_100157,Day0_Trial1,Chamber1,,,Sound 3,8,13.6,2.64,45.33,107.51,0,971,,,
221003-2,VF102422_100157,Day0_Trial1,Chamber1,,,Shock 1,0,0,0,0,1595.18,53,4915,,,
221003-2,VF102422_100157,Day0_Trial1,Chamber1,,,Shock 2,0,0,0,0,1411.57,148,3216,,,
221003-2,VF102422_100157,Day0_Trial1,Chamber1,,,Shock 3,0,0,0,0,1538.65,0,3317,,,
,,,,,,,,,,,,,,,,
221003-3,VF102422_100157,Day0_Trial1,Chamber2,,,Sound 1,7,3.567,0.69,11.89,98.06,0,442,,,
221003-3,VF102422_100157,Day0_Trial1,Chamber2,,,Sound 2,10,17.767,3.44,59.22,15.55,0,192,,,
221003-3,VF102422_100157,Day0_Trial1,Chamber2,,,Sound 3,4,28.733,5.57,95.78,0.91,0,36,,,
221003-3,VF102422_100157,Day0_Trial1,Chamber2,,,Shock 1,0,0,0,0,578.4,59,2225,,,
221003-3,VF102422_100157,Day0_Trial1,Chamber2,,,Shock 2,0,0,0,0,512.05,0,1502,,,
221003-3,VF102422_100157,Day0_Trial1,Chamber2,,,Shock 3,0,0,0,0,793.48,0,6348,,,
,,,,,,,,,,,,,,,,
221003-4,VF102422_101544,Day0_Trial2,Chamber1,,,Sound 1,0,0,0,0,526.3,1,1694,,,
221003-4,VF102422_101544,Day0_Trial2,Chamber1,,,Sound 2,5,7.8,1.51,26,152.89,0,859,,,
221003-4,VF102422_101544,Day0_Trial2,Chamber1,,,Sound 3,4,7.133,1.38,23.78,236.35,0,1171,,,
221003-4,VF102422_101544,Day0_Trial2,Chamber1,,,Shock 1,0,0,0,0,1193.95,118,4771,,,
221003-4,VF102422_101544,Day0_Trial2,Chamber1,,,Shock 2,0,0,0,0,1106.55,105,2768,,,
221003-4,VF102422_101544,Day0_Trial2,Chamber1,,,Shock 3,0,0,0,0,1188.1,51,3126,,,
,,,,,,,,,,,,,,,,
221003-5,VF102422_101544,Day0_Trial2,Chamber2,,,Sound 1,0,0,0,0,139.16,0,1199,,,
221003-5,VF102422_101544,Day0_Trial2,Chamber2,,,Sound 2,7,4.1,0.79,13.67,56.3,0,363,,,
221003-5,VF102422_101544,Day0_Trial2,Chamber2,,,Sound 3,10,18.3,3.55,61,16.06,0,270,,,
221003-5,VF102422_101544,Day0_Trial2,Chamber2,,,Shock 1,0,0,0,0,641.13,24,2244,,,
221003-5,VF102422_101544,Day0_Trial2,Chamber2,,,Shock 2,0,0,0,0,493.55,0,2001,,,
221003-5,VF102422_101544,Day0_Trial2,Chamber2,,,Shock 3,0,0,0,0,875.25,9,2977,,,
,,,,,,,,,,,,,,,,
221003-6,VF102422_102845,Day0_Trial3,Chamber1,,,Sound 1,0,0,0,0,479.13,0,1980,,,
221003-6,VF102422_102845,Day0_Trial3,Chamber1,,,Sound 2,5,8.4,1.63,28,194.84,0,1053,,,
221003-6,VF102422_102845,Day0_Trial3,Chamber1,,,Sound 3,7,24.033,4.66,80.11,10.71,0,270,,,
221003-6,VF102422_102845,Day0_Trial3,Chamber1,,,Shock 1,0,0,0,0,1302.32,274,4006,,,
221003-6,VF102422_102845,Day0_Trial3,Chamber1,,,Shock 2,0,0,0,0,986.52,112,3557,,,
221003-6,VF102422_102845,Day0_Trial3,Chamber1,,,Shock 3,0,0,0,0,1394.72,0,5188,,,
,,,,,,,,,,,,,,,,
221003-7,VF102422_102845,Day0_Trial3,Chamber2,,,Sound 1,0,0,0,0,235.27,0,1053,,,
