,Date :,10/26/2022 12:24,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Day2_Acclimation, 0:00:00.000,180,0,5400,,,,,,,,
,Day2_CSTone, 0:03:00.000,360,5400,10800,,,,,,,,
,Day2_Exploration, 0:06:00.000,450,10800,13500,,,,,,,,
,,,,,,,,,,,,,
AnimalID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
221003-1,VF102622_093520,Day2_Trial1,Chamber1,,,Day2_Acclimation,6,4.1,0.91,2.28,253.2,0,1754
221003-1,VF102622_093520,Day2_Trial1,Chamber1,,,Day2_CSTone,47,42.5,9.44,11.81,135.24,0,1913
221003-1,VF102622_093520,Day2_Trial1,Chamber1,,,Day2_Exploration,24,17.7,3.93,3.93,64.04,0,606
,,,,,,,,,,,,,
221003-2,VF102622_093520,Day2_Trial1,Chamber2,,,Day2_Acclimation,21,39,8.67,21.67,162.38,0,1490
221003-2,VF102622_093520,Day2_Trial1,Chamber2,,,Day2_CSTone,49,64.533,14.34,17.93,147.04,0,1259
221003-2,VF102622_093520,Day2_Trial1,Chamber2,,,Day2_Exploration,13,22.467,4.99,4.99,161.41,0,1259
,,,,,,,,,,,,,
221003-3,VF102622_094723,Day2_Trial2,Chamber1,,,Day2_Acclimation,21,89.4,19.87,49.67,80.79,0,933
221003-3,VF102622_094723,Day2_Trial2,Chamber1,,,Day2_CSTone,28,185.267,41.17,51.46,40.55,0,911
221003-3,VF102622_094723,Day2_Trial2,Chamber1,,,Day2_Exploration,7,71.667,15.93,15.93,15.09,0,404
,,,,,,,,,,,,,
221003-4,VF102622_094723,Day2_Trial2,Chamber2,,,Day2_Acclimation,9,7.967,1.77,4.43,317.01,0,2095
221003-4,VF102622_094723,Day2_Trial2,Chamber2,,,Day2_CSTone,41,65.567,14.57,18.21,166.1,0,2533
221003-4,VF102622_094723,Day2_Trial2,Chamber2,,,Day2_Exploration,19,29.267,6.5,6.5,125.48,0,1533
,,,,,,,,,,,,,
221003-5,VF102622_095824,Day2_Trial3,Chamber1,,,Day2_Acclimation,35,25.7,5.71,14.28,189.81,0,1395
221003-5,VF102622_095824,Day2_Trial3,Chamber1,,,Day2_CSTone,45,79,17.56,21.94,103.05,0,1003
221003-5,VF102622_095824,Day2_Trial3,Chamber1,,,Day2_Exploration,16,28.533,6.34,6.34,155.32,0,977
,,,,,,,,,,,,,
221003-6,VF102622_095824,Day2_Trial3,Chamber2,,,Day2_Acclimation,25,27.567,6.13,15.31,276.97,0,1698
221003-6,VF102622_095824,Day2_Trial3,Chamber2,,,Day2_CSTone,60,107.233,23.83,29.79,109.11,0,1867
221003-6,VF102622_095824,Day2_Trial3,Chamber2,,,Day2_Exploration,19,29.267,6.5,6.5,120.08,0,1867
,,,,,,,,,,,,,
221003-7,VF102622_101122,Day2_Trial4,Chamber1,,,Day2_Acclimation,18,22.767,5.06,12.65,200.47,0,1745
221003-7,VF102622_101122,Day2_Trial4,Chamber1,,,Day2_CSTone,64,123.633,27.47,34.34,89.87,0,1015
221003-7,VF102622_101122,Day2_Trial4,Chamber1,,,Day2_Exploration,20,28.7,6.38,6.38,134.01,0,1001
,,,,,,,,,,,,,
221003-8,VF102622_101122,Day2_Trial4,Chamber2,,,Day2_Acclimation,56,42.033,9.34,23.35,86.64,0,1085
221003-8,VF102622_101122,Day2_Trial4,Chamber2,,,Day2_CSTone,87,124.933,27.76,34.7,68.21,0,1280
221003-8,VF102622_101122,Day2_Trial4,Chamber2,,,Day2_Exploration,12,9.933,2.21,2.21,178.43,0,1280
,,,,,,,,,,,,,
221003-9,VF102622_102219,Day1_Trial5,Chamber1,,,Day2_Acclimation,29,29.633,6.59,16.46,146.67,0,1339
221003-9,VF102622_102219,Day1_Trial5,Chamber1,,,Day2_CSTone,62,121.567,27.01,33.77,79.64,0,3716
221003-9,VF102622_102219,Day1_Trial5,Chamber1,,,Day2_Exploration,17,27.067,6.01,6.01,90.52,0,938
,,,,,,,,,,,,,
221003-10,VF102622_102219,Day1_Trial5,Chamber2,,,Day2_Acclimation,13,14,3.11,7.78,287.95,0,2227
221003-10,VF102622_102219,Day1_Trial5,Chamber2,,,Day2_CSTone,59,80.533,17.9,22.37,120.05,0,1811
221003-10,VF102622_102219,Day1_Trial5,Chamber2,,,Day2_Exploration,11,14.6,3.24,3.24,152.73,0,1152
,,,,,,,,,,,,,
221003-11,VF102622_103312,Day2_Trial6,Chamber1,,,Day2_Acclimation,54,55,12.22,30.56,77.44,0,1191
221003-11,VF102622_103312,Day2_Trial6,Chamber1,,,Day2_CSTone,71,93.7,20.82,26.03,79.46,0,870
221003-11,VF102622_103312,Day2_Trial6,Chamber1,,,Day2_Exploration,21,26.133,5.81,5.81,95.98,0,870
,,,,,,,,,,,,,
221003-12,VF102622_103312,Day2_Trial6,Chamber2,,,Day2_Acclimation,39,35.667,7.93,19.81,172.14,0,2643
221003-12,VF102622_103312,Day2_Trial6,Chamber2,,,Day2_CSTone,79,158.033,35.12,43.9,57.54,0,1620
