,Date :,12/19/2022 11:55,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
AnimalID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
221128-1,VF121922_094516,Day0_Trial1,Chamber1,,,Sound 1,0,0,0,0,427.77,4,1768
221128-1,VF121922_094516,Day0_Trial1,Chamber1,,,Sound 2,4,2.267,0.44,7.56,308.27,0,1346
221128-1,VF121922_094516,Day0_Trial1,Chamber1,,,Sound 3,8,16.333,3.17,54.44,76.41,0,711
221128-1,VF121922_094516,Day0_Trial1,Chamber1,,,Shock 1,0,0,0,0,1646.18,240,4254
221128-1,VF121922_094516,Day0_Trial1,Chamber1,,,Shock 2,0,0,0,0,953.63,87,2594
221128-1,VF121922_094516,Day0_Trial1,Chamber1,,,Shock 3,0,0,0,0,917.45,211,2353
,,,,,,,,,,,,,
221128-2,VF121922_094516,Day0_Trial1,Chamber2,,,Sound 1,0,0,0,0,188.55,0,1117
221128-2,VF121922_094516,Day0_Trial1,Chamber2,,,Sound 2,5,2.5,0.48,8.33,85.4,0,523
221128-2,VF121922_094516,Day0_Trial1,Chamber2,,,Sound 3,14,14.833,2.87,49.44,27.13,0,375
221128-2,VF121922_094516,Day0_Trial1,Chamber2,,,Shock 1,0,0,0,0,1073.25,93,3558
221128-2,VF121922_094516,Day0_Trial1,Chamber2,,,Shock 2,0,0,0,0,865.2,0,3539
221128-2,VF121922_094516,Day0_Trial1,Chamber2,,,Shock 3,0,0,0,0,703.9,26,3513
,,,,,,,,,,,,,
221128-3,VF121922_100048,Day0_Trial2,Chamber1,,,Sound 1,0,0,0,0,508.27,0,2139
221128-3,VF121922_100048,Day0_Trial2,Chamber1,,,Sound 2,1,0.367,0.07,1.22,228.46,0,1179
221128-3,VF121922_100048,Day0_Trial2,Chamber1,,,Sound 3,12,13.567,2.63,45.22,49.62,0,440
221128-3,VF121922_100048,Day0_Trial2,Chamber1,,,Shock 1,0,0,0,0,1676.1,46,4458
221128-3,VF121922_100048,Day0_Trial2,Chamber1,,,Shock 2,0,0,0,0,1573.3,149,4583
221128-3,VF121922_100048,Day0_Trial2,Chamber1,,,Shock 3,0,0,0,0,1629.45,0,4186
,,,,,,,,,,,,,
221128-4,VF121922_100048,Day0_Trial2,Chamber2,,,Sound 1,1,2.333,0.45,7.78,254.59,0,2201
221128-4,VF121922_100048,Day0_Trial2,Chamber2,,,Sound 2,7,4.533,0.88,15.11,68.28,0,804
221128-4,VF121922_100048,Day0_Trial2,Chamber2,,,Sound 3,18,16.967,3.29,56.56,18.73,0,282
221128-4,VF121922_100048,Day0_Trial2,Chamber2,,,Shock 1,0,0,0,0,665.05,97,3314
221128-4,VF121922_100048,Day0_Trial2,Chamber2,,,Shock 2,0,0,0,0,458.62,47,1169
221128-4,VF121922_100048,Day0_Trial2,Chamber2,,,Shock 3,0,0,0,0,485.67,0,1562
,,,,,,,,,,,,,
221128-5,VF121922_101335,Day0_Trial3,Chamber1,,,Sound 1,2,0.767,0.15,2.56,323.28,0,1781
221128-5,VF121922_101335,Day0_Trial3,Chamber1,,,Sound 2,6,5.367,1.04,17.89,291.77,0,1961
221128-5,VF121922_101335,Day0_Trial3,Chamber1,,,Sound 3,5,17.567,3.4,58.56,79.24,0,717
221128-5,VF121922_101335,Day0_Trial3,Chamber1,,,Shock 1,0,0,0,0,894.23,232,2431
221128-5,VF121922_101335,Day0_Trial3,Chamber1,,,Shock 2,0,0,0,0,942.4,244,1974
221128-5,VF121922_101335,Day0_Trial3,Chamber1,,,Shock 3,0,0,0,0,981.67,25,2486
,,,,,,,,,,,,,
221128-6,VF121922_101335,Day0_Trial3,Chamber2,,,Sound 1,0,0,0,0,185.11,0,1435
221128-6,VF121922_101335,Day0_Trial3,Chamber2,,,Sound 2,6,5.2,1.01,17.33,63.21,0,1224
221128-6,VF121922_101335,Day0_Trial3,Chamber2,,,Sound 3,6,14.733,2.86,49.11,74.67,0,879
221128-6,VF121922_101335,Day0_Trial3,Chamber2,,,Shock 1,0,0,0,0,663.18,74,3011
221128-6,VF121922_101335,Day0_Trial3,Chamber2,,,Shock 2,0,0,0,0,741.53,3,2379
221128-6,VF121922_101335,Day0_Trial3,Chamber2,,,Shock 3,0,0,0,0,1589.2,8,9486
,,,,,,,,,,,,,
221128-7,VF121922_102604,Day0_Trial4,Chamber1,,,Sound 1,0,0,0,0,441.34,1,1761
221128-7,VF121922_102604,Day0_Trial4,Chamber1,,,Sound 2,4,5.6,1.09,18.67,250.04,0,1952
221128-7,VF121922_102604,Day0_Trial4,Chamber1,,,Sound 3,6,14.633,2.84,48.78,104.24,0,1170
