"Date :",05/27/21 16:53:36
"Motion Threshold (au):",15
"Detection Method:","Linear"
"Min Freeze Duration (f):",10



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"Sound 1"," 0:02:00.000",30,3600,900
"Sound 2"," 0:04:02.000",30,7260,900
"Sound 3"," 0:06:04.000",30,10920,900
"Shock 1"," 0:02:30.000",2,4500,60
"Shock 2"," 0:04:32.000",2,8160,60
"Shock 3"," 0:06:34.000",2,11820,60

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF020121_100740","1",Chamber1,"","","Sound 1",1,30.000,5.81,100.00,0.16,0,12
"VF020121_100740","1",Chamber1,"","","Sound 2",1,30.000,5.81,100.00,0.01,0,2
"VF020121_100740","1",Chamber1,"","","Sound 3",1,30.000,5.81,100.00,0.01,0,2
"VF020121_100740","1",Chamber1,"","","Shock 1",2,1.967,0.38,98.33,1.77,0,16
"VF020121_100740","1",Chamber1,"","","Shock 2",1,2.000,0.39,100.00,1.65,0,12
"VF020121_100740","1",Chamber1,"","","Shock 3",1,2.000,0.39,100.00,0.07,0,3

"VF020121_100740","1",Chamber 2,"","","Sound 1",6,28.767,5.57,95.89,1.89,0,157
"VF020121_100740","1",Chamber 2,"","","Sound 2",2,29.933,5.80,99.78,0.14,0,17
"VF020121_100740","1",Chamber 2,"","","Sound 3",1,30.000,5.81,100.00,0.02,0,5
"VF020121_100740","1",Chamber 2,"","","Shock 1",1,0.633,0.12,31.67,85.70,0,1092
"VF020121_100740","1",Chamber 2,"","","Shock 2",3,1.500,0.29,75.00,6.02,0,104
"VF020121_100740","1",Chamber 2,"","","Shock 3",1,1.200,0.23,60.00,18.68,0,266

"VF020121_103959","2",Chamber1,"","","Sound 1",1,30.000,5.81,100.00,0.16,0,8
"VF020121_103959","2",Chamber1,"","","Sound 2",1,30.000,5.81,100.00,0.02,0,6
"VF020121_103959","2",Chamber1,"","","Sound 3",1,30.000,5.81,100.00,0.04,0,10
"VF020121_103959","2",Chamber1,"","","Shock 1",3,1.867,0.36,93.33,3.77,0,25
"VF020121_103959","2",Chamber1,"","","Shock 2",2,1.867,0.36,93.33,2.80,0,19
"VF020121_103959","2",Chamber1,"","","Shock 3",2,1.733,0.34,86.67,3.58,0,25

"VF020121_103959","2",Chamber 2,"","","Sound 1",3,29.867,5.79,99.56,0.18,0,39
"VF020121_103959","2",Chamber 2,"","","Sound 2",1,30.000,5.81,100.00,0.00,0,1
"VF020121_103959","2",Chamber 2,"","","Sound 3",1,30.000,5.81,100.00,0.00,0,0
"VF020121_103959","2",Chamber 2,"","","Shock 1",2,1.933,0.37,96.67,1.67,0,22
"VF020121_103959","2",Chamber 2,"","","Shock 2",2,1.833,0.36,91.67,4.02,0,95
"VF020121_103959","2",Chamber 2,"","","Shock 3",2,1.900,0.37,95.00,1.15,0,16

"VF020121_105420","3",Chamber1,"","","Sound 1",1,30.000,5.81,100.00,0.23,0,11
"VF020121_105420","3",Chamber1,"","","Sound 2",1,30.000,5.81,100.00,0.08,0,5
"VF020121_105420","3",Chamber1,"","","Sound 3",1,30.000,5.81,100.00,0.00,0,0
