"Date :",05/27/21 17:16:07
"Motion Threshold (au):",15
"Detection Method:","Linear"
"Min Freeze Duration (f):",10



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"Day2_Acclimation"," 0:00:00.000",180,0,5400
"Day2_CSTone"," 0:03:00.000",360,5400,10800
"Day2_Exploration"," 0:06:00.000",450,10800,13500

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF022421_102942","day2_1",Chamber1,"","","Day2_Acclimation",15,179.133,39.81,99.52,0.46,0,30
"VF022421_102942","day2_1",Chamber1,"","","Day2_CSTone",2,269.767,59.95,74.94,0.06,0,21
"VF022421_102942","day2_1",Chamber1,"","","Day2_Exploration",2,89.767,19.95,19.95,0.14,0,21

"VF022421_102942","day2_1",Chamber 2,"","","Day2_Acclimation",57,156.033,34.67,86.69,3.26,0,106
"VF022421_102942","day2_1",Chamber 2,"","","Day2_CSTone",6,268.567,59.68,74.60,0.16,0,94
"VF022421_102942","day2_1",Chamber 2,"","","Day2_Exploration",6,88.567,19.68,19.68,0.48,0,94

"VF022421_104050","day2_2",Chamber1,"","","Day2_Acclimation",15,179.267,39.84,99.59,0.43,0,22
"VF022421_104050","day2_2",Chamber1,"","","Day2_CSTone",6,269.333,59.85,74.81,0.16,0,24
"VF022421_104050","day2_2",Chamber1,"","","Day2_Exploration",3,89.467,19.88,19.88,0.16,0,23

"VF022421_104050","day2_2",Chamber 2,"","","Day2_Acclimation",30,171.800,38.18,95.44,1.12,0,76
"VF022421_104050","day2_2",Chamber 2,"","","Day2_CSTone",14,267.567,59.46,74.32,0.22,0,38
"VF022421_104050","day2_2",Chamber 2,"","","Day2_Exploration",14,87.567,19.46,19.46,0.63,0,38

"VF022421_105045","day2_3",Chamber1,"","","Day2_Acclimation",52,168.933,37.54,93.85,1.59,0,57
"VF022421_105045","day2_3",Chamber1,"","","Day2_CSTone",31,266.700,59.27,74.08,0.56,0,41
"VF022421_105045","day2_3",Chamber1,"","","Day2_Exploration",25,87.533,19.45,19.45,1.38,0,36

"VF022421_105045","day2_3",Chamber 2,"","","Day2_Acclimation",2,179.967,39.99,99.98,0.08,0,18
"VF022421_105045","day2_3",Chamber 2,"","","Day2_CSTone",1,270.000,60.00,75.00,0.02,0,8
