"Date :",07/09/21 12:02:19
"Motion Threshold (au):",15
"Detection Method:","Linear"
"Min Freeze Duration (f):",10



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"White House Light"," 0:00:00.000",300,0,9000

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF070721_101912","day1_trial",Chamber1,"","","White House Light",49,283.600,94.53,94.53,7.11,0,46627

"VF070721_101912","day1_trial",Chamber 2,"","","White House Light",50,262.333,87.44,87.44,17.37,0,54950

"VF070721_102748","day1_trial2",Chamber1,"","","White House Light",10,296.700,98.90,98.90,4.92,0,40687

"VF070721_102748","day1_trial2",Chamber 2,"","","White House Light",60,270.467,90.16,90.16,10.87,0,69862

"VF070721_103444","day1_trial3",Chamber1,"","","White House Light",39,282.767,94.26,94.26,6.32,0,40457

"VF070721_103444","day1_trial3",Chamber 2,"","","White House Light",133,190.667,63.56,63.56,24.26,0,54580

"VF070721_104209","day1_trial4",Chamber1,"","","White House Light",1,299.800,99.93,99.93,4.84,0,36638

"VF070721_104209","day1_trial4",Chamber 2,"","","White House Light",31,296.067,98.69,98.69,8.16,0,63804

"VF070721_104925","day1_trial5",Chamber1,"","","White House Light",26,296.467,98.82,98.82,5.59,0,45968

"VF070721_104925","day1_trial5",Chamber 2,"","","White House Light",102,232.633,77.54,77.54,18.67,0,72000

"VF070721_105625","day1_trial6",Chamber1,"","","White House Light",22,278.733,92.91,92.91,14.15,0,65498

"VF070721_105625","day1_trial6",Chamber 2,"","","White House Light",55,263.667,87.89,87.89,12.37,0,68722

"VF070721_110327","day1_trial7",Chamber1,"","","White House Light",24,291.300,97.10,97.10,5.25,0,41935

"VF070721_110327","day1_trial7",Chamber 2,"","","White House Light",118,234.667,78.22,78.22,15.62,0,51733

"VF070721_111042","day1_trial8",Chamber1,"","","White House Light",10,296.667,98.89,98.89,4.59,0,35425

"VF070721_111042","day1_trial8",Chamber 2,"","","White House Light",52,276.200,92.07,92.07,9.86,0,58928

"VF070721_111736","day1_trial9",Chamber1,"","","White House Light",68,274.100,91.37,91.37,7.50,0,39987

"VF070721_111736","day1_trial9",Chamber 2,"","","White House Light",52,257.500,85.83,85.83,16.38,0,71350

"VF070721_112455","day1_trial10",Chamber1,"","","White House Light",58,286.367,95.46,95.46,7.29,0,52119

"VF070721_112455","day1_trial10",Chamber 2,"","","White House Light",24,276.600,92.20,92.20,21.01,0,69752

"VF070721_113154","day1_trial11",Chamber1,"","","White House Light",38,288.000,96.00,96.00,6.32,0,43735

"VF070721_113154","day1_trial11",Chamber 2,"","","White House Light",78,263.900,87.97,87.97,11.13,0,66265

"VF070721_113840","day1_trial12",Chamber1,"","","White House Light",24,297.800,99.27,99.27,8.57,0,44861

"VF070721_113840","day1_trial12",Chamber 2,"","","White House Light",126,226.300,75.43,75.43,20.00,0,70012

"VF070721_114627","day1_trial13",Chamber1,"","","White House Light",32,295.400,98.47,98.47,5.23,0,42034

"VF070721_114627","day1_trial13",Chamber 2,"","","White House Light",69,260.067,86.69,86.69,15.37,0,58401

"VF070721_115320","day1_trial14",Chamber1,"","","White House Light",39,254.600,84.87,84.87,22.67,0,74039

"VF070721_115320","day1_trial14",Chamber 2,"","","White House Light",141,240.867,80.29,80.29,19.05,0,64850

"VF070721_120043","day1_trial15",Chamber1,"","","White House Light",49,256.567,85.52,85.52,25.87,0,74170

"VF070721_120043","day1_trial15",Chamber 2,"","","White House Light",114,249.800,83.27,83.27,12.49,0,71024

"VF070721_120752","day1_trial16",Chamber1,"","","White House Light",6,299.200,99.73,99.73,4.53,0,40075

