Index,AnimalID,AnimalID,HF_Cage_Assignment,Cage_Number ,Sex,Genotype,Marking,DOB,Age(Years),Age (days),Age Months,Weight Starting 10/5/20 g,Group_Assignment,Glucose 10/16/20 10/5/20 g,Glucose 12/2/20,Glucose 3/10/21,Weight 10/16/20,Weight Week 10/19/20,Weight_Week_10/19/20,Weight Week 11/2/20,Weight Week 11/9/20,Weight Week 11/16/20,Weight Week 11/23/20,Weight Week 11/30/20,Weight Week 12/7/20,Weight Week 12/14/20,Weight Week 12/21/20,Weight Week 12/28/20,Weight Week 1/4/20,Weight Week 1/11/20,Weight Week 1/18/21,Weight Week 1/25/21,Weight Week 2/1/21,Weight Week 2/1/21,Weight Week 2/9/21,Weight Week 2/15/21,Weight Week 2/22/21,,Weight Week 3/5/21,Handling_Date 1,Open_Field_Date,High_Fat_Diet_Start,Age_HFD_Start,MiddPoint,Inital_HFD_END,Handling_Day2,Age_HFD_End,Comments
1,201012-1,210118-1,1,1275958,M,E4HN,LR,1/15/20,1.44,527.00,17.57,25.00,HFD,142.00,173.00,,26.00,27.00,27.00,32.00,32.00,33.00,34.00,35.00,36.00,37.00,37.00,38.00,38.00,39.00,41.00,40.00,40.00,40.00,40.00,40.00,40.00,,,10/5/20,10/12/20,10/19/20,9.27,11/30/20,1/11/21,1/11/21,12.07,
2,201012-2,210118-2,1,1275958,M,E4HN,RR,1/15/20,1.44,527.00,17.57,25.00,HFD,123.00,191.00,,29.00,28.00,28.00,32.00,32.00,33.00,34.00,36.00,37.00,37.00,36.00,36.00,37.00,37.00,37.00,37.00,37.00,36.00,36.00,36.00,36.00,,,10/5/20,10/12/20,10/19/20,9.27,11/30/20,1/11/21,1/11/21,12.07,
3,201012-3,210118-3,1,1275958,M,E4HN,LL,1/21/20,1.43,521.00,17.37,28.00,HFD,145.00,198.00,,31.00,33.00,34.00,37.00,37.00,39.00,42.00,45.00,48.00,49.00,50.00,50.00,50.00,51.00,52.00,52.00,51.00,50.00,49.00,48.00,48.00,,,10/5/20,10/12/20,10/19/20,9.07,11/30/20,1/11/21,1/11/21,11.87,
4,201012-4,210118-4,2,1275948,F,E4HN,R,1/15/20,1.44,527.00,17.57,21.00,HFD,116.00,241.00,237.00,23.00,23.00,23.00,28.00,32.00,32.00,33.00,36.00,38.00,37.00,36.00,36.00,36.00,38.00,40.00,40.00,39.00,39.00,42.00,44.00,44.00,,46.00,10/5/20,10/12/20,10/19/20,9.27,11/30/20,1/11/21,1/11/21,12.07,
5,201012-5,210118-5,2,1275948,F,E4HN,L,1/15/20,1.44,527.00,17.57,23.00,HFD,185.00,241.00,264.00,26.00,25.00,26.00,27.00,34.00,34.00,36.00,37.00,39.00,39.00,39.00,39.00,39.00,41.00,43.00,42.00,40.00,40.00,40.00,44.00,44.00,,44.00,10/5/20,10/12/20,10/19/20,9.27,11/30/20,1/11/21,1/11/21,12.07,
6,201012-6,210118-6,2,1275948,F,E4HN,LL,1/15/20,1.44,527.00,17.57,23.00,HFD,128.00,206.00,236.00,26.00,28.00,29.00,32.00,32.00,34.00,35.00,37.00,38.00,39.00,40.00,41.00,41.00,42.00,44.00,43.00,42.00,42.00,43.00,45.00,45.00,,47.00,10/5/20,10/12/20,10/19/20,9.27,11/30/20,1/11/21,1/11/21,12.07,
7,201012-7,210118-7,8,1299774,F,E4HN,L,12/25/19,1.50,548.00,18.27,25.00,HFD,161.00,193.00,137.00,27.00,28.00,29.00,29.00,29.00,31.00,33.00,34.00,36.00,36.00,36.00,36.00,37.00,37.00,38.00,37.00,36.00,36.00,36.00,37.00,36.00,,35.00,10/5/20,10/12/20,10/19/20,9.97,11/30/20,1/11/21,1/11/21,12.77,
8,201012-8,210118-8,8,1299774,F,E4HN,R,12/25/19,1.50,548.00,18.27,26.00,HFD,98.00,177.00,,30.00,30.00,30.00,31.00,34.00,35.00,38.00,40.00,43.00,44.00,44.00,44.00,44.00,45.00,46.00,47.00,48.00,48.00,48.00,48.00,48.00,,,10/5/20,10/12/20,10/19/20,9.97,11/30/20,1/11/21,1/11/21,12.77,
9,201012-9,210118-9,8,1299774,F,E4HN,LL,12/25/19,1.50,548.00,18.27,25.00,HFD,123.00,202.00,140.00,27.00,29.00,30.00,30.00,31.00,31.00,32.00,32.00,33.00,36.00,38.00,39.00,39.00,38.00,37.00,37.00,36.00,36.00,36.00,37.00,37.00,,34.00,10/5/20,10/12/20,10/19/20,9.97,11/30/20,1/11/21,1/11/21,12.77,
10,201012-10,210118-10,8,1299774,F,E4HN,LR,12/25/19,1.50,548.00,18.27,28.00,HFD,147.00,186.00,,29.00,31.00,31.00,31.00,32.00,32.00,32.00,33.00,34.00,35.00,35.00,36.00,36.00,36.00,36.00,37.00,38.00,38.00,38.00,39.00,39.00,,,10/5/20,10/12/20,10/19/20,9.97,11/30/20,1/11/21,1/11/21,12.77,
