,Test,Animal,Animal_ID,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,Max speed,Freezing episodes,Time freezing,Time mobile,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
1,1,B217,217,LRRK2/NOS2,B,Day1,1,MWM_150,2/7/22,45,5.56,0.124,0.228,0,0,45,7.5,1.065,0.141,33.4,3.921,0.117,2.5,0.331,0.131,1.5,0.243,0.162,,,14.1,1.484,0.105,,F,
2,2,B218,218,LRRK2/NOS2,B,Day1,1,MWM_150,2/7/22,60,14.984,0.249,1.866,0,0,60,28.9,7.007,0.243,13.2,2.906,0.219,13,2.706,0.209,4.7,2.364,0.507,,,37.2,8.991,0.242,,F,
3,3,B219,219,LRRK2/NOS2,B,Day1,1,MWM_150,2/7/22,7.8,1.777,0.229,0.343,0,0,7.8,1,0.303,0.293,2.7,0.556,0.206,1.1,0.343,0.303,2.9,0.575,0.198,,2.7,0,0,<ufunc 'isnan'>,,F,
4,4,B220,220,LRRK2/NOS2,B,Day1,1,MWM_150,2/7/22,60,12.762,0.212,0.301,0,0,60,0.8,0.202,0.243,28.7,6.409,0.223,5.5,1.062,0.193,24.9,5.089,0.205,,,39,8.083,0.207,,F,
5,5,B209,209,LRRK2/NOS2,B,Day1,1,MWM_150,2/7/22,60,17.142,0.286,2.273,0,0,60,13.5,5.158,0.381,5.6,1.141,0.206,25.3,6.588,0.26,14.8,3.997,0.27,,,35.6,9.577,0.269,,F,
6,6,B210,210,LRRK2/NOS2,B,Day1,1,MWM_150,2/7/22,6,1.436,0.24,0.975,0,0,6,0,0,<ufunc 'isnan'>,0,0,<ufunc 'isnan'>,0,0,<ufunc 'isnan'>,6,1.436,0.24,,1,0,0,<ufunc 'isnan'>,,F,
7,7,B211,211,LRRK2/NOS2,B,Day1,1,MWM_150,2/7/22,44.3,9.563,0.216,0.368,0,0,44.3,5.6,1.446,0.257,24.2,5.201,0.215,0,0,<ufunc 'isnan'>,14.4,2.916,0.202,,,18.8,3.793,0.202,,F,
8,8,B212,212,LRRK2/NOS2,B,Day1,1,MWM_150,2/7/22,60,19.741,0.329,3.497,0,0,60,26.6,9.563,0.359,12.3,2.6,0.211,18.7,3.404,0.182,2,4.129,2.138,,,29.3,9.541,0.326,,F,
9,9,B214,214,LRRK2/NOS2,B,Day1,1,MWM_150,2/7/22,9.9,0.784,0.079,0.22,0,0,9.9,0,0,<ufunc 'isnan'>,0,0,<ufunc 'isnan'>,0,0,<ufunc 'isnan'>,9.9,0.784,0.079,,4.9,0,0,<ufunc 'isnan'>,,F,
10,10,B213,213,LRRK2/NOS2,B,Day1,1,MWM_150,2/7/22,60,10.446,0.175,0.324,0,0,60,2.2,0.387,0.178,16.7,3.073,0.185,7.2,1.429,0.198,34,5.557,0.163,,,32.3,5.214,0.161,,M,
11,11,31133,31133,NOS2_KO,A,Day1,1,MWM_150,2/7/22,6,0.95,0.159,0.273,0,0,6,0,0,<ufunc 'isnan'>,0,0,<ufunc 'isnan'>,0,0,<ufunc 'isnan'>,6,0.95,0.159,,0.9,0,0,<ufunc 'isnan'>,,M,
12,12,31134,31134,NOS2_KO,A,Day1,1,MWM_150,2/7/22,60,12.606,0.21,3.057,0,0,60,21.8,4.797,0.221,7.9,1.693,0.213,14.9,2.188,0.147,14.4,3.67,0.259,,,42.3,7.433,0.176,,M,
13,13,31135,31135,NOS2_KO,A,Day1,1,MWM_150,2/7/22,20.6,4.196,0.204,1.566,0,0,20.6,0,0,<ufunc 'isnan'>,1.4,0.477,0.333,0,0,<ufunc 'isnan'>,19.1,3.719,0.194,,15.5,0.7,0.466,0.663,,M,
14,14,31124,31124,NOS2_KO,A,Day1,1,MWM_150,2/7/22,60,21.103,0.352,5.565,0,0,60,5.3,5.093,0.958,32.9,7.457,0.227,5,0.75,0.15,15.7,7.63,0.488,,,42,12.252,0.291,,F,
