"","Row","Winding_numbers","CohortID","AnimalID","Time","Stage","Test","Treatment.x","Code","Apparatus","Date","Duration","Distance","Mean.speed","NE...time","NE...distance","NE...average.speed","NW...time","NW...distance","NW...average.speed","SE...time","SE...distance","SE...average.speed","SW...time","SW...distance","SW...average.speed","Island...distance.to.first.entry","Island...latency.to.first.entry","Thigmitaxis...time","Thigmitaxis...distance","Thigmitaxis...average.speed","Diet.x","Genotype","Sex","QA","PumpGroup","NameGroup","Source","CIVM_ID","Treatment.y","OldBadeaID","Geno","Sex_other","IDStripped","TestDate","Age_Substracted","DOB","Weight","Perfusion","Age_Months","Age_Imaging","Age_Years","Age_Label","Specimens.ID","DWI","GRE","T1","T2","Notes","AgeExVivoMRI","Diet.y","Age_Handling","Unnamed..28","age","Age_inMonths"
"1","210614-10_Day1_T1_positions.csv",3.6011003838858,210614,"210614_10",1,"Day1",10,"E3HN_M","C","MWM_150","6/21/21",8.5,0.635,0.075,0,0,NA,0,0,NA,0,0,NA,4.4,0.567,0.128,0.567,4.4,0,0,NA,"HFD","APOE33HN","Male","","XI","13","In House","211001-12","HFD","210614_10","APOE33HN","male",210614,"6/14/21",11,"6/19/20","46.4","10/5/17",15.77,16,"1.333333333","","211001-12:1","","","","","","15.77","HFD",11.96666667,"",60,"12 months"
"2","210614-10_Day1_T2_positions.csv",23.2359005870095,210614,"210614_10",2,"Day1",41,"E3HN_M","C","MWM_150","6/21/21",60,8.629,0.144,14.4,2.354,0.163,25.7,3.043,0.119,10.8,1.825,0.168,9.1,1.407,0.155,NA,NA,26,3.177,0.122,"HFD","APOE33HN","Male","","XI","13","In House","211001-12","HFD","210614_10","APOE33HN","male",210614,"6/14/21",11,"6/19/20","46.4","10/5/17",15.77,16,"1.333333333","","211001-12:1","","","","","","15.77","HFD",11.96666667,"",60,"12 months"
"3","210614-10_Day1_T3_positions.csv",20.2921117277765,210614,"210614_10",3,"Day1",72,"E3HN_M","C","MWM_150","6/21/21",60,9.873,0.165,18.6,3,0.161,19.6,2.776,0.142,15.8,3.044,0.193,6,1.054,0.177,NA,NA,42.7,6.419,0.15,"HFD","APOE33HN","Male","","XI","13","In House","211001-12","HFD","210614_10","APOE33HN","male",210614,"6/14/21",11,"6/19/20","46.4","10/5/17",15.77,16,"1.333333333","","211001-12:1","","","","","","15.77","HFD",11.96666667,"",60,"12 months"
"4","210614-10_Day1_T4_positions.csv",24.5921601616319,210614,"210614_10",4,"Day1",103,"E3HN_M","C","MWM_150","6/21/21",60,2.81,0.047,28.4,1.475,0.052,0,0,NA,31.6,1.334,0.042,0,0,NA,NA,NA,3.8,0.349,0.092,"HFD","APOE33HN","Male","","XI","13","In House","211001-12","HFD","210614_10","APOE33HN","male",210614,"6/14/21",11,"6/19/20","46.4","10/5/17",15.77,16,"1.333333333","","211001-12:1","","","","","","15.77","HFD",11.96666667,"",60,"12 months"
"5","210614-10_Day2_T1_positions.csv",28.7404780047465,210614,"210614_10",1,"Day2",134,"E3HN_M","C","MWM_150","6/22/21",60,2.199,0.037,10.5,0.948,0.09,0,0,NA,49.5,1.251,0.025,0,0,NA,NA,NA,34.5,1.354,0.039,"HFD","APOE33HN","Male","","XI","13","In House","211001-12","HFD","210614_10","APOE33HN","male",210614,"6/14/21",11,"6/19/20","46.4","10/5/17",15.77,16,"1.333333333","","211001-12:1","","","","","","15.77","HFD",11.96666667,"",60,"12 months"
"6","210614-10_Day2_T2_positions.csv",22.9505213245642,210614,"210614_10",2,"Day2",165,"E3HN_M","C","MWM_150","6/22/21",60,7.689,0.128,5.3,1.129,0.212,6.8,1.14,0.168,17.4,1.687,0.097,30.4,3.733,0.123,NA,NA,37.9,5.493,0.145,"HFD","APOE33HN","Male","","XI","13","In House","211001-12","HFD","210614_10","APOE33HN","male",210614,"6/14/21",11,"6/19/20","46.4","10/5/17",15.77,16,"1.333333333","","211001-12:1","","","","","","15.77","HFD",11.96666667,"",60,"12 months"
"7","210614-10_Day2_T3_positions.csv",10.5887158879235,210614,"210614_10",3,"Day2",196,"E3HN_M","C","MWM_150","6/22/21",24.9,2.013,0.081,0,0,NA,0,0,NA,12.3,0.873,0.071,8.5,1.055,0.125,1.928,20.8,1.2,0.097,0.081,"HFD","APOE33HN","Male","","XI","13","In House","211001-12","HFD","210614_10","APOE33HN","male",210614,"6/14/21",11,"6/19/20","46.4","10/5/17",15.77,16,"1.333333333","","211001-12:1","","","","","","15.77","HFD",11.96666667,"",60,"12 months"
"8","210614-10_Day2_T4_positions.csv",14.09216360932,210614,"210614_10",4,"Day2",227,"E3HN_M","C","MWM_150","6/22/21",42,4.518,0.108,0,0,NA,16.5,1.512,0.092,3.8,0.722,0.192,17.7,2.197,0.124,4.431,37.9,7.3,0.74,0.102,"HFD","APOE33HN","Male","","XI","13","In House","211001-12","HFD","210614_10","APOE33HN","male",210614,"6/14/21",11,"6/19/20","46.4","10/5/17",15.77,16,"1.333333333","","211001-12:1","","","","","","15.77","HFD",11.96666667,"",60,"12 months"
"9","210614-10_Day3_T1_positions.csv",18.3140081161228,210614,"210614_10",1,"Day3",258,"E3HN_M","C","MWM_150","6/23/21",52.2,6.615,0.127,7.7,1.017,0.132,17.9,1.572,0.088,6.5,1.089,0.168,16,2.892,0.18,6.571,48.1,8.6,1.493,0.173,"HFD","APOE33HN","Male","","XI","13","In House","211001-12","HFD","210614_10","APOE33HN","male",210614,"6/14/21",11,"6/19/20","46.4","10/5/17",15.77,16,"1.333333333","","211001-12:1","","","","","","15.77","HFD",11.96666667,"",60,"12 months"
"10","210614-10_Day3_T2_positions.csv",22.4525970501793,210614,"210614_10",2,"Day3",289,"E3HN_M","C","MWM_150","6/23/21",60,9.172,0.153,8.6,0.446,0.052,3.8,0.645,0.171,10.7,2.116,0.197,36.2,5.966,0.165,9.172,59.4,12.5,1.773,0.142,"HFD","APOE33HN","Male","","XI","13","In House","211001-12","HFD","210614_10","APOE33HN","male",210614,"6/14/21",11,"6/19/20","46.4","10/5/17",15.77,16,"1.333333333","","211001-12:1","","","","","","15.77","HFD",11.96666667,"",60,"12 months"
