Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
1,190909_1,HN_M,B,Day1,1,MWM_150,9/9/2019,60.0,12.248,0.204,0.0,0.000,,21.9,4.577,0.209,10.5,2.304,0.219,25.0,4.826,0.193,,,33.5,5.989,0.179,Control
2,190909_2,APOE33_M,C,Day1,1,MWM_150,9/9/2019,3.4,0.231,0.068,0.0,0.000,,0.0,0.000,,0.0,0.000,,3.4,0.231,0.068,0.128,1.3,0.0,0.000,,Control
3,190909_3,APOE33_F,A,Day1,1,MWM_150,9/9/2019,36.8,5.262,0.143,9.4,1.426,0.151,0.0,0.000,,8.7,1.707,0.195,17.2,2.061,0.120,5.190,34.8,13.7,1.458,0.106,Control
4,190909_4,APOE33_F,A,Day1,1,MWM_150,9/9/2019,60.0,9.303,0.155,2.1,0.395,0.191,19.4,3.709,0.191,0.0,0.000,,38.6,5.199,0.135,,,37.6,5.467,0.145,Control
5,190909_8,APOE33_M,C,Day1,1,MWM_150,9/9/2019,60.0,11.282,0.188,3.9,0.938,0.242,4.4,1.148,0.263,12.7,3.098,0.243,37.3,5.654,0.152,,,37.0,6.188,0.167,Control
6,190909_9,APOE33_F,A,Day1,1,MWM_150,9/9/2019,51.4,10.458,0.204,13.8,2.840,0.205,10.5,2.226,0.212,10.4,2.122,0.204,13.5,2.650,0.196,10.073,49.3,17.4,3.415,0.196,Control
7,190909_1,HN_M,B,Day1,2,MWM_150,9/9/2019,60.0,13.430,0.224,23.6,5.009,0.213,11.3,2.694,0.238,13.3,2.942,0.221,9.3,2.314,0.250,,,32.4,6.756,0.208,Control
8,190909_2,APOE33_M,C,Day1,2,MWM_150,9/9/2019,60.0,9.308,0.155,23.9,3.915,0.164,1.9,0.306,0.158,23.5,3.389,0.144,2.7,0.309,0.116,,,35.6,5.049,0.142,Control
9,190909_3,APOE33_F,A,Day1,2,MWM_150,9/9/2019,60.0,9.127,0.152,34.2,4.642,0.136,10.0,1.841,0.183,4.9,0.844,0.172,6.2,1.136,0.184,,,44.4,6.263,0.141,Control
10,190909_4,APOE33_F,A,Day1,2,MWM_150,9/9/2019,47.0,4.785,0.102,19.9,1.025,0.052,1.9,0.344,0.181,12.4,1.463,0.118,11.9,1.851,0.156,4.712,44.9,29.2,2.311,0.079,Control
11,190909_8,APOE33_M,C,Day1,2,MWM_150,9/9/2019,60.0,11.447,0.191,26.0,4.472,0.172,21.0,3.958,0.189,7.0,1.549,0.222,4.6,1.139,0.249,,,42.6,7.552,0.177,Control
12,190909_9,APOE33_F,A,Day1,2,MWM_150,9/9/2019,60.0,8.070,0.134,17.3,1.643,0.095,23.3,2.751,0.118,6.6,1.348,0.204,12.9,2.328,0.181,,,37.7,4.514,0.120,Control
13,190909_1,HN_M,B,Day1,3,MWM_150,9/9/2019,44.8,6.226,0.139,18.6,4.194,0.225,23.0,1.655,0.072,0.0,0.000,,3.3,0.378,0.116,6.153,42.8,15.0,1.348,0.090,Control
