Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
1,200302_3,APOE22M,B,Day1,1,MWM_150,3/2/2020,60.0,4.405,0.073,23.8,1.500,0.063,0.9,0.125,0.144,18.5,1.411,0.076,16.9,1.369,0.081,,,15.8,0.672,0.043,Control
2,200302_4,APOE22M,B,Day1,1,MWM_150,3/2/2020,5.1,0.457,0.089,0.0,0.000,,1.9,0.275,0.141,0.0,0.000,,3.2,0.182,0.057,0.457,3.1,0.0,0.000,,Control
3,200302_5,APOE22M,B,Day1,1,MWM_150,3/2/2020,6.0,0.396,0.066,0.0,0.000,,0.0,0.000,,0.0,0.000,,6.0,0.396,0.066,0.290,4.0,0.0,0.000,,Control
4,200302_6,APOE22F,A,Day1,1,MWM_150,3/2/2020,60.0,7.912,0.132,16.4,2.974,0.181,15.1,2.542,0.169,0.0,0.000,,28.3,2.350,0.083,,,32.2,2.884,0.090,Control
5,200302_7,APOE22F,A,Day1,1,MWM_150,3/2/2020,60.0,8.505,0.142,20.3,2.741,0.135,15.0,1.330,0.088,11.0,1.946,0.177,13.6,2.489,0.182,,,31.8,2.891,0.091,Control
6,200302_8,APOE22F,A,Day1,1,MWM_150,3/2/2020,60.0,10.693,0.178,13.2,2.299,0.174,18.3,3.462,0.189,10.9,2.097,0.193,17.2,2.717,0.158,,,28.3,3.931,0.139,Control
7,200302_9,APOE22F,A,Day1,1,MWM_150,3/2/2020,60.0,9.472,0.158,13.2,2.167,0.164,24.0,4.085,0.170,6.4,1.113,0.174,15.2,1.948,0.128,,,31.9,4.286,0.134,Control
8,200302_10,APOE22M,B,Day1,1,MWM_150,3/2/2020,60.0,7.217,0.120,13.7,1.817,0.133,27.2,3.571,0.131,7.1,0.288,0.041,11.5,1.505,0.131,,,29.3,2.538,0.087,Control
9,200302_11,APOE22M,B,Day1,1,MWM_150,3/2/2020,60.0,7.679,0.128,0.0,0.000,,22.8,3.205,0.141,0.0,0.000,,37.1,4.474,0.121,7.641,59.1,28.3,3.554,0.126,Control
10,200302_12,APOE22M,B,Day1,1,MWM_150,3/2/2020,60.0,10.152,0.169,6.0,1.162,0.193,16.5,3.064,0.186,6.2,1.236,0.199,30.7,4.566,0.149,,,43.1,6.808,0.158,Control
11,200302_3,APOE22M,B,Day1,2,MWM_150,3/2/2020,60.0,3.159,0.053,12.0,0.998,0.083,0.0,0.000,,47.9,2.161,0.045,0.1,0.000,0.000,,,46.7,2.052,0.044,Control
12,200302_4,APOE22M,B,Day1,2,MWM_150,3/2/2020,60.0,8.453,0.141,13.2,2.196,0.166,14.0,2.411,0.172,25.2,2.281,0.090,7.3,1.520,0.207,,,29.8,4.949,0.166,Control
13,200302_5,APOE22M,B,Day1,2,MWM_150,3/2/2020,60.0,7.831,0.131,30.3,2.812,0.093,1.7,0.266,0.161,12.3,2.393,0.194,15.5,2.360,0.152,,,28.5,2.745,0.096,Control
14,200302_6,APOE22F,A,Day1,2,MWM_150,3/2/2020,58.5,6.063,0.104,42.7,3.735,0.087,1.1,0.160,0.145,9.1,1.188,0.131,5.6,0.980,0.175,5.768,56.5,34.4,3.893,0.113,Control
15,200302_7,APOE22F,A,Day1,2,MWM_150,3/2/2020,60.0,7.570,0.126,33.4,2.777,0.083,3.0,0.526,0.178,11.6,2.109,0.182,11.6,2.041,0.176,,,33.2,4.008,0.121,Control
16,200302_8,APOE22F,A,Day1,2,MWM_150,3/2/2020,60.0,10.244,0.171,31.8,4.915,0.154,8.5,1.507,0.178,11.5,2.266,0.197,5.9,1.099,0.188,,,46.9,7.838,0.167,Control
17,200302_9,APOE22F,A,Day1,2,MWM_150,3/2/2020,60.0,7.881,0.131,24.5,2.633,0.107,5.1,0.819,0.162,19.3,2.989,0.155,11.1,1.440,0.130,,,31.7,3.410,0.108,Control
18,200302_10,APOE22M,B,Day1,2,MWM_150,3/2/2020,60.0,5.483,0.091,38.3,2.638,0.069,2.6,0.367,0.144,19.1,2.479,0.130,0.0,0.000,,,,29.5,2.159,0.073,Control
19,200302_11,APOE22M,B,Day1,2,MWM_150,3/2/2020,60.0,7.384,0.123,42.0,4.995,0.119,14.2,1.883,0.132,3.7,0.505,0.135,0.0,0.000,,,,28.4,2.261,0.080,Control
20,200302_12,APOE22M,B,Day1,2,MWM_150,3/2/2020,60.0,10.263,0.171,24.8,3.572,0.144,10.8,1.366,0.127,10.9,2.470,0.226,13.1,2.759,0.211,,,41.0,6.507,0.159,Control
21,200302_3,APOE22M,B,Day1,3,MWM_150,3/2/2020,60.0,7.067,0.118,6.6,1.146,0.174,31.8,2.136,0.067,7.7,1.256,0.163,12.6,2.166,0.171,,,51.1,5.185,0.102,Control
22,200302_4,APOE22M,B,Day1,3,MWM_150,3/2/2020,60.0,8.066,0.134,19.1,2.661,0.139,29.7,3.138,0.106,4.0,0.721,0.179,7.2,1.546,0.216,,,36.8,4.145,0.113,Control
