Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,First zone entered,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : latency to first entry,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
1,201012_1,E4HN_M,D,Day1,1,MWM_150,1/18/21,60,8.491,SW,0.142,6.4,0.9,0.14,7.2,1.405,0.195,17.3,2.115,0.123,29.1,4.071,0,0.14,,,31.6,3.838,0.121,HFD
2,201012_2,E4HN_M,D,Day1,1,MWM_150,1/18/21,60,10.355,SE,0.173,15.7,2.77,0.177,12.9,2.382,0.185,17.8,2.838,0.159,13.2,2.278,4.3,0.172,,,43.1,7.131,0.165,HFD
3,201012_3,E4HN_M,D,Day1,1,MWM_150,1/18/21,18.4,2.082,SW,0.113,0,0,,0,0,,0.8,0.097,0.116,17.5,1.985,0,0.113,2.039,16.3,0,0,,HFD
4,201012_4,E4HN_F,F,Day1,1,MWM_150,1/18/21,60,7.801,SW,0.13,2.4,0.508,0.214,4.8,0.707,0.146,5.4,1.059,0.197,47.4,5.527,0,0.117,,,40.1,4.328,0.108,HFD
5,201012_5,E4HN_F,F,Day1,1,MWM_150,1/18/21,60,8.982,SW,0.15,16.4,2.152,0.131,5.2,1.086,0.21,17.8,2.951,0.165,19.4,2.605,0,0.134,,,29,4.186,0.145,HFD
6,201012_6,E4HN_F,F,Day1,1,MWM_150,1/18/21,60,9.883,SW,0.165,7.7,1.34,0.175,16.1,2.826,0.176,17.3,2.814,0.162,18.9,2.902,0,0.153,,,29.6,3.978,0.134,HFD
7,201012_7,E4HN_F,F,Day1,1,MWM_150,1/18/21,14.6,2.059,SW,0.141,0,0,,0,0,,3.9,0.763,0.195,10.7,1.296,0,0.121,2.024,12.5,3.7,0.638,0.172,HFD
8,201012_8,E4HN_F,F,Day1,1,MWM_150,1/18/21,60,6.94,SW,0.116,6.2,0.792,0.128,0.6,0.042,0.075,37.7,4.062,0.108,15.5,2.044,0,0.132,,,14.7,0.695,0.047,HFD
9,201012_9,E4HN_F,F,Day1,1,MWM_150,1/18/21,60,10.807,SW,0.18,15.3,2.827,0.185,0.7,0.036,0.054,34.3,5.788,0.169,9.4,2.105,0,0.225,,,28.1,4.289,0.153,HFD
10,201012_10,E4HN_F,F,Day1,1,MWM_150,1/18/21,60,11.945,SW,0.199,8.2,1.73,0.211,14.8,2.984,0.201,14.8,3.149,0.213,20.2,3.658,0,0.181,,,50.4,9.991,0.198,HFD
11,201012_11,E3HN_F,A,Day1,1,MWM_150,1/18/21,8.4,0.752,SW,0.089,0,0,,0,0,,0,0,,8.4,0.752,0,0.089,0.632,6.4,4.3,0.277,0.065,HFD
12,201012_12,E3HN_F,A,Day1,1,MWM_150,1/18/21,21.7,3.077,SW,0.142,0,0,,0.3,0.04,0.149,4.8,0.818,0.169,16.6,2.22,0,0.134,2.859,19.6,3.2,0.391,0.122,HFD
13,201012_13,E3HN_M,C,Day1,1,MWM_150,1/18/21,13.3,1.54,SW,0.116,0,0,,0,0,,0,0,,13.3,1.54,0,0.116,1.458,11.2,0,0,,HFD
14,201012_15,E33_F,B,Day1,1,MWM_150,1/18/21,60,9.105,NW,0.152,12.3,2.419,0.196,18.2,2.265,0.124,6.7,1.08,0.162,21.4,3.038,21.4,0.142,,,26.5,3.629,0.137,HFD
15,201012_16,E33_F,B,Day1,1,MWM_150,1/18/21,60,12.058,SW,0.201,22.2,4.324,0.195,3.3,0.516,0.155,18.3,4.096,0.223,14.2,2.67,0,0.188,,,34,6.728,0.198,HFD
16,201012_17,E33_F,B,Day1,1,MWM_150,1/18/21,60,13.562,NW,0.226,7.6,1.577,0.208,21.1,4.78,0.226,12.6,2.862,0.227,18.6,4.344,0.8,0.234,,,42.8,9.816,0.229,HFD
17,201012_18,E33_F,B,Day1,1,MWM_150,1/18/21,60,12.095,SE,0.202,24.6,4.855,0.197,23.4,4.816,0.206,9,1.756,0.196,2.7,0.56,31.6,0.21,,,32.4,6.328,0.195,HFD
18,201012_19,E33_F,B,Day1,1,MWM_150,1/18/21,60,11.185,SE,0.186,10.7,2.061,0.193,22.6,3.914,0.173,12.6,2.654,0.211,14.1,2.555,6.9,0.181,,,36.7,6.874,0.187,HFD
19,201012_20,E33_F,B,Day1,1,MWM_150,1/18/21,60,10.753,SW,0.179,24.9,4.372,0.176,11.1,1.742,0.157,9,2.076,0.23,15,2.563,0,0.171,,,35.9,6.031,0.168,HFD
20,201012_21,E33_F,B,Day1,1,MWM_150,1/18/21,60,12.627,SW,0.21,6.8,1.515,0.224,9.4,1.954,0.208,17.8,3.837,0.216,25.7,5.233,0,0.203,,,32,6.604,0.206,HFD
21,201012_22,E33_M,E,Day1,1,MWM_150,1/18/21,60,7.888,SW,0.131,0,0,,0,0,,30.2,4.231,0.14,29.8,3.658,0,0.123,,,28.1,3.381,0.12,HFD
22,201012_23,E33_M,E,Day1,1,MWM_150,1/18/21,18.6,2.756,SW,0.149,0,0,,8.8,1.461,0.167,0,0,,9.8,1.294,0,0.132,2.671,16.5,6.4,1.04,0.163,HFD
23,201012_24,E33_M,E,Day1,1,MWM_150,1/18/21,60,8.801,SW,0.147,0.7,0.129,0.193,31.4,4.783,0.152,6.7,1.163,0.174,21.3,2.726,0,0.128,,,42.8,5.621,0.131,HFD
24,201012_25,E33_M,E,Day1,1,MWM_150,1/18/21,60,9.963,SW,0.166,10.3,1.753,0.171,15.3,2.404,0.157,12.2,2.251,0.184,22.2,3.554,0,0.16,,,46.2,7.655,0.166,HFD
25,201012_26,E33_M,E,Day1,1,MWM_150,1/18/21,60,10.365,SW,0.173,17.4,2.689,0.155,27.3,4.882,0.179,1.6,0.328,0.21,13.8,2.465,0,0.179,,,34.7,5.375,0.155,HFD
26,201012_27,E33_M,E,Day1,1,MWM_150,1/18/21,60,10.175,SW,0.17,6.8,1.097,0.161,12.5,2.074,0.166,12.1,2.076,0.172,28.1,4.805,0,0.171,,,32.6,5.528,0.17,HFD
27,201012_1,E4HN_M,D,Day1,2,MWM_150,1/18/21,60,9.282,NE,0.155,21.9,3.775,0.173,18.7,2.738,0.147,7.7,1.554,0.201,11.1,1.176,14.3,0.106,,,31.4,4.798,0.153,HFD
28,201012_2,E4HN_M,D,Day1,2,MWM_150,1/18/21,60,9.872,NE,0.165,32.3,5.078,0.157,17.6,2.349,0.134,4.4,1.167,0.265,5.2,1.14,33.8,0.221,,,38.1,6.719,0.176,HFD
29,201012_3,E4HN_M,D,Day1,2,MWM_150,1/18/21,60,8.028,NE,0.134,28,3.489,0.124,11.7,1.669,0.143,10.4,1.508,0.145,9.9,1.363,40.2,0.138,,,42.2,5.018,0.119,HFD
30,201012_4,E4HN_F,F,Day1,2,MWM_150,1/18/21,60,11.957,NE,0.199,22.2,3.738,0.168,12.7,2.754,0.217,11.9,2.664,0.225,12.9,2.712,15,0.21,,,27.1,5.627,0.207,HFD
31,201012_5,E4HN_F,F,Day1,2,MWM_150,1/18/21,60,10.222,NE,0.17,24.2,4.237,0.175,13.1,2.247,0.172,9,1.559,0.173,12.8,2.035,12.9,0.159,,,38.4,6.154,0.16,HFD
32,201012_6,E4HN_F,F,Day1,2,MWM_150,1/18/21,60,11.85,NE,0.198,28.8,5.122,0.178,11.8,2.417,0.206,14.2,3.175,0.223,4.5,1.042,21.5,0.232,,,36.4,6.957,0.191,HFD
