Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
1,210906_1,E2HN_F,B,Day1,1,MWM_150,9/13/2021,60,11.138,0.186,6.5,1.202,0.186,0,0,,31.9,6.062,0.19,21.7,3.874,0.179,,,45.1,7.611,0.169,Control,F,12
2,210906_2,E2HN_F,B,Day1,1,MWM_150,9/13/2021,12.5,1.535,0.123,0,0,,1.5,0.154,0.105,0,0,,11.1,1.382,0.125,1.172,8.5,0,0,,Control,F,12
3,210906_3,E2HN_F,B,Day1,1,MWM_150,9/13/2021,43.6,7.938,0.182,7.7,1.618,0.21,0,0,,22.6,4.506,0.199,13.3,1.814,0.136,7.903,39.6,12.8,1.811,0.142,Control,F,12
4,210906_4,E2HN_F,B,Day1,1,MWM_150,9/13/2021,60,10.943,0.182,19.5,4.095,0.21,21,3.451,0.164,9,1.743,0.193,10.4,1.654,0.158,,,38.4,5.897,0.154,Control,F,12
5,210906_5,E2HN_F,B,Day1,1,MWM_150,9/13/2021,60,10.813,0.18,5.1,0.972,0.192,6.6,1.021,0.154,29.7,5.43,0.183,18.6,3.389,0.182,,,28.9,4.315,0.149,Control,F,12
6,210906_6,E2HN_M,C,Day1,1,MWM_150,9/13/2021,60,10.74,0.179,4.8,0.863,0.181,24.3,3.403,0.14,20.9,4.446,0.212,10,2.028,0.203,,,34.7,5.323,0.154,Control,M,12
7,210906_7,E2HN_F,B,Day1,1,MWM_150,9/13/2021,27.5,6.204,0.225,0.4,0.085,0.213,3.5,0.757,0.219,8.8,2.008,0.227,14.8,3.353,0.226,5.377,23.5,10.8,2.076,0.192,Control,F,12
8,210906_8,E2HN_F,B,Day1,1,MWM_150,9/13/2021,60,11.871,0.198,5.2,1.36,0.263,10.3,1.644,0.16,18.1,3.914,0.217,26.5,4.953,0.187,,,40.7,7.324,0.18,Control,F,12
9,210906_9,E44,A,Day1,1,MWM_150,9/13/2021,12.6,2.585,0.205,3.1,0.621,0.2,2.6,0.548,0.211,3.4,0.651,0.191,3.5,0.765,0.219,1.631,8.6,0,0,,HFD,F,12
10,210906_10,E44,A,Day1,1,MWM_150,9/13/2021,60,8.638,0.144,17.4,2.915,0.168,5,0.785,0.156,22.8,3.063,0.134,14.8,1.875,0.127,,,41.4,5.034,0.121,HFD,F,12
11,210906_11,E44,A,Day1,1,MWM_150,9/13/2021,60,11.863,0.198,2.8,0.676,0.241,6.9,1.347,0.195,32.8,6.492,0.198,17.5,3.348,0.191,,,43.4,7.994,0.184,HFD,F,12
12,210906_12,E44,A,Day1,1,MWM_150,9/13/2021,60,12.115,0.202,18.1,3.263,0.18,0,0,,28.9,6.198,0.215,13,2.654,0.204,,,49.5,10.174,0.206,HFD,F,12
13,210906_13,E44,A,Day1,1,MWM_150,9/13/2021,60,12.873,0.215,4.9,1.147,0.236,15.6,3.659,0.234,10.7,2.473,0.231,28.8,5.594,0.194,,,20.9,4.663,0.223,HFD,F,12
