Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
1,220110_1,E2HN_M_hfd,A,Day1,1,MWM_150,1/24/2022,60,9.829,0.164,0,0,,0,0,,54.5,8.924,0.164,5.5,0.905,0.164,,,25.3,3.823,0.151,HFD,M,12
2,220110_2,E2HN_M_hfd,A,Day1,1,MWM_150,1/24/2022,60,10.485,0.175,6.9,0.999,0.144,0,0,,33.9,5.867,0.173,19.2,3.619,0.189,,,33.5,6.049,0.181,HFD,M,12
3,220110_3,E2HN_M_hfd,A,Day1,1,MWM_150,1/24/2022,5.2,0.697,0.135,0,0,,0,0,,0,0,,4.9,0.654,0.133,0.166,1.1,0,0,,HFD,M,12
4,220110_4,E2HN_M_hfd,A,Day1,1,MWM_150,1/24/2022,7.2,0.825,0.115,0,0,,0,0,,0,0,,6.2,0.697,0.112,0.298,3.1,0,0,,HFD,M,12
5,220110_5,E2HN_M_ctrl,D,Day1,1,MWM_150,1/24/2022,60,12.482,0.208,27.5,5.547,0.202,1.2,0.294,0.245,25.3,5.444,0.215,6,1.197,0.198,,,19.8,3.724,0.188,Control,M,12
6,220110_6,E2HN_M_ctrl,D,Day1,1,MWM_150,1/24/2022,60,10.324,0.172,10,1.653,0.165,0,0,,35.3,5.866,0.166,14.7,2.805,0.191,,,35.7,6.454,0.181,Control,M,12
7,220110_7,E2HN_M_ctrl,D,Day1,1,MWM_150,1/24/2022,4.6,0.697,0.152,0,0,,0,0,,0,0,,3.9,0.614,0.157,,0.5,0,0,,Control,M,12
8,220110_8,E2HN_F_ctrl,B,Day1,1,MWM_150,1/24/2022,60,13.161,0.219,32.9,6.863,0.209,11.9,2.965,0.25,14.5,3.235,0.223,0.7,0.099,0.134,,,34.2,7.085,0.207,Control,F,12
9,220110_9,E2HN_F_ctrl,B,Day1,1,MWM_150,1/24/2022,14.7,3.242,0.221,2,0.276,0.14,1.3,0.386,0.297,2.6,0.667,0.257,7.9,1.823,0.23,2.627,10.6,0,0,,Control,F,12
10,220110_10,E2HN_F_ctrl,B,Day1,1,MWM_150,1/24/2022,40.7,8.972,0.22,0.7,0.093,0.132,2.7,0.583,0.214,11.9,2.905,0.243,24.8,5.292,0.214,8.06,36.7,14.6,2.974,0.203,Control,F,12
