Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
1,220207_1,E3HN_M_18 month HFD,D,Day1,1,MWM_150,2/21/2022,60,6.626,0.11,2.9,0.398,0.137,18.2,1.951,0.107,17.8,1.987,0.112,21.1,2.29,0.109,,,42.4,4.725,0.111,HFD,M,18
2,220207_2,E3HN_M_18 month HFD,D,Day1,1,MWM_150,2/21/2022,60,7.006,0.117,12.1,1.096,0.091,16.3,2.211,0.136,5.1,0.685,0.135,26.6,3.013,0.113,,,35.9,4.389,0.122,HFD,M,18
3,220207_3,E3HN_M_18 month HFD,D,Day1,1,MWM_150,2/21/2022,32,4.131,0.129,0,0,,0,0,,11.9,1.913,0.161,20.2,2.218,0.11,4.084,27,14.2,2.144,0.151,HFD,M,18
4,220207_4,E3HN_M_18 month HFD,D,Day1,1,MWM_150,2/21/2022,16.6,1.477,0.089,0,0,,3.4,0.424,0.126,0,0,,13.2,1.053,0.08,1.348,11.5,0,0,,HFD,M,18
5,220207_9,E3HN_F_18 month Control,B,Day1,1,MWM_150,2/21/2022,60,10.489,0.175,14.4,2.261,0.157,18.8,3.491,0.186,15.1,2.81,0.186,11.7,1.927,0.164,,,28.3,3.465,0.122,Control,F,18
6,220207_10,E3HN_F_18 month Control,B,Day1,1,MWM_150,2/21/2022,60,9.757,0.163,6,1.019,0.17,6,0.992,0.166,24.2,4,0.165,23.8,3.746,0.157,,,35.9,5.335,0.149,Control,F,18
7,220207_11,E3HN_F_18 month Control,B,Day1,1,MWM_150,2/21/2022,60,10.893,0.182,6.7,1.557,0.231,18.3,3.415,0.187,7,1.728,0.247,28,4.192,0.15,,,30.4,4.86,0.16,Control,F,18
8,220207_12,E3HN_F_18 month Control,B,Day1,1,MWM_150,2/21/2022,60,9.713,0.162,18.8,3.217,0.171,0,0,,39.6,6.328,0.16,1.6,0.168,0.105,,,42.4,7.171,0.169,Control,F,18
9,220207_13,E3HN_F_18 month Control,B,Day1,1,MWM_150,2/21/2022,7.2,0.56,0.077,0,0,,0,0,,0,0,,7.2,0.56,0.077,0.359,2.2,0,0,,Control,F,18
10,220207_14,E3HN_F_18 month HFD,A,Day1,1,MWM_150,2/21/2022,60,7.808,0.13,20.6,2.903,0.141,5.8,0.611,0.105,22.9,2.75,0.12,10.6,1.545,0.145,,,27.1,2.959,0.109,HFD,F,18
11,220207_15,E3HN_F_18 month HFD,A,Day1,1,MWM_150,2/21/2022,60,8.183,0.136,0,0,,0,0,,50.2,6.517,0.13,9.8,1.665,0.17,,,49.7,6.505,0.131,HFD,F,18
12,220207_16,E3HN_F_18 month HFD,A,Day1,1,MWM_150,2/21/2022,60,7.654,0.128,37.7,4.795,0.127,8.7,1.376,0.158,4.8,0.385,0.08,8.8,1.098,0.124,,,42.9,5.391,0.126,HFD,F,18
13,220207_17,E3HN_F_18 month HFD,A,Day1,1,MWM_150,2/21/2022,60,7.407,0.123,28.9,3.386,0.117,8.6,1.042,0.121,18.5,2.549,0.138,4,0.43,0.108,,,25.5,2.63,0.103,HFD,F,18
14,220207_18,E3HN_F_18 month HFD,A,Day1,1,MWM_150,2/21/2022,11.9,0.77,0.065,0,0,,0,0,,0,0,,11.9,0.77,0.065,0.77,6.8,0,0,,HFD,F,18
15,220207_19,E3HN_M_18 month Control,C,Day1,1,MWM_150,2/21/2022,60,11.654,0.194,15.5,2.884,0.186,17.1,3.31,0.193,12.8,2.411,0.188,14.5,3.049,0.21,,,36.3,6.587,0.182,Control,M,18
16,220207_20,E3HN_M_18 month Control,C,Day1,1,MWM_150,2/21/2022,60,9.852,0.164,15.2,2.501,0.164,21.1,3.291,0.156,10.1,1.77,0.176,13.6,2.29,0.169,,,31.5,4.429,0.141,Control,M,18
17,220207_21,E3HN_M_18 month Control,C,Day1,1,MWM_150,2/21/2022,60,11.81,0.197,29.8,5.626,0.189,6.7,1.367,0.205,13.1,2.961,0.226,10.4,1.856,0.178,,,29.3,5.196,0.177,Control,M,18
18,220207_22,E3HN_M_18 month Control,C,Day1,1,MWM_150,2/21/2022,7.9,0.481,0.061,0,0,,0,0,,0,0,,7.9,0.481,0.061,0.394,2.8,0,0,,Control,M,18
19,220207_23,E3HN_M_18 month Control,C,Day1,1,MWM_150,2/21/2022,60,9.469,0.158,5,0.932,0.188,0,0,,26.3,4.043,0.154,28.7,4.495,0.156,,,34,5.318,0.157,Control,M,18
20,220207_24,E3HN_M_18 month HFD,D,Day1,1,MWM_150,2/21/2022,60,6.482,0.108,34.1,3.456,0.101,11.1,1.542,0.139,5.7,0.508,0.089,9.2,0.975,0.106,,,16.3,1.223,0.075,HFD,M,18
