Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
1,220404_1,E22_F_HFD,B,Day1,1,MWM_150,4/18/2022,60,11.359,0.189,6.2,1.275,0.207,10.6,2.239,0.211,32.6,5.8,0.178,10.7,2.044,0.192,,,26.4,4.655,0.176,HFD,F,12
2,220404_2,E22_F_HFD,B,Day1,1,MWM_150,4/18/2022,6.7,0.444,0.067,0,0,,0,0,,0,0,,6.7,0.444,0.067,0.266,1.6,0,0,,HFD,F,12
3,220404_3,E22_F_HFD,B,Day1,1,MWM_150,4/18/2022,26.1,4.102,0.157,1.8,0.297,0.168,0,0,,7.8,1.496,0.191,16.5,2.31,0.14,3.98,21,2.2,0.306,0.139,HFD,F,12
4,220404_4,E22_F_HFD,B,Day1,1,MWM_150,4/18/2022,60,12.08,0.201,12.4,2.674,0.216,17.2,3.177,0.184,11.4,2.344,0.205,19,3.886,0.205,,,33,6.553,0.199,HFD,F,12
5,220404_5,E22_F_HFD,B,Day1,1,MWM_150,4/18/2022,47,8.349,0.178,6.6,1.32,0.201,17.5,3.268,0.187,4.2,0.933,0.224,18.7,2.828,0.151,8.262,41.9,12.3,2.165,0.176,HFD,F,12
6,220404_6,E22_M_HFD,C,Day1,1,MWM_150,4/18/2022,60,11.374,0.19,23.7,4.121,0.174,0,0,,29.8,6.017,0.202,6.5,1.236,0.191,,,19.2,2.754,0.143,HFD,M,12
7,220404_7,E22_M_HFD,C,Day1,1,MWM_150,4/18/2022,27.7,2.489,0.09,0,0,,0,0,,6.5,0.725,0.112,21.3,1.763,0.083,2.391,22.7,7.8,0.668,0.086,HFD,M,12
8,220404_8,E22_M_HFD,C,Day1,1,MWM_150,4/18/2022,60,10.901,0.182,2.5,0.433,0.171,16.2,2.73,0.168,12.8,2.514,0.196,28.4,5.223,0.184,,,35.1,6.666,0.19,HFD,M,12
9,220404_9,E22_M_HFD,C,Day1,1,MWM_150,4/18/2022,34.3,5.901,0.172,0,0,0,6.8,1.31,0.192,10.8,2.148,0.198,16.6,2.442,0.147,5.815,29.3,7.5,1.213,0.162,HFD,M,12
10,220404_10,E22_M_HFD,C,Day1,1,MWM_150,4/18/2022,6.7,0.533,0.08,0,0,,0,0,,0,0,,6.7,0.533,0.08,0.223,1.6,0,0,,HFD,M,12
11,220404_11,E2HN_M_18mth control,A,Day1,1,MWM_150,4/18/2022,60,12.66,0.211,13,2.52,0.194,20.1,4.219,0.21,15.3,3.359,0.219,11.5,2.562,0.222,,,25.3,4.675,0.185,Control,M,18
12,220404_12,E2HN_M_18mth control,A,Day1,1,MWM_150,4/18/2022,60,11.228,0.187,5.6,1.092,0.194,1.5,0.205,0.134,30.4,5.976,0.196,22.4,3.955,0.177,,,34.4,6.383,0.185,Control,M,18
13,220404_13,E2HN_M_18mth control,A,Day1,1,MWM_150,4/18/2022,60,11.674,0.195,7,1.578,0.227,0,0,,45.1,8.63,0.191,7.9,1.466,0.185,,,39.4,6.763,0.172,Control,M,18
14,220404_1,E22_F_HFD,B,Day1,2,MWM_150,4/18/2022,60,10.404,0.173,25.7,4.248,0.165,5.8,1.129,0.194,12.5,2.618,0.209,15.9,2.409,0.151,10.404,56.9,29.5,5.297,0.179,HFD,F,12
15,220404_2,E22_F_HFD,B,Day1,2,MWM_150,4/18/2022,60,12.009,0.2,31.9,6.299,0.197,1.3,0.295,0.233,20.1,3.968,0.197,6.7,1.447,0.216,,,39.5,8.004,0.203,HFD,F,12
16,220404_3,E22_F_HFD,B,Day1,2,MWM_150,4/18/2022,60,11.644,0.194,22.1,4.209,0.191,1.4,0.045,0.033,24.1,4.966,0.206,12.5,2.424,0.195,,,28.4,4.925,0.173,HFD,F,12
17,220404_4,E22_F_HFD,B,Day1,2,MWM_150,4/18/2022,60,11.164,0.186,40.5,7.21,0.178,4.6,0.717,0.157,9.2,2.13,0.232,5.8,1.107,0.192,,,49.9,9.023,0.181,HFD,F,12
18,220404_5,E22_F_HFD,B,Day1,2,MWM_150,4/18/2022,60,12.652,0.211,16.6,3.45,0.207,10.5,2.067,0.196,18,3.837,0.213,14.8,3.298,0.223,,,42.8,8.99,0.21,HFD,F,12
19,220404_6,E22_M_HFD,C,Day1,2,MWM_150,4/18/2022,60,11.212,0.187,24.8,4.14,0.167,20.8,4.099,0.197,4.8,1.055,0.22,9.6,1.917,0.2,,,38.1,7.248,0.19,HFD,M,12
20,220404_7,E22_M_HFD,C,Day1,2,MWM_150,4/18/2022,22.6,2.917,0.129,4.6,0.798,0.175,0,0,,10.9,1.587,0.146,7.1,0.532,0.074,2.826,17.5,9.6,1.392,0.145,HFD,M,12
21,220404_8,E22_M_HFD,C,Day1,2,MWM_150,4/18/2022,60,12.088,0.201,24.8,4.446,0.179,10.6,2.228,0.211,14.9,3.214,0.216,9.8,2.201,0.225,,,54.9,11.307,0.206,HFD,M,12
22,220404_9,E22_M_HFD,C,Day1,2,MWM_150,4/18/2022,60,12.341,0.206,23.8,5.057,0.212,25.9,4.836,0.187,4.1,1.108,0.268,6.2,1.34,0.218,,,29.9,5.162,0.173,HFD,M,12
23,220404_10,E22_M_HFD,C,Day1,2,MWM_150,4/18/2022,40.2,7.224,0.18,3.6,0.657,0.182,13.8,2.62,0.19,7.2,1.532,0.214,15.6,2.415,0.154,6.671,35.2,18.2,2.803,0.154,HFD,M,12
24,220404_11,E2HN_M_18mth control,A,Day1,2,MWM_150,4/18/2022,60,9.337,0.156,35.2,5.188,0.148,9.9,1.453,0.147,15,2.696,0.18,0,0,,,,42.1,5.757,0.137,Control,M,18
25,220404_12,E2HN_M_18mth control,A,Day1,2,MWM_150,4/18/2022,60,9.408,0.157,18.5,2.282,0.123,0.9,0.203,0.237,30.1,4.957,0.165,10.5,1.965,0.188,,,24.5,4.125,0.168,Control,M,18
26,220404_13,E2HN_M_18mth control,A,Day1,2,MWM_150,4/18/2022,60,9.544,0.159,9.9,1.426,0.144,2,0.395,0.194,17.8,3.139,0.176,30.3,4.584,0.151,9.544,59.3,32.9,4.307,0.131,Control,M,18
27,220404_1,E22_F_HFD,B,Day1,3,MWM_150,4/18/2022,60,11.474,0.191,10.9,2.099,0.193,10.8,2.008,0.185,19.3,4.031,0.209,19,3.335,0.175,,,41.7,7.635,0.183,HFD,F,12
28,220404_2,E22_F_HFD,B,Day1,3,MWM_150,4/18/2022,10.1,0.732,0.073,0,0,,1.2,0.192,0.154,0,0,,8.8,0.54,0.061,0.69,5,0,0,,HFD,F,12
29,220404_3,E22_F_HFD,B,Day1,3,MWM_150,4/18/2022,60,11.883,0.198,3.7,0.799,0.218,21.4,4.025,0.188,14.5,3.33,0.23,20.5,3.729,0.182,,,21.6,3.249,0.151,HFD,F,12
30,220404_4,E22_F_HFD,B,Day1,3,MWM_150,4/18/2022,60,13.182,0.22,17.9,3.964,0.221,20.1,4.128,0.206,13.4,2.833,0.212,8.6,2.257,0.261,,,46,10.717,0.233,HFD,F,12
31,220404_5,E22_F_HFD,B,Day1,3,MWM_150,4/18/2022,60,13.607,0.227,17.7,3.962,0.223,16.5,3.283,0.199,16.4,4.011,0.245,9.4,2.35,0.25,,,27.9,6.12,0.219,HFD,F,12
32,220404_6,E22_M_HFD,C,Day1,3,MWM_150,4/18/2022,60,11.911,0.199,20.4,4.052,0.199,26.9,5.21,0.194,7.2,1.526,0.211,5.5,1.123,0.205,,,42.1,8.092,0.192,HFD,M,12
33,220404_7,E22_M_HFD,C,Day1,3,MWM_150,4/18/2022,53,8.3,0.157,6.4,1.15,0.18,18.6,2.705,0.146,13.2,2.61,0.197,14.8,1.836,0.124,8.208,47.9,10,1.678,0.167,HFD,M,12
34,220404_8,E22_M_HFD,C,Day1,3,MWM_150,4/18/2022,60,10.937,0.182,21.9,3.654,0.167,19.4,3.992,0.205,5.6,1.159,0.207,13,2.131,0.164,,,49,8.938,0.182,HFD,M,12
35,220404_9,E22_M_HFD,C,Day1,3,MWM_150,4/18/2022,60,12.125,0.202,8.9,2.084,0.234,29.7,5.757,0.194,6.8,1.649,0.244,14.6,2.636,0.181,,,40.9,8.114,0.198,HFD,M,12
36,220404_10,E22_M_HFD,C,Day1,3,MWM_150,4/18/2022,15.8,2.326,0.147,0,0,,7,1.145,0.164,0,0,,8.8,1.181,0.134,1.733,10.7,1.6,0.326,0.204,HFD,M,12
37,220404_11,E2HN_M_18mth control,A,Day1,3,MWM_150,4/18/2022,60,12.756,0.213,14.5,3.357,0.231,14.2,2.798,0.197,20.2,4.338,0.214,11,2.263,0.206,,,39.1,8.033,0.205,Control,M,18
38,220404_12,E2HN_M_18mth control,A,Day1,3,MWM_150,4/18/2022,60,9.231,0.154,33.8,5.131,0.152,8.9,1.345,0.151,17.2,2.755,0.16,0,0,,,,42.1,6.221,0.148,Control,M,18
39,220404_13,E2HN_M_18mth control,A,Day1,3,MWM_150,4/18/2022,57.2,9.498,0.166,2.9,0.736,0.257,11.1,1.259,0.113,17.3,3.553,0.205,25.9,3.951,0.153,9.456,52.1,17.2,2.376,0.138,Control,M,18
40,220404_1,E22_F_HFD,B,Day1,4,MWM_150,4/18/2022,60,10.356,0.173,12.9,2.534,0.197,14.3,2.291,0.16,18.6,3.305,0.177,14.2,2.225,0.157,,,51.9,8.755,0.169,HFD,F,12
41,220404_2,E22_F_HFD,B,Day1,4,MWM_150,4/18/2022,60,12.365,0.206,0,0,,2.7,0.498,0.185,39,8.188,0.21,18.3,3.679,0.201,,,50.4,10.446,0.207,HFD,F,12
42,220404_3,E22_F_HFD,B,Day1,4,MWM_150,4/18/2022,47.4,8.339,0.176,4.3,0.782,0.183,3.8,0.668,0.174,23,4.327,0.188,16.3,2.561,0.157,8.296,42.4,11.3,2.237,0.199,HFD,F,12
43,220404_4,E22_F_HFD,B,Day1,4,MWM_150,4/18/2022,60,12.824,0.214,9.5,2.182,0.231,12,2.506,0.209,19.7,4.161,0.211,18.8,3.975,0.211,,,44.6,9.937,0.223,HFD,F,12
44,220404_5,E22_F_HFD,B,Day1,4,MWM_150,4/18/2022,17.6,2.088,0.119,0,0,,0,0,,8.2,1.423,0.173,9.4,0.665,0.071,1.963,12.6,0.9,0.096,0.106,HFD,F,12
45,220404_6,E22_M_HFD,C,Day1,4,MWM_150,4/18/2022,34.3,4.868,0.142,0,0,,11.2,1.782,0.159,2.9,0.492,0.171,20.2,2.594,0.129,4.776,29.2,11.5,1.67,0.146,HFD,M,12
46,220404_7,E22_M_HFD,C,Day1,4,MWM_150,4/18/2022,60,9.038,0.151,4.5,0.723,0.162,22.7,3.574,0.157,16.6,2.075,0.125,16.2,2.667,0.165,,,21.7,3.148,0.145,HFD,M,12
47,220404_8,E22_M_HFD,C,Day1,4,MWM_150,4/18/2022,60,11.419,0.19,11.5,2.318,0.202,11.4,2.225,0.196,25.8,4.603,0.179,11.4,2.273,0.199,,,49.2,9.605,0.195,HFD,M,12
48,220404_9,E22_M_HFD,C,Day1,4,MWM_150,4/18/2022,60,12.079,0.201,11,2.185,0.198,10,2.192,0.219,26.6,5.424,0.204,12.3,2.278,0.185,,,42.2,8.265,0.196,HFD,M,12
49,220404_10,E22_M_HFD,C,Day1,4,MWM_150,4/18/2022,60,11.877,0.198,15,2.885,0.193,8.1,1.276,0.158,24.1,4.933,0.204,12.8,2.783,0.217,,,34.3,6.734,0.197,HFD,M,12
50,220404_11,E2HN_M_18mth control,A,Day1,4,MWM_150,4/18/2022,42.5,6.541,0.154,3.4,0.697,0.203,0,0,,26.4,4.415,0.167,12.7,1.429,0.113,6.457,37.4,25.6,4.195,0.164,Control,M,18
51,220404_12,E2HN_M_18mth control,A,Day1,4,MWM_150,4/18/2022,60,9.389,0.156,4.6,0.483,0.104,6.3,1.105,0.175,32.1,4.95,0.154,17,2.85,0.168,,,37.5,5.656,0.151,Control,M,18
52,220404_13,E2HN_M_18mth control,A,Day1,4,MWM_150,4/18/2022,36.3,4.75,0.131,0,0,,0,0,,19.2,2.992,0.156,17.1,1.759,0.103,4.75,31.2,15.9,1.999,0.126,Control,M,18
53,220404_1,E22_F_HFD,B,Day2,1,MWM_150,4/19/2022,60,12.164,0.203,16.9,2.969,0.175,7,1.353,0.194,19.2,4.414,0.23,16.9,3.429,0.203,,,35.2,7.192,0.205,HFD,F,12
54,220404_2,E22_F_HFD,B,Day2,1,MWM_150,4/19/2022,60,10.491,0.175,8.2,1.018,0.124,9.3,1.402,0.151,29.9,5.958,0.199,12.6,2.113,0.168,,,31.2,5.13,0.164,HFD,F,12
55,220404_3,E22_F_HFD,B,Day2,1,MWM_150,4/19/2022,28.7,4.333,0.151,9.3,1.562,0.169,9.3,1.846,0.198,1.7,0.301,0.18,8.4,0.625,0.074,4.292,23.6,3.7,0.582,0.156,HFD,F,12
56,220404_4,E22_F_HFD,B,Day2,1,MWM_150,4/19/2022,60,13.426,0.224,16.8,3.662,0.218,13.5,3.033,0.225,11.8,3.165,0.269,17.9,3.566,0.199,,,38.6,8.638,0.224,HFD,F,12
57,220404_5,E22_F_HFD,B,Day2,1,MWM_150,4/19/2022,60,13.337,0.222,13.3,2.971,0.224,10.4,2.466,0.238,21.7,4.56,0.21,14.7,3.34,0.228,,,40.2,9.299,0.231,HFD,F,12
58,220404_6,E22_M_HFD,C,Day2,1,MWM_150,4/19/2022,60,12.663,0.211,21.3,3.982,0.187,9.8,2.269,0.231,16.1,3.724,0.232,12.8,2.687,0.209,,,41.8,8.78,0.21,HFD,M,12
59,220404_7,E22_M_HFD,C,Day2,1,MWM_150,4/19/2022,23.9,3.257,0.137,8,1.38,0.173,1,0.224,0.231,7.8,1.2,0.153,7.1,0.454,0.064,3.162,18.8,3,0.413,0.139,HFD,M,12
60,220404_8,E22_M_HFD,C,Day2,1,MWM_150,4/19/2022,60,13.132,0.219,15.6,3.525,0.226,20.9,4.611,0.221,10.7,2.277,0.212,12.8,2.719,0.212,,,48.6,10.697,0.22,HFD,M,12
61,220404_9,E22_M_HFD,C,Day2,1,MWM_150,4/19/2022,36.2,6.178,0.171,7.1,1.487,0.209,0.3,0.061,0.204,11.1,2.009,0.181,17.7,2.621,0.148,6.136,31.1,9.3,1.648,0.177,HFD,M,12
62,220404_10,E22_M_HFD,C,Day2,1,MWM_150,4/19/2022,31.3,5.489,0.175,4.2,0.851,0.202,11.2,2.385,0.214,0,0,,16,2.253,0.141,5.44,26.3,8.9,1.654,0.185,HFD,M,12
