Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age,Genotype
1,220704_2,E44_F_18monthHFD,C,Day1,1,MWM_150,7/18/2022,11.0,1.921,0.174,1.5,0.313,0.209,0.0,0.054,1.641,3.1,0.596,0.194,6.4,0.957,0.149,1.380,7.0,0.0,0.000,,HFD,Female,18,E44
2,220704_3,E44_F_18monthHFD,C,Day1,1,MWM_150,7/18/2022,60.0,10.202,0.170,26.9,4.306,0.160,9.2,1.782,0.194,13.6,2.351,0.173,10.3,1.763,0.171,,,30.3,5.448,0.180,HFD,Female,18,E44
3,220704_4,E44_F_18monthHFD,C,Day1,1,MWM_150,7/18/2022,60.0,11.268,0.188,21.2,3.763,0.178,21.4,4.414,0.206,1.4,0.166,0.121,16.1,2.926,0.182,,,13.0,1.524,0.117,HFD,Female,18,E44
4,220704_6,E2HN_F_18monthHFD,A,Day1,1,MWM_150,7/18/2022,12.5,1.187,0.095,1.9,0.220,0.116,0.0,0.000,,1.6,0.285,0.182,9.0,0.682,0.076,1.187,8.4,0.0,0.000,,HFD,Female,18,E2HN
5,220704_7,E2HN_F_18monthHFD,A,Day1,1,MWM_150,7/18/2022,4.8,0.262,0.055,0.0,0.000,,0.0,0.000,,0.0,0.000,,4.8,0.262,0.055,0.042,0.7,0.0,0.000,,HFD,Female,18,E2HN
6,220704_8,E2HN_F_18monthHFD,A,Day1,1,MWM_150,7/18/2022,4.7,0.085,0.018,0.0,0.000,,0.0,0.000,,0.0,0.000,,4.7,0.085,0.018,,0.7,0.0,0.000,,HFD,Female,18,E2HN
7,220704_9,E2HN_F_18monthHFD,A,Day1,1,MWM_150,7/18/2022,60.0,8.839,0.147,3.6,0.523,0.147,28.8,3.683,0.128,11.7,2.093,0.179,16.0,2.539,0.159,,,31.4,3.772,0.120,HFD,Female,18,E2HN
8,220704_10,E2HN_M_18monthHFD,D,Day1,1,MWM_150,7/18/2022,60.0,8.519,0.142,13.8,2.105,0.153,0.0,0.000,,45.3,6.301,0.139,0.9,0.114,0.123,,,20.0,2.172,0.109,HFD,Male,18,E2HN
9,220704_12,E2HN_M_18monthHFD,D,Day1,1,MWM_150,7/18/2022,17.1,2.190,0.128,0.0,0.000,,4.3,0.614,0.144,5.1,0.708,0.138,7.7,0.868,0.113,1.915,13.0,0.0,0.000,,HFD,Male,18,E2HN
10,220704_13,E2HN_M_18monthHFD,D,Day1,1,MWM_150,7/18/2022,4.9,0.086,0.017,0.0,0.000,,0.0,0.000,,0.0,0.000,,4.9,0.086,0.017,,0.9,0.0,0.000,,HFD,Male,18,E2HN
