Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
1,220808_1,E4HN_M_Ctrl,D,Day1,1,MWM_150,8/15/22,60,10.361,0.173,6.6,1.336,0.202,8.4,1.811,0.215,29.5,4.037,0.137,15.5,3.177,0.205,,,20.4,1.882,0.092,Control
2,220808_2,E4HN_M_Ctrl,D,Day1,1,MWM_150,8/15/22,43,7.748,0.18,3.4,0.726,0.214,18.8,3.305,0.175,0,0,,20.7,3.717,0.179,7.051,38.9,9.4,1.649,0.175,Control
3,220808_3,E4HN_M_Ctrl,D,Day1,1,MWM_150,8/15/22,34.1,5.438,0.159,9.4,1.603,0.171,3.1,0.65,0.207,15.6,2.249,0.144,6,0.936,0.157,4.887,30.1,7.7,0.858,0.112,Control
4,220808_4,E4HN_M_Ctrl,D,Day1,1,MWM_150,8/15/22,60,11.065,0.184,15.7,3.402,0.217,35.5,6.458,0.182,0.2,0,0,8.7,1.204,0.139,,,15.3,2.322,0.151,Control
5,220808_5,E4HN_M_Ctrl,D,Day1,1,MWM_150,8/15/22,29.4,5.679,0.193,5.5,1.166,0.211,12.6,2.291,0.182,5.2,1.043,0.199,6.1,1.179,0.194,4.961,25.4,7.7,1.151,0.149,Control
6,220808_6,E2HN_F_18mth_Ctrl,A,Day1,1,MWM_150,8/15/22,60,11.059,0.184,3,0.612,0.206,27.8,4.446,0.16,8.4,2.091,0.249,20.8,3.909,0.188,,,35.3,5.692,0.161,Control
7,220808_7,E2HN_F_18mth_Ctrl,A,Day1,1,MWM_150,8/15/22,16.6,3.34,0.201,1.9,0.363,0.187,3.4,0.581,0.173,4.2,0.977,0.231,7.1,1.419,0.2,2.587,12.6,2.5,0.407,0.163,Control
8,220808_8,E2HN_F_18mth_Ctrl,A,Day1,1,MWM_150,8/15/22,5.1,0.283,0.056,0,0,,0,0,,0,0,,5.1,0.283,0.056,0.105,1,0,0,,Control
9,220808_9,E2HN_F_18mth_HFD,C,Day1,1,MWM_150,8/15/22,60,9.649,0.161,12.3,1.863,0.151,15.1,2.558,0.169,23.2,3.629,0.156,9.4,1.599,0.171,,,19,3.05,0.161,HFD
10,220808_10,E2HN_F_18mth_HFD,C,Day1,1,MWM_150,8/15/22,7.3,0.745,0.102,0,0,,0,0,,0,0,,7.3,0.745,0.102,0.473,3.3,0,0,,HFD
11,220808_11,E2HN_F_18mth_HFD,C,Day1,1,MWM_150,8/15/22,60,7.781,0.13,0,0,,9.9,1.39,0.14,24.3,3.159,0.13,25.8,3.231,0.125,,,41,5.052,0.123,HFD
12,220808_12,E2HN_F_18mth_HFD,C,Day1,1,MWM_150,8/15/22,5.2,0.802,0.155,0,0,,0.2,0.047,0.281,0,0,,5,0.756,0.151,0.191,1.1,0,0,,HFD
13,220808_13,E2HN_M_18mth_HFD,B,Day1,1,MWM_150,8/15/22,60,8.811,0.147,14.8,2.029,0.137,8.6,1.052,0.122,11.1,1.905,0.171,25.5,3.825,0.15,,,23.5,2.753,0.117,HFD
14,220808_14,E2HN_M_18mth_HFD,B,Day1,1,MWM_150,8/15/22,60,8.626,0.144,2.8,0.484,0.173,31.3,4.651,0.149,14.4,1.998,0.139,11.5,1.493,0.129,,,24.6,3.251,0.132,HFD
15,220808_15,E2HN_M_18mth_HFD,B,Day1,1,MWM_150,8/15/22,60,11.215,0.187,5.4,1.211,0.224,19.9,3.694,0.186,13.7,2.536,0.186,21,3.774,0.179,,,33.8,6.615,0.196,HFD
16,220808_16,E2HN_M_18mth_HFD,B,Day1,1,MWM_150,8/15/22,60,5.333,0.089,33.1,2.872,0.087,23.6,2.359,0.1,0,0,,3.4,0.103,0.03,,,16.6,1.724,0.104,HFD
17,220808_17,E2HN_M_18mth_HFD,B,Day1,1,MWM_150,8/15/22,60,10.843,0.181,3.1,0.737,0.238,10.7,2.019,0.188,18.6,3.619,0.195,27.6,4.468,0.162,,,33.2,5.397,0.162,HFD
18,220808_1,E4HN_M_Ctrl,D,Day1,2,MWM_150,8/15/22,60,10.573,0.176,41.6,6.762,0.163,6.5,1.442,0.221,6.7,1.33,0.198,5.1,1.038,0.202,,,27.6,4.787,0.173,Control
19,220808_2,E4HN_M_Ctrl,D,Day1,2,MWM_150,8/15/22,40.2,7.868,0.196,25.2,5,0.198,2.2,0.475,0.219,4.3,0.854,0.2,8.6,1.538,0.179,7.321,36.2,8.2,1.494,0.181,Control
20,220808_3,E4HN_M_Ctrl,D,Day1,2,MWM_150,8/15/22,60,9.191,0.153,23.7,3.775,0.16,1.1,0.119,0.105,24.2,3.592,0.149,11,1.705,0.155,,,29.8,3.936,0.132,Control
21,220808_4,E4HN_M_Ctrl,D,Day1,2,MWM_150,8/15/22,60,10.69,0.178,15.9,3.019,0.189,11.5,1.81,0.157,21.8,4.14,0.19,10.7,1.721,0.16,,,41.2,6.893,0.167,Control
22,220808_5,E4HN_M_Ctrl,D,Day1,2,MWM_150,8/15/22,38.9,6.427,0.165,18.3,2.918,0.159,2.8,0.495,0.179,10.2,2.247,0.22,7.6,0.767,0.101,6.38,34.8,14,2.393,0.171,Control
23,220808_6,E2HN_F_18mth_Ctrl,A,Day1,2,MWM_150,8/15/22,60,10.259,0.171,18.3,2.841,0.155,18.8,2.96,0.158,9.5,1.877,0.198,13.4,2.581,0.192,,,43,7.33,0.17,Control
24,220808_7,E2HN_F_18mth_Ctrl,A,Day1,2,MWM_150,8/15/22,60,11.357,0.189,25.8,4.627,0.179,24.2,5.109,0.211,2.5,0.427,0.171,7.5,1.194,0.16,,,24.4,4.055,0.166,Control
25,220808_8,E2HN_F_18mth_Ctrl,A,Day1,2,MWM_150,8/15/22,60,10.002,0.167,26.9,3.885,0.144,15.3,2.562,0.167,15.8,3.212,0.203,2,0.342,0.174,,,34.9,5.333,0.153,Control
26,220808_9,E2HN_F_18mth_HFD,C,Day1,2,MWM_150,8/15/22,60,8.976,0.15,36.2,4.692,0.13,8,1.425,0.179,9.7,1.557,0.161,6.1,1.302,0.212,,,32.4,4.515,0.139,HFD
27,220808_10,E2HN_F_18mth_HFD,C,Day1,2,MWM_150,8/15/22,60,10.545,0.176,33.8,5.611,0.166,17,2.994,0.176,6.7,1.423,0.213,2.6,0.516,0.201,,,34.7,5.86,0.169,HFD
28,220808_11,E2HN_F_18mth_HFD,C,Day1,2,MWM_150,8/15/22,60,9.048,0.151,32.8,5.338,0.163,11.7,1.649,0.141,15.5,2.062,0.133,0,0,,,,19,2.51,0.132,HFD
29,220808_12,E2HN_F_18mth_HFD,C,Day1,2,MWM_150,8/15/22,60,10.494,0.175,19.7,3.185,0.162,24.1,4.382,0.182,5.8,1.119,0.193,10.4,1.808,0.174,,,32.9,4.978,0.151,HFD
30,220808_13,E2HN_M_18mth_HFD,B,Day1,2,MWM_150,8/15/22,60,9.645,0.161,22.8,3.678,0.161,8.9,1.355,0.152,13.7,2.563,0.187,14.5,2.048,0.141,,,43.7,7.04,0.161,HFD
31,220808_14,E2HN_M_18mth_HFD,B,Day1,2,MWM_150,8/15/22,60,8.93,0.149,24.6,3.026,0.123,6.1,1.159,0.19,22.9,3.574,0.156,6.4,1.171,0.183,,,34.3,5.139,0.15,HFD
32,220808_15,E2HN_M_18mth_HFD,B,Day1,2,MWM_150,8/15/22,19.2,2.298,0.12,5.4,0.779,0.143,1.3,0.21,0.158,1.7,0.265,0.153,10.7,1.043,0.098,2.199,15.1,0,0,,HFD
33,220808_16,E2HN_M_18mth_HFD,B,Day1,2,MWM_150,8/15/22,60,7.047,0.117,31.3,3.687,0.118,22.4,2.378,0.106,4.3,0.634,0.146,2,0.348,0.174,7.047,59.9,9.1,0.904,0.099,HFD
34,220808_17,E2HN_M_18mth_HFD,B,Day1,2,MWM_150,8/15/22,19.1,3.112,0.163,5.3,1.077,0.203,2.8,0.429,0.151,4.5,1.005,0.222,6.4,0.601,0.094,3.02,15,1.8,0.389,0.216,HFD
35,220808_1,E4HN_M_Ctrl,D,Day1,3,MWM_150,8/15/22,28.1,4.187,0.149,5.2,1.045,0.201,11.9,1.56,0.131,0,0,,10.9,1.582,0.145,4.049,24,1.6,0.367,0.23,Control
36,220808_2,E4HN_M_Ctrl,D,Day1,3,MWM_150,8/15/22,60,8.337,0.139,21.2,3.059,0.144,32.8,4.458,0.136,6,0.82,0.137,0,0,,,,12.6,1.427,0.113,Control
37,220808_3,E4HN_M_Ctrl,D,Day1,3,MWM_150,8/15/22,60,8.34,0.139,19.9,3.075,0.155,30.4,3.823,0.126,0.2,0.046,0.228,9.5,1.396,0.147,,,31.9,3.613,0.113,Control
38,220808_4,E4HN_M_Ctrl,D,Day1,3,MWM_150,8/15/22,60,9.523,0.159,9.2,1.637,0.177,29.3,4.624,0.158,8.2,1.157,0.141,13.2,2.105,0.159,,,38.3,5.511,0.144,Control
39,220808_5,E4HN_M_Ctrl,D,Day1,3,MWM_150,8/15/22,60,12.254,0.204,12.4,2.783,0.225,23.8,4.686,0.197,8.8,1.619,0.184,15,3.165,0.211,,,14.7,2.423,0.164,Control
40,220808_6,E2HN_F_18mth_Ctrl,A,Day1,3,MWM_150,8/15/22,22.6,2.851,0.126,6.2,0.701,0.113,9.7,1.409,0.145,0,0,,6.7,0.741,0.11,2.758,18.6,10.6,1.657,0.157,Control
41,220808_7,E2HN_F_18mth_Ctrl,A,Day1,3,MWM_150,8/15/22,60,11.308,0.188,15.7,3.089,0.197,30.3,5.397,0.178,8.2,1.621,0.199,5.8,1.201,0.206,,,15.5,2.368,0.153,Control
42,220808_8,E2HN_F_18mth_Ctrl,A,Day1,3,MWM_150,8/15/22,60,9.953,0.166,17,3.049,0.18,21.5,2.507,0.117,15.1,3.291,0.218,6.5,1.106,0.171,,,35,5.317,0.152,Control
43,220808_9,E2HN_F_18mth_HFD,C,Day1,3,MWM_150,8/15/22,60,9.803,0.163,18.4,2.963,0.161,22.3,3.137,0.141,13.2,2.553,0.194,6.1,1.149,0.187,,,27.5,4.551,0.165,HFD
44,220808_10,E2HN_F_18mth_HFD,C,Day1,3,MWM_150,8/15/22,60,11.17,0.186,21.5,4.496,0.209,19.8,2.895,0.146,13.3,2.673,0.201,5.3,1.107,0.208,,,36.3,6.595,0.182,HFD
45,220808_11,E2HN_F_18mth_HFD,C,Day1,3,MWM_150,8/15/22,60,7.824,0.13,0,0,,30.6,3.794,0.124,0,0,,29.4,4.031,0.137,,,35.1,4.628,0.132,HFD
46,220808_12,E2HN_F_18mth_HFD,C,Day1,3,MWM_150,8/15/22,21.8,2.938,0.135,2.3,0.333,0.145,13.1,1.916,0.147,0,0,,6.5,0.689,0.107,2.809,17.8,6.3,0.704,0.112,HFD
47,220808_13,E2HN_M_18mth_HFD,B,Day1,3,MWM_150,8/15/22,16.5,1.44,0.087,0,0,,5.4,0.678,0.125,0,0,,11,0.762,0.069,1.398,12.4,0,0,,HFD
