Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
1,221003_1,E22_F_12month_HFD,F,Day1,1,MWM_150,10/10/22,4.7,0.168,0.036,0,0,,0,0,,0,0,,4.7,0.168,0.036,0.088,0.7,0,0,,HFD
2,221003_2,E22_F_12month_HFD,F,Day1,1,MWM_150,10/10/22,60,10.42,0.174,33.7,5.942,0.176,15.9,2.326,0.146,7.8,1.611,0.207,2.7,0.541,0.203,,,46,7.693,0.167,HFD
3,221003_3,E22_F_12month_HFD,F,Day1,1,MWM_150,10/10/22,17.1,2.383,0.139,0,0,,0.9,0.203,0.233,1.3,0.15,0.113,14.9,2.03,0.136,1.704,13.1,2.1,0.207,0.1,HFD
4,221003_4,E22_F_12month_HFD,F,Day1,1,MWM_150,10/10/22,5,0.602,0.121,0,0,,0.8,0.147,0.194,0,0,,4.2,0.455,0.108,0.044,0.9,0,0,,HFD
5,221003_5,E22_M_12month_HFD,C,Day1,1,MWM_150,10/10/22,60,9.746,0.162,4.4,0.784,0.177,44.6,7.203,0.161,0,0,,11,1.759,0.16,,,32.8,4.587,0.14,HFD
6,221003_6,E22_M_12month_HFD,C,Day1,1,MWM_150,10/10/22,4.6,1.013,0.219,0,0,,0,0,,2.3,0.586,0.251,2.3,0.427,0.186,0.054,0.6,0,0,,HFD
7,221003_7,E22_M_12month_HFD,C,Day1,1,MWM_150,10/10/22,18.1,2.601,0.144,0.5,0.05,0.1,3.1,0.476,0.152,0.9,0.169,0.195,13.6,1.907,0.141,2.141,14,1.2,0.146,0.12,HFD
8,221003_8,E3HN_M_6month_Control,B,Day1,1,MWM_150,10/10/22,10.8,2.25,0.208,0,0,,1.8,0.36,0.2,1.7,0.386,0.227,7.3,1.503,0.206,1.615,6.8,0,0,,Control
9,221003_9,E3HN_M_6month_Control,B,Day1,1,MWM_150,10/10/22,60,10.442,0.174,22.8,3.686,0.162,24.6,4.472,0.182,6,1.018,0.169,6.6,1.265,0.192,,,30.8,4.526,0.147,Control
10,221003_10,E3HN_M_6month_Control,B,Day1,1,MWM_150,10/10/22,60,11.694,0.195,12.5,1.981,0.159,5.2,1.083,0.21,22,4.597,0.209,20.4,4.033,0.198,,,27.7,4.37,0.158,Control
11,221003_11,E3HN_F_6month_Control,E,Day1,1,MWM_150,10/10/22,9.2,1.542,0.168,0,0,,0,0,,0.9,0.156,0.174,8.3,1.385,0.168,0.909,5.1,0,0,,Control
12,221003_12,E3HN_F_6month_Control,E,Day1,1,MWM_150,10/10/22,60,12.528,0.209,6.7,1.651,0.246,19.8,3.974,0.201,12.6,3.211,0.256,20.9,3.692,0.176,,,23.4,3.287,0.14,Control
13,221003_13,E3HN_F_6month_Control,E,Day1,1,MWM_150,10/10/22,60,12.22,0.204,9.7,2.333,0.24,6.9,1.477,0.213,30.5,5.711,0.187,12.9,2.7,0.209,,,36.7,6.539,0.178,Control
14,221003_14,E3HN_F_6month_Control,E,Day1,1,MWM_150,10/10/22,7.1,1.36,0.193,0,0,,0.6,0.115,0.182,1.5,0.365,0.25,5,0.879,0.177,0.662,3,0,0,,Control
15,221003_15,E2HN_M_6month_Control,I,Day1,1,MWM_150,10/10/22,7.6,0.797,0.104,0,0,,0,0,,0,0,,7.6,0.797,0.104,0.638,3.6,0,0,,Control
16,221003_16,E2HN_M_6month_Control,I,Day1,1,MWM_150,10/10/22,8,1.538,0.192,0,0,,0,0,,0.4,0.097,0.224,7.6,1.44,0.19,1.023,3.9,0,0,,Control
17,221003_17,E2HN_M_6month_Control,I,Day1,1,MWM_150,10/10/22,5.7,1.035,0.182,0,0,,0.8,0.16,0.2,0,0,,4.9,0.875,0.18,0.317,1.6,0,0,,Control
18,221003_18,E2HN_M_6month_Control,I,Day1,1,MWM_150,10/10/22,7.8,0.822,0.105,0,0,,0,0,,0,0,,7.8,0.822,0.105,0.69,3.8,0,0,,Control
19,221003_19,E2HN_F_6month_Control,D,Day1,1,MWM_150,10/10/22,60,12.899,0.215,13.4,2.789,0.208,38.9,8.271,0.213,0,0,,7.7,1.839,0.239,,,22,4.12,0.188,Control
20,221003_20,E2HN_F_6month_Control,D,Day1,1,MWM_150,10/10/22,60,9.624,0.16,41.2,6.309,0.153,16.9,3.005,0.177,0,0,,1.8,0.31,0.169,,,34.2,4.755,0.139,Control
21,221003_21,E2HN_F_6month_Control,D,Day1,1,MWM_150,10/10/22,60,13.196,0.22,26.5,6.293,0.238,10.8,2.335,0.217,3.3,0.746,0.228,19.5,3.823,0.196,,,29.3,5.4,0.185,Control
22,221003_22,E33_M_6month_Control,G,Day1,1,MWM_150,10/10/22,60,12.498,0.208,24.9,5.107,0.205,8.5,1.8,0.212,23.8,4.909,0.206,2.8,0.683,0.247,,,32.1,6.379,0.199,Control
23,221003_23,E4HN_M_6month_Control,A,Day1,1,MWM_150,10/10/22,54.7,9.059,0.166,10.7,1.74,0.162,6.7,1.428,0.214,13.6,2.502,0.184,23.7,3.389,0.143,9.016,50.7,24.3,3.669,0.151,Control
24,221003_24,E4HN_M_6month_Control,A,Day1,1,MWM_150,10/10/22,60,13.424,0.224,6.1,1.521,0.249,3,0.727,0.245,37.5,7.633,0.204,13.4,3.543,0.264,,,27.3,5.013,0.183,Control
25,221003_25,E4HN_M_6month_Control,A,Day1,1,MWM_150,10/10/22,5.1,0.514,0.101,0,0,,0,0,,0,0,,5.1,0.514,0.101,0.285,1.1,0,0,,Control
26,221003_26,E4HN_F_6month_Control,H,Day1,1,MWM_150,10/10/22,21.3,2.791,0.131,0,0,,0.3,0,0,1.3,0.184,0.145,19.8,2.607,0.132,2.276,17.3,0.8,0.14,0.175,Control
27,221003_27,E4HN_F_6month_Control,H,Day1,1,MWM_150,10/10/22,12.6,2.338,0.186,0,0,,1.8,0.419,0.233,0,0,,10.8,1.919,0.178,1.951,8.5,0,0,,Control
28,221003_28,E4HN_F_6month_Control,H,Day1,1,MWM_150,10/10/22,60,13.489,0.225,25.2,5.475,0.217,9.5,1.868,0.197,17.5,4.277,0.244,7.8,1.87,0.24,13.337,59.2,32.6,6.907,0.212,Control
29,221003_29,E4HN_F_6month_Control,H,Day1,1,MWM_150,10/10/22,60,11.899,0.198,19.2,3.453,0.18,27.3,5.664,0.207,0.1,0,0,13.4,2.782,0.208,,,29.8,4.26,0.143,Control
30,221003_30,E4HN_F_6month_Control,H,Day1,1,MWM_150,10/10/22,60,11.705,0.195,32.8,6.346,0.194,0.6,0.163,0.257,25.5,4.918,0.193,1.1,0.279,0.262,,,32.4,5.671,0.175,Control
31,221003_1,E22_F_12month_HFD,F,Day1,2,MWM_150,10/10/22,60,10.216,0.17,41.2,6.567,0.16,6.7,1.114,0.166,11.8,2.433,0.207,0.4,0.101,0.277,,,35.8,5.192,0.145,HFD
32,221003_2,E22_F_12month_HFD,F,Day1,2,MWM_150,10/10/22,60,10.409,0.173,24.9,4.205,0.169,15,3.014,0.201,13.6,2.328,0.171,6.4,0.861,0.134,,,53,9.056,0.171,HFD
33,221003_3,E22_F_12month_HFD,F,Day1,2,MWM_150,10/10/22,60,8.475,0.141,43.9,6.041,0.138,16.1,2.435,0.151,0,0,,0,0,,,,50,6.415,0.128,HFD
