Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age,Genotype
1,221101-1,E44_M_12mo_HFD,C,Day1,1,MWM_150,11/7/22,60,9.659,0.161,0,0,,8.4,1.044,0.124,20.5,3.598,0.176,31.1,5.017,0.161,,,42.9,6.299,0.147,HFD,Male,12,E44
2,221101-2,E44_M_12mo_HFD,C,Day1,1,MWM_150,11/7/22,12,1.116,0.093,0,0,,0,0,,3,0.315,0.105,9,0.8,0.089,0.968,7.9,0,0,,HFD,Male,12,E44
3,221101-3,E4HN_M_18mo_HFD,D,Day1,1,MWM_150,11/7/22,60,6.529,0.109,20.1,2.129,0.106,21.1,2.33,0.11,6.8,1.149,0.169,12,0.921,0.077,,,25,2.655,0.106,HFD,Male,18,E4HN
4,221101-4,E4HN_F_18mo_HFD,B,Day1,1,MWM_150,11/7/22,60,4.787,0.08,3.9,0.818,0.208,10.8,1.47,0.136,3.9,0.619,0.16,41.4,1.88,0.045,,,26.6,2.345,0.088,HFD,Female,18,E4HN
5,221101-5,E4HN_M_6mo_Control,E,Day1,1,MWM_150,11/7/22,60,11.694,0.195,20.8,3.673,0.177,18.8,3.855,0.205,6.6,1.581,0.239,13.8,2.586,0.187,,,24.2,3.295,0.136,Control,Male,6,E4HN
6,221101-6,E4HN_M_6mo_Control,E,Day1,1,MWM_150,11/7/22,60,11.861,0.198,13.1,2.012,0.154,34.2,6.973,0.204,3.4,0.845,0.246,9.2,2.031,0.22,,,32.4,5.437,0.168,Control,Male,6,E4HN
7,221101-7,E44_F_6mo_Control,H,Day1,1,MWM_150,11/7/22,50.2,11.846,0.236,3.9,1.01,0.261,0,0,,23.8,6.003,0.253,22.6,4.833,0.214,11.247,46.2,15.3,3.106,0.203,Control,Female,6,E44
8,221101-8,E44_F_6mo_Control,H,Day1,1,MWM_150,11/7/22,12.4,2.553,0.206,0,0,,0.9,0.192,0.221,1.2,0.307,0.25,10.3,2.054,0.199,1.951,8.3,0,0,,Control,Female,6,E44
9,221101-9,E44_F_6mo_Control,H,Day1,1,MWM_150,11/7/22,60,12.914,0.215,28.2,6.06,0.215,0.2,0.054,0.324,26,5.309,0.204,5.7,1.491,0.263,,,32.3,6.431,0.199,Control,Female,6,E44
10,221101-10,E44_M_6mo_Control,G,Day1,1,MWM_150,11/7/22,4.6,0.873,0.19,0,0,,1.5,0.324,0.211,0,0,,3.1,0.549,0.179,0.053,0.5,0,0,,Control,Male,6,E44
