Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
1,191028_3,APOE2/2F,A,Day1,1,MWM_150,10/28/2019,60.0,10.569,0.176,3.8,0.622,0.165,2.0,0.235,0.120,41.3,7.024,0.170,13.0,2.689,0.207,,,22.0,3.138,0.143,Control
2,191028_4,APOE2/2F,A,Day1,1,MWM_150,10/28/2019,60.0,12.318,0.205,4.1,0.648,0.158,24.9,4.284,0.172,8.0,1.643,0.206,19.4,4.356,0.225,,,40.1,7.344,0.183,Control
3,191028_5,APOE2/2F,A,Day1,1,MWM_150,10/28/2019,60.0,12.180,0.203,19.4,3.472,0.179,6.4,1.395,0.218,14.2,3.151,0.222,20.0,4.162,0.209,,,21.7,3.953,0.182,Control
4,191028_6,APOE2/2M,B,Day1,1,MWM_150,10/28/2019,60.0,10.954,0.183,30.7,5.529,0.180,6.5,1.296,0.198,13.4,2.489,0.186,9.4,1.640,0.175,,,33.2,5.016,0.151,Control
5,191028_7,APOE2/2M,B,Day1,1,MWM_150,10/28/2019,60.0,10.629,0.177,2.9,0.501,0.170,0.0,0.000,,16.7,3.187,0.191,40.4,6.941,0.172,,,21.1,3.073,0.146,Control
6,191028_3,APOE2/2F,A,Day1,2,MWM_150,10/28/2019,60.0,10.409,0.173,15.9,2.641,0.167,1.7,0.198,0.116,27.6,5.163,0.187,14.8,2.407,0.163,,,30.7,4.427,0.144,Control
7,191028_4,APOE2/2F,A,Day1,2,MWM_150,10/28/2019,60.0,11.623,0.194,16.7,2.467,0.148,8.3,1.861,0.223,21.7,4.581,0.211,13.3,2.714,0.205,,,24.2,4.420,0.182,Control
8,191028_5,APOE2/2F,A,Day1,2,MWM_150,10/28/2019,60.0,11.568,0.193,14.8,3.129,0.211,11.0,2.031,0.185,19.9,3.551,0.178,14.3,2.857,0.200,,,35.6,6.147,0.173,Control
9,191028_6,APOE2/2M,B,Day1,2,MWM_150,10/28/2019,60.0,11.338,0.189,25.7,4.264,0.166,15.7,3.315,0.211,10.3,2.120,0.206,8.1,1.638,0.201,,,31.9,6.032,0.189,Control
10,191028_7,APOE2/2M,B,Day1,2,MWM_150,10/28/2019,60.0,9.845,0.164,20.4,2.986,0.147,15.2,2.498,0.164,17.1,3.240,0.189,7.3,1.120,0.153,,,36.2,5.195,0.143,Control
11,191028_3,APOE2/2F,A,Day1,3,MWM_150,10/28/2019,60.0,10.426,0.174,7.7,1.227,0.160,28.3,4.934,0.175,7.8,1.521,0.195,16.3,2.744,0.169,,,38.1,6.285,0.165,Control
12,191028_4,APOE2/2F,A,Day1,3,MWM_150,10/28/2019,15.5,1.748,0.113,0.0,0.000,,12.6,1.493,0.118,0.0,0.000,,2.8,0.256,0.090,1.681,13.4,4.8,0.460,0.097,Control
13,191028_5,APOE2/2F,A,Day1,3,MWM_150,10/28/2019,42.0,7.822,0.186,13.6,2.716,0.200,19.7,3.892,0.197,0.0,0.000,,8.7,1.215,0.139,7.716,39.9,26.4,4.789,0.181,Control
14,191028_6,APOE2/2M,B,Day1,3,MWM_150,10/28/2019,15.8,2.612,0.166,1.5,0.154,0.102,8.9,1.740,0.196,0.0,0.000,,5.4,0.718,0.133,2.239,13.7,4.0,0.647,0.163,Control
15,191028_7,APOE2/2M,B,Day1,3,MWM_150,10/28/2019,60.0,10.052,0.168,10.0,1.935,0.194,38.7,6.386,0.165,0.0,0.000,,11.3,1.731,0.153,,,38.2,5.953,0.156,Control
16,191028_3,APOE2/2F,A,Day1,4,MWM_150,10/28/2019,50.1,8.516,0.170,3.5,0.739,0.209,14.3,2.366,0.165,16.8,3.018,0.179,15.4,2.394,0.155,8.445,48.0,27.0,4.217,0.156,Control
17,191028_4,APOE2/2F,A,Day1,4,MWM_150,10/28/2019,29.3,4.956,0.169,0.0,0.000,,3.7,0.577,0.157,16.0,2.679,0.168,9.6,1.700,0.176,4.889,27.3,8.9,1.314,0.148,Control
18,191028_5,APOE2/2F,A,Day1,4,MWM_150,10/28/2019,60.0,10.926,0.182,11.1,2.142,0.193,5.0,0.930,0.187,23.8,4.463,0.187,20.1,3.391,0.169,,,21.0,3.322,0.158,Control
19,191028_6,APOE2/2M,B,Day1,4,MWM_150,10/28/2019,7.5,1.349,0.180,0.0,0.000,,0.0,0.000,,2.2,0.391,0.178,5.3,0.958,0.181,1.006,5.4,2.7,0.356,0.134,Control
20,191028_7,APOE2/2M,B,Day1,4,MWM_150,10/28/2019,14.6,1.830,0.125,0.0,0.000,,0.0,0.000,,7.5,0.848,0.113,7.1,0.982,0.139,1.756,12.5,4.1,0.319,0.078,Control
21,191028_3,APOE2/2F,A,Day2,1,MWM_150,10/29/2019,60.0,12.762,0.213,9.1,1.834,0.200,12.7,2.709,0.213,22.3,4.731,0.212,15.8,3.488,0.220,,,23.5,4.706,0.201,Control
22,191028_4,APOE2/2F,A,Day2,1,MWM_150,10/29/2019,34.1,6.091,0.179,13.1,2.356,0.180,6.4,1.232,0.192,8.7,1.834,0.210,5.8,0.669,0.116,6.091,32.0,5.6,1.072,0.190,Control
23,191028_5,APOE2/2F,A,Day2,1,MWM_150,10/29/2019,60.0,13.583,0.226,22.2,4.832,0.218,21.9,4.918,0.225,6.9,1.664,0.242,9.1,2.170,0.239,,,24.6,5.623,0.229,Control
24,191028_6,APOE2/2M,B,Day2,1,MWM_150,10/29/2019,19.8,3.450,0.174,5.9,0.706,0.120,10.9,2.050,0.189,0.0,0.000,,3.0,0.694,0.229,3.004,17.7,4.5,0.586,0.129,Control
25,191028_7,APOE2/2M,B,Day2,1,MWM_150,10/29/2019,60.0,13.060,0.218,29.2,6.189,0.212,9.9,2.120,0.214,13.3,3.072,0.231,7.6,1.679,0.221,,,20.1,3.642,0.181,Control
26,191028_3,APOE2/2F,A,Day2,2,MWM_150,10/29/2019,9.6,1.534,0.161,0.0,0.000,,3.6,0.701,0.193,0.0,0.000,,5.9,0.833,0.141,1.430,7.5,1.6,0.309,0.193,Control
27,191028_4,APOE2/2F,A,Day2,2,MWM_150,10/29/2019,23.0,3.250,0.141,0.0,0.000,,11.9,1.666,0.140,0.0,0.000,,11.1,1.583,0.143,3.014,20.9,1.0,0.156,0.156,Control
28,191028_5,APOE2/2F,A,Day2,2,MWM_150,10/29/2019,60.0,12.889,0.215,9.8,2.347,0.239,6.1,1.391,0.228,11.9,2.555,0.215,32.2,6.597,0.205,,,9.6,1.752,0.182,Control
29,191028_6,APOE2/2M,B,Day2,2,MWM_150,10/29/2019,60.0,13.077,0.218,7.4,1.505,0.203,26.7,5.837,0.219,8.9,2.139,0.240,17.0,3.595,0.211,,,27.0,5.863,0.217,Control
30,191028_7,APOE2/2M,B,Day2,2,MWM_150,10/29/2019,12.4,2.071,0.166,0.0,0.000,,4.1,0.672,0.166,0.0,0.000,,8.4,1.399,0.167,1.551,10.4,4.6,0.469,0.102,Control
31,191028_3,APOE2/2F,A,Day2,3,MWM_150,10/29/2019,6.9,1.091,0.159,0.0,0.000,,0.0,0.000,,1.1,0.225,0.206,5.8,0.866,0.150,0.985,4.8,2.2,0.488,0.219,Control
32,191028_4,APOE2/2F,A,Day2,3,MWM_150,10/29/2019,56.0,8.676,0.155,0.0,0.000,,3.8,0.493,0.129,7.6,1.265,0.167,44.6,6.918,0.155,8.640,53.9,9.2,1.208,0.132,Control
33,191028_5,APOE2/2F,A,Day2,3,MWM_150,10/29/2019,57.4,12.504,0.218,7.5,1.829,0.245,14.2,3.059,0.216,10.7,2.373,0.223,25.1,5.244,0.209,12.504,55.3,13.0,2.689,0.207,Control
34,191028_6,APOE2/2M,B,Day2,3,MWM_150,10/29/2019,7.7,1.073,0.140,0.0,0.000,,0.0,0.000,,3.1,0.429,0.137,4.5,0.644,0.142,0.962,5.6,0.6,0.081,0.143,Control
35,191028_7,APOE2/2M,B,Day2,3,MWM_150,10/29/2019,60.0,12.996,0.217,24.9,4.863,0.195,11.2,2.383,0.213,15.3,3.779,0.247,8.5,1.971,0.231,,,34.4,6.562,0.191,Control
36,191028_3,APOE2/2F,A,Day2,4,MWM_150,10/29/2019,4.0,0.488,0.123,0.0,0.000,,1.2,0.245,0.200,0.0,0.000,,2.7,0.243,0.089,0.411,1.9,0.0,0.000,,Control
37,191028_4,APOE2/2F,A,Day2,4,MWM_150,10/29/2019,60.0,10.691,0.178,17.8,3.144,0.176,27.8,4.440,0.160,11.0,2.490,0.226,3.3,0.617,0.185,,,5.5,0.845,0.155,Control
38,191028_5,APOE2/2F,A,Day2,4,MWM_150,10/29/2019,33.2,7.171,0.216,6.9,1.817,0.263,6.1,1.189,0.196,4.2,1.051,0.250,16.1,3.113,0.194,7.171,31.2,4.9,0.819,0.168,Control
39,191028_6,APOE2/2M,B,Day2,4,MWM_150,10/29/2019,13.1,2.344,0.179,2.4,0.378,0.155,7.6,1.689,0.224,0.0,0.000,,3.1,0.277,0.089,2.273,11.0,1.3,0.186,0.143,Control
40,191028_7,APOE2/2M,B,Day2,4,MWM_150,10/29/2019,60.0,11.895,0.198,19.8,3.723,0.188,28.3,5.586,0.197,4.6,1.019,0.220,7.2,1.567,0.217,,,25.4,4.109,0.162,Control
41,191028_3,APOE2/2F,A,Day3,1,MWM_150,10/30/2019,2.5,0.105,0.043,0.0,0.000,,0.0,0.000,,0.0,0.000,,2.5,0.105,0.043,0.000,0.0,0.0,0.000,,Control
42,191028_4,APOE2/2F,A,Day3,1,MWM_150,10/30/2019,18.7,2.456,0.131,5.5,0.784,0.142,7.8,0.884,0.113,1.2,0.285,0.237,4.2,0.503,0.120,2.382,16.6,0.0,0.000,,Control
43,191028_5,APOE2/2F,A,Day3,1,MWM_150,10/30/2019,11.3,2.439,0.216,0.0,0.000,,2.8,0.576,0.209,3.9,1.097,0.284,4.7,0.766,0.164,2.329,9.2,1.3,0.159,0.123,Control
44,191028_6,APOE2/2M,B,Day3,1,MWM_150,10/30/2019,14.5,2.009,0.139,0.0,0.000,,5.3,0.960,0.181,0.0,0.000,,9.2,1.049,0.114,1.921,12.4,1.7,0.075,0.044,Control
45,191028_7,APOE2/2M,B,Day3,1,MWM_150,10/30/2019,34.9,7.256,0.208,5.2,1.246,0.241,13.6,2.679,0.198,8.2,1.979,0.240,7.9,1.352,0.171,7.222,32.8,4.5,0.982,0.217,Control
46,191028_3,APOE2/2F,A,Day3,2,MWM_150,10/30/2019,33.3,7.124,0.214,0.0,0.000,,5.4,1.060,0.196,4.2,0.920,0.219,23.7,5.144,0.217,6.822,31.2,15.9,3.359,0.211,Control
47,191028_4,APOE2/2F,A,Day3,2,MWM_150,10/30/2019,44.8,7.823,0.175,8.8,1.572,0.178,19.8,2.936,0.148,5.5,1.150,0.209,10.7,2.164,0.203,7.426,42.7,9.8,1.463,0.150,Control
