Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
1,200331_1,APOE22F,A,Day1,1,MWM_150,3/31/2020,42.7,6.691,0.157,0.0,0.000,,6.6,1.248,0.189,10.0,1.247,0.125,26.1,4.195,0.161,6.291,40.7,34.2,5.136,0.150,Control
2,200331_2,APOE22F,A,Day1,1,MWM_150,3/31/2020,60.0,9.802,0.163,28.3,4.305,0.152,31.7,5.497,0.173,0.0,0.000,,0.0,0.000,,,,37.5,5.762,0.154,Control
3,200331_3,APOE22F,A,Day1,1,MWM_150,3/31/2020,60.0,10.765,0.179,18.1,2.976,0.164,9.7,1.678,0.173,18.1,3.457,0.191,14.1,2.654,0.188,,,49.7,8.883,0.179,Control
4,200331_4,APOE22F,A,Day1,1,MWM_150,3/31/2020,60.0,10.965,0.183,18.6,3.273,0.176,13.1,2.327,0.177,16.3,3.118,0.191,12.0,2.248,0.187,,,51.8,9.434,0.182,Control
5,200331_5,APOE22F,A,Day1,1,MWM_150,3/31/2020,60.0,9.011,0.150,7.4,1.162,0.158,13.7,2.097,0.153,26.0,4.071,0.157,12.9,1.682,0.130,,,44.7,6.507,0.146,Control
6,200331_6,APOE22F,A,Day1,1,MWM_150,3/31/2020,60.0,9.800,0.163,4.0,0.641,0.160,11.9,2.141,0.180,8.3,1.274,0.153,35.7,5.744,0.161,,,49.8,7.847,0.158,Control
7,200331_7,APOE22F,A,Day1,1,MWM_150,3/31/2020,60.0,10.117,0.169,13.9,2.314,0.166,19.9,3.466,0.174,12.1,2.222,0.184,14.1,2.115,0.150,,,53.3,8.977,0.169,Control
8,200331_8,APOE22F,A,Day1,1,MWM_150,3/31/2020,54.3,9.406,0.173,0.0,0.000,,13.2,2.663,0.202,7.8,0.938,0.120,33.3,5.805,0.174,9.100,52.2,31.9,5.001,0.157,Control
9,200331_9,APOE22F,A,Day1,1,MWM_150,3/31/2020,60.0,7.730,0.129,0.0,0.000,,0.7,0.037,0.056,20.8,2.967,0.143,38.5,4.726,0.123,,,49.5,6.103,0.123,Control
10,200331_10,APOE22F,A,Day1,1,MWM_150,3/31/2020,60.0,8.909,0.148,1.7,0.375,0.220,3.6,0.626,0.172,36.4,5.190,0.142,18.2,2.719,0.149,,,46.9,6.432,0.137,Control
11,200331_11,APOE22M,C,Day1,1,MWM_150,3/31/2020,60.0,11.322,0.189,10.6,1.812,0.170,15.9,2.358,0.148,16.6,3.175,0.192,16.9,3.977,0.236,,,49.1,8.551,0.174,Control
12,200331_12,APOE22M,C,Day1,1,MWM_150,3/31/2020,60.0,11.434,0.191,11.8,2.391,0.203,19.9,3.467,0.174,11.0,2.331,0.213,17.4,3.246,0.186,,,32.5,5.723,0.176,Control
13,200331_13,APOE22M,C,Day1,1,MWM_150,3/31/2020,60.0,12.189,0.203,5.7,1.147,0.200,19.8,3.876,0.196,12.9,2.952,0.229,21.6,4.214,0.195,,,36.4,7.247,0.199,Control
14,200331_14,APOE44M,D,Day1,1,MWM_150,3/31/2020,60.0,10.690,0.178,28.3,4.557,0.161,15.4,2.445,0.159,8.6,2.031,0.235,7.7,1.657,0.216,,,36.8,5.679,0.154,Control
15,200331_15,APOE44M,D,Day1,1,MWM_150,3/31/2020,58.6,11.855,0.202,13.6,2.683,0.198,6.6,1.207,0.183,12.3,2.568,0.209,26.2,5.397,0.206,11.448,56.6,33.5,5.911,0.177,Control
16,200331_16,APOE44M,D,Day1,1,MWM_150,3/31/2020,60.0,9.476,0.158,13.0,2.429,0.188,15.5,2.511,0.162,23.3,3.353,0.144,8.3,1.184,0.143,,,37.9,4.799,0.127,Control
17,200331_17,APOE44F,B,Day1,1,MWM_150,3/31/2020,60.0,12.323,0.205,24.4,4.910,0.201,18.5,3.874,0.209,13.4,2.984,0.223,3.7,0.555,0.151,,,28.6,5.259,0.184,Control
18,200331_18,APOE44M,D,Day1,1,MWM_150,3/31/2020,10.3,0.953,0.093,0.0,0.000,,0.0,0.000,,1.7,0.309,0.182,8.6,0.644,0.075,0.916,8.2,1.4,0.092,0.065,Control
19,200331_19,APOE44F,B,Day1,1,MWM_150,3/31/2020,60.0,9.878,0.165,3.8,0.771,0.205,26.5,4.019,0.152,0.4,0.054,0.148,29.4,5.034,0.171,,,30.4,3.443,0.113,Control
20,200331_20,APOE44M,D,Day1,1,MWM_150,3/31/2020,60.0,8.355,0.139,7.6,0.916,0.121,23.3,3.084,0.133,14.0,2.114,0.151,15.2,2.240,0.147,,,52.5,6.809,0.130,Control
21,200331_21,APOE44F,B,Day1,1,MWM_150,3/31/2020,60.0,8.711,0.145,22.3,3.266,0.147,7.2,0.976,0.136,24.8,3.552,0.143,5.7,0.917,0.160,,,32.2,3.091,0.096,Control
22,200331_1,APOE22F,A,Day1,2,MWM_150,3/31/2020,60.0,11.589,0.193,5.6,1.266,0.225,15.7,3.088,0.196,15.7,2.852,0.182,23.0,4.383,0.191,,,38.4,6.613,0.172,Control
23,200331_2,APOE22F,A,Day1,2,MWM_150,3/31/2020,26.1,4.760,0.182,8.0,1.387,0.173,6.0,1.336,0.224,9.5,1.545,0.163,2.7,0.492,0.184,4.433,24.1,14.1,2.196,0.155,Control
24,200331_3,APOE22F,A,Day1,2,MWM_150,3/31/2020,60.0,11.316,0.189,24.2,4.630,0.192,20.1,3.817,0.190,4.3,0.800,0.187,11.4,2.069,0.181,,,40.3,7.313,0.181,Control
25,200331_4,APOE22F,A,Day1,2,MWM_150,3/31/2020,60.0,11.541,0.192,14.5,2.863,0.198,15.4,2.710,0.176,14.3,2.930,0.204,15.8,3.038,0.192,,,48.9,9.076,0.186,Control
26,200331_5,APOE22F,A,Day1,2,MWM_150,3/31/2020,60.0,12.159,0.203,19.9,3.963,0.199,8.7,1.817,0.208,20.0,4.162,0.208,11.3,2.216,0.195,,,30.4,6.040,0.199,Control
27,200331_6,APOE22F,A,Day1,2,MWM_150,3/31/2020,60.0,11.622,0.194,17.0,2.919,0.172,0.0,0.000,,34.6,6.786,0.196,8.4,1.917,0.228,,,29.4,5.001,0.170,Control
