Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,First zone entered,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : latency to first entry,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
1,201026_1,E4HN_F,C,Day1,1,MWM_150,11/2/2020,60.0,8.669,SE,0.144,0.0,0.000,,9.9,1.421,0.144,23.6,3.619,0.153,26.5,3.630,2.8,0.137,,,49.7,6.771,0.136,Control
2,201026_2,E4HN_F,C,Day1,1,MWM_150,11/2/2020,60.0,10.575,SW,0.176,12.9,1.830,0.142,12.3,2.179,0.177,10.1,1.903,0.188,24.6,4.662,0.0,0.189,,,22.8,3.261,0.143,Control
3,201026_3,E4HN_M,A,Day1,1,MWM_150,11/2/2020,60.0,8.867,SW,0.148,5.5,0.812,0.148,0.0,0.000,,30.0,4.544,0.151,24.5,3.511,0.0,0.143,,,36.5,4.791,0.131,Control
4,201026_4,E4HN_M,A,Day1,1,MWM_150,11/2/2020,60.0,9.723,SW,0.162,5.2,0.932,0.179,19.1,3.388,0.178,16.6,2.279,0.138,19.2,3.125,0.0,0.163,,,31.2,4.235,0.136,Control
5,201026_5,E4HN_FHet,B,Day1,1,MWM_150,11/2/2020,60.0,11.679,SW,0.195,8.9,2.068,0.231,5.7,1.236,0.218,21.0,4.299,0.205,24.3,4.008,0.0,0.165,,,31.1,5.165,0.166,Control
6,201026_6,E4HN_FHet,B,Day1,1,MWM_150,11/2/2020,60.0,13.289,SE,0.221,17.3,3.973,0.229,9.6,2.270,0.237,23.6,4.772,0.202,9.4,2.274,35.8,0.242,,,45.9,9.506,0.207,Control
7,201026_1,E4HN_F,C,Day1,2,MWM_150,11/2/2020,60.0,9.303,SE,0.155,16.6,2.772,0.167,10.7,1.508,0.141,10.8,1.804,0.167,21.9,3.219,10.7,0.147,,,38.3,5.672,0.148,Control
8,201026_2,E4HN_F,C,Day1,2,MWM_150,11/2/2020,42.2,7.604,SW,0.180,4.8,0.898,0.186,2.3,0.404,0.178,20.3,3.677,0.181,14.8,2.624,0.0,0.178,7.234,40.1,25.6,4.410,0.172,Control
9,201026_3,E4HN_M,A,Day1,2,MWM_150,11/2/2020,60.0,8.921,NW,0.149,16.7,2.613,0.156,10.0,1.471,0.147,17.0,2.717,0.160,15.9,2.022,15.2,0.127,,,45.3,6.371,0.141,Control
10,201026_4,E4HN_M,A,Day1,2,MWM_150,11/2/2020,60.0,9.398,NE,0.157,8.7,1.164,0.134,14.0,1.912,0.137,28.4,4.602,0.162,8.8,1.687,28.2,0.191,,,40.5,5.736,0.142,Control
11,201026_5,E4HN_FHet,B,Day1,2,MWM_150,11/2/2020,60.0,11.148,SW,0.186,20.9,3.736,0.179,12.8,2.246,0.176,9.6,1.933,0.201,16.7,3.234,0.0,0.194,,,42.7,7.414,0.173,Control
12,201026_6,E4HN_FHet,B,Day1,2,MWM_150,11/2/2020,60.0,11.487,NE,0.191,20.1,4.080,0.203,3.4,0.458,0.134,23.3,4.623,0.199,13.2,2.325,21.3,0.177,,,23.0,3.273,0.143,Control
13,201026_1,E4HN_F,C,Day1,3,MWM_150,11/2/2020,49.4,6.476,NW,0.131,0.0,0.000,,15.7,1.975,0.126,0.4,0.042,0.114,33.3,4.459,0.7,0.134,6.407,47.3,25.8,3.714,0.144,Control
14,201026_2,E4HN_F,C,Day1,3,MWM_150,11/2/2020,49.0,9.008,NW,0.184,0.0,0.000,,16.2,2.616,0.162,16.6,3.299,0.199,16.3,3.094,7.6,0.190,8.670,46.9,15.0,2.544,0.169,Control
15,201026_3,E4HN_M,A,Day1,3,MWM_150,11/2/2020,60.0,8.479,NW,0.141,0.0,0.000,,26.9,3.397,0.126,21.6,3.238,0.150,11.5,1.844,26.9,0.160,,,20.7,2.544,0.123,Control
