Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
1,210112_1,E4HN_F,D,Day1,1,MWM_150,4/19/21,11.5,0.463,0.04,0,0,,0,0,,0,0,,11.5,0.463,0.04,0.424,7.4,0,0,,HFD
2,210112_2,E4HN_F,D,Day1,1,MWM_150,4/19/21,49.3,6.519,0.132,0.4,0.05,0.137,25.6,3.392,0.133,2.3,0.422,0.184,14.4,1.698,0.118,6.481,45.3,6.7,0.957,0.143,HFD
3,210112_4,E4HN_F,D,Day1,1,MWM_150,4/19/21,60,9.482,0.158,13.1,2.67,0.203,18,3.215,0.179,1.4,0.296,0.211,4.2,0.62,0.148,,,23.3,2.681,0.115,HFD
4,210112_5,E4HN_M,F,Day1,1,MWM_150,4/19/21,60,11.398,0.19,19,4.303,0.227,11.8,1.679,0.142,2.6,0.471,0.18,2.5,0.23,0.091,,,24.1,4.715,0.196,Control
5,210112_6,E4HN_M,F,Day1,1,MWM_150,4/19/21,40.2,7.081,0.176,2.5,0.476,0.193,4.4,0.891,0.201,1.6,0.324,0.207,19.2,3.641,0.189,6.429,36.2,12.5,1.749,0.14,Control
6,210112_7,E4HN_M,F,Day1,1,MWM_150,4/19/21,60,10.741,0.179,1.6,0.387,0.237,19,2.764,0.145,5.3,1.199,0.226,10.1,2.328,0.231,,,23.9,4.062,0.17,Control
7,210112_8,E4HN_M,F,Day1,1,MWM_150,4/19/21,7.5,0.843,0.112,0,0,,0,0,,0,0,,7.5,0.843,0.112,0.566,3.5,0,0,,Control
8,210112_9,E4HN_M,F,Day1,1,MWM_150,4/19/21,60,11.801,0.197,6.1,1.35,0.221,6.3,1.334,0.211,15.3,3.49,0.228,8,1.744,0.219,,,24.3,3.884,0.16,HFD
9,210112_10,E4HN_M,F,Day1,1,MWM_150,4/19/21,8.8,0.938,0.107,0,0,,0,0,,2.3,0.49,0.213,6.5,0.449,0.069,0.853,4.8,0,0,,HFD
10,210112_11,E4HN_M,F,Day1,1,MWM_150,4/19/21,42.3,3.765,0.089,0,0,,0,0,,11.3,0.94,0.083,19,1.98,0.104,3.247,38.2,12.1,0.846,0.07,HFD
11,210112_12,E4HN_M,F,Day1,1,MWM_150,4/19/21,54.8,6.863,0.125,1.2,0.209,0.169,11.8,1.69,0.143,5.3,0.701,0.132,17.7,2.438,0.138,6.069,50.7,18.7,1.826,0.097,HFD
12,210112_13,E4HN_F,D,Day1,1,MWM_150,4/19/21,19.4,3.1,0.16,0,0,,8.7,1.676,0.193,0,0,,9.9,1.297,0.131,2.945,15.3,0.8,0.127,0.166,Control
13,210112_14,E4HN_F,D,Day1,1,MWM_150,4/19/21,60,9.275,0.155,3.6,0.629,0.175,9,1.67,0.187,1.6,0.333,0.208,9.3,1.554,0.167,,,37.8,5.293,0.14,Control
14,210112_15,E4HN_F,D,Day1,1,MWM_150,4/19/21,19,3.072,0.161,0,0,,2.1,0.334,0.156,1.1,0.201,0.177,15.8,2.538,0.161,2.97,15,0,0,,Control
15,210112_16,E4HN_F,D,Day1,1,MWM_150,4/19/21,60,10.068,0.168,18.2,3.542,0.195,8.7,1.642,0.189,9.2,1.875,0.204,5.4,0.929,0.172,,,18.5,2.08,0.112,Control
16,210112_17,E4HN_F,D,Day1,1,MWM_150,4/19/21,60,11.575,0.193,3.3,0.738,0.224,0.7,0.135,0.181,10.8,2.103,0.195,21.4,3.717,0.174,,,23.8,4.882,0.205,Control
17,210112_18,E3HN_M,C,Day1,1,MWM_150,4/19/21,60,9.054,0.151,1.6,0.3,0.192,29.3,4.488,0.153,0.9,0.174,0.193,5.8,0.981,0.168,,,23.3,3.297,0.142,HFD
18,210112_19,E3HN_M,C,Day1,1,MWM_150,4/19/21,60,7.739,0.129,0,0,,18.5,2.821,0.153,0.4,0.082,0.224,8.7,0.804,0.093,,,34.5,4.371,0.127,HFD
19,210112_20,E3HN_M,C,Day1,1,MWM_150,4/19/21,60,10.128,0.169,1.4,0.193,0.135,14,3.339,0.238,10.2,1.671,0.164,10.4,1.935,0.186,,,24.5,3.087,0.126,HFD
