Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,First zone entered,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : latency to first entry,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
1,210201_1,E33_F,A,Day1,1,MWM_150,2/8/2021,60.0,10.702,SW,0.178,5.4,1.015,0.188,12.9,1.910,0.148,19.2,3.429,0.178,21.7,4.170,0.0,0.192,,,34.6,5.374,0.155,Control
2,210201_2,E33_F,A,Day1,1,MWM_150,2/8/2021,60.0,14.674,SW,0.245,13.7,2.891,0.211,14.5,3.404,0.235,9.1,2.726,0.300,19.5,4.786,0.0,0.246,,,47.5,10.947,0.231,Control
3,210201_3,E33_F,A,Day1,1,MWM_150,2/8/2021,29.1,3.935,SE,0.135,4.6,0.869,0.190,1.6,0.240,0.153,12.8,1.886,0.147,10.2,0.940,1.5,0.092,3.862,25.1,3.1,0.519,0.168,Control
4,210201_4,E33_F,A,Day1,1,MWM_150,2/8/2021,12.4,1.320,NW,0.106,0.0,0.000,,7.3,0.591,0.081,0.0,0.000,,5.1,0.730,7.3,0.142,0.910,8.4,6.7,0.176,0.026,Control
5,210201_5,E33_F,A,Day1,1,MWM_150,2/8/2021,60.0,12.308,SE,0.205,5.8,1.063,0.183,14.4,2.815,0.195,6.6,1.417,0.216,33.2,7.013,0.4,0.211,,,29.0,5.356,0.184,Control
6,210201_6,E44_F,C,Day1,1,MWM_150,2/8/2021,60.0,12.463,SW,0.208,11.1,2.521,0.227,16.7,3.161,0.190,8.4,2.096,0.251,21.3,4.160,0.0,0.195,,,37.1,7.467,0.201,Control
7,210201_7,E44_F,C,Day1,1,MWM_150,2/8/2021,60.0,11.871,SW,0.198,21.3,3.997,0.188,25.0,4.774,0.191,5.2,1.086,0.210,3.8,1.103,0.0,0.289,,,49.3,9.381,0.190,Control
8,210201_8,E44_F,C,Day1,1,MWM_150,2/8/2021,60.0,10.347,NW,0.172,0.0,0.000,,6.4,1.222,0.192,19.2,3.277,0.171,34.4,5.848,2.9,0.170,,,52.4,8.671,0.166,Control
9,210201_9,E44_F,C,Day1,1,MWM_150,2/8/2021,60.0,14.562,SE,0.243,9.4,2.177,0.232,7.6,1.843,0.244,23.8,6.159,0.259,16.4,3.790,3.3,0.231,,,34.1,7.926,0.232,Control
10,210201_10,E44_F,C,Day1,1,MWM_150,2/8/2021,60.0,11.596,NE,0.193,27.5,5.143,0.187,9.9,1.809,0.182,8.9,2.081,0.235,4.2,0.620,8.1,0.147,,,41.4,7.857,0.190,Control
11,210201_11,E44_M,B,Day1,1,MWM_150,2/8/2021,60.0,12.432,SW,0.207,18.3,3.724,0.204,19.7,4.535,0.230,9.4,1.831,0.195,7.7,1.370,0.0,0.178,,,42.6,9.115,0.214,Control
12,210201_12,E44_M,B,Day1,1,MWM_150,2/8/2021,60.0,8.807,SW,0.147,2.9,0.561,0.191,28.1,4.005,0.143,3.3,0.487,0.146,23.3,3.329,0.0,0.143,,,37.9,5.515,0.146,Control
13,210201_13,E44_M,B,Day1,1,MWM_150,2/8/2021,60.0,11.724,SW,0.195,17.4,3.649,0.209,1.9,0.397,0.209,29.3,5.509,0.188,4.9,0.737,0.0,0.150,,,35.5,6.331,0.178,Control
