Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,First zone entered,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : latency to first entry,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
1,210503_1,E33_M,C,Day1,1,MWM_150,5/10/21,60,13.459,SW,0.224,9.5,2.204,0.232,11,2.683,0.244,14.6,3.559,0.244,10.6,2.679,0,0.254,,,14.4,2.334,0.162,Control
2,210503_2,E33_M,C,Day1,1,MWM_150,5/10/21,60,12.278,SW,0.205,12.2,2.72,0.224,14.3,2.506,0.175,12.4,3.001,0.243,2.4,0.525,0,0.215,,,18.7,3.526,0.189,Control
3,210503_3,E33_M,C,Day1,1,MWM_150,5/10/21,60,10.152,SW,0.169,8.7,1.786,0.205,21.1,4.356,0.206,0,0,,4.1,0.705,0,0.172,,,26.3,3.341,0.127,Control
4,210503_4,E33_M,C,Day1,1,MWM_150,5/10/21,60,7.142,SW,0.119,4.3,0.714,0.167,3.1,0.637,0.205,2.7,0.504,0.189,4.9,1.036,0,0.212,,,45.1,4.252,0.094,Control
5,210503_5,E33_M,C,Day1,1,MWM_150,5/10/21,60,10.757,SW,0.179,0,0,,6.6,1.29,0.195,2.2,0.481,0.218,19.9,4.021,0,0.202,,,31.2,4.965,0.159,Control
6,210503_6,E33_M,C,Day1,1,MWM_150,5/10/21,6,0.279,SW,0.046,0,0,,0,0,,0,0,,6,0.279,0,0.046,0.17,1.9,0,0,,Control
7,210503_7,E33_F,B,Day1,1,MWM_150,5/10/21,21,3.915,SW,0.186,0,0,,2.4,0.441,0.184,0,0,,7.2,1.726,0,0.239,3.173,16.9,11.7,1.785,0.153,Control
8,210503_8,E33_F,B,Day1,1,MWM_150,5/10/21,7.5,0.551,SW,0.073,0,0,,0,0,,0,0,,7.5,0.551,0,0.073,0.443,3.5,0,0,,Control
9,210503_9,E33_F,B,Day1,1,MWM_150,5/10/21,60,11.865,NW,0.198,5.5,1.192,0.215,11.3,2.722,0.24,0,0,,1.4,0.271,34.8,0.198,,,44,8.283,0.188,Control
10,210503_10,E33_F,B,Day1,1,MWM_150,5/10/21,60,10.536,SW,0.176,0,0,,17,3.627,0.213,0,0,,9.3,1.945,0,0.209,,,34.6,5.149,0.149,Control
11,210503_11,E33_F,B,Day1,1,MWM_150,5/10/21,33.7,3.035,SW,0.09,0,0,,0,0,,3.9,0.444,0.113,23.6,1.996,0,0.084,3.001,29.7,6.2,0.595,0.096,Control
12,210503_12,E33_F,B,Day1,1,MWM_150,5/10/21,60,9.085,SW,0.151,0.1,0.034,0.254,3,0.692,0.231,7.9,1.454,0.185,15.5,2.976,0,0.192,,,33.5,3.929,0.117,Control
13,210503_13,E33_F,B,Day1,1,MWM_150,5/10/21,13.3,2.536,SE,0.191,1,0.297,0.288,0,0,,5,1.317,0.261,5.3,0.402,8,0.076,2.431,9.2,1.9,0.519,0.269,Control
14,210503_14,E33_F,B,Day1,1,MWM_150,5/10/21,4.4,0.109,SW,0.025,0,0,,0,0,,0,0,,4.4,0.109,0,0.025,0,0,0,0,,Control
15,210503_15,E33_F,B,Day1,1,MWM_150,5/10/21,60,11.42,SW,0.19,10.5,1.956,0.186,4.2,0.842,0.202,10.7,2.09,0.195,2,0.427,0,0.217,,,32.6,6.106,0.187,Control
16,210503_16,E33_F,B,Day1,1,MWM_150,5/10/21,27.1,3.257,SW,0.12,0.8,0.132,0.165,0,0,,3.2,0.642,0.203,8.4,0.95,0,0.113,3.139,23,14.7,1.533,0.104,Control
17,210503_17,E33_F,B,Day1,1,MWM_150,5/10/21,60,8.444,SW,0.141,1,0.166,0.161,16.4,3.553,0.217,0,0,,3.5,0.552,0,0.158,,,39.6,4.308,0.109,Control
