Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
1,210614_1,E3HN_M,C,Day1,1,MWM_150,6/21/21,4.4,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,,HFD,F,12
2,210614_2,E2HN_F,D,Day1,1,MWM_150,6/21/21,15.2,1.471,0.097,0,0,,0,0,,0,0,,11.1,1.358,0.122,1.358,11.1,1.8,0.252,0.14,HFD,F,12
3,210614_3,E2HN_F,D,Day1,1,MWM_150,6/21/21,8.5,0.817,0.097,0,0,,0,0,,0,0,,4.4,0.712,0.161,0.712,4.4,0.4,0.075,0.173,HFD,F,12
4,210614_4,E2HN_F,D,Day1,1,MWM_150,6/21/21,9.9,0.452,0.046,0,0,,0,0,,0,0,,5.8,0.418,0.072,0.418,5.8,1.1,0.128,0.113,HFD,F,12
5,210614_5,E2HN_F,D,Day1,1,MWM_150,6/21/21,6.7,0.531,0.079,0,0,,0,0,,0,0,,2.7,0.423,0.158,0.423,2.7,1.8,0.299,0.168,HFD,F,12
6,210614_6,E2HN_M,B,Day1,1,MWM_150,6/21/21,6.1,0.178,0.029,0,0,,0,0,,0,0,,2,0.134,0.068,0.134,2,0,0,,HFD,M,12
7,210614_7,E2HN_M,B,Day1,1,MWM_150,6/21/21,60,8.639,0.144,11.6,2.014,0.174,30.2,4.18,0.138,4.3,0.74,0.172,13.9,1.705,0.122,,,26.2,2.918,0.111,HFD,M,12
8,210614_8,E3HN_M,C,Day1,1,MWM_150,6/21/21,33.8,3.843,0.114,3,0.421,0.139,7.9,1.451,0.183,1.4,0.089,0.064,17.4,1.84,0.106,3.801,29.7,1.8,0.275,0.155,HFD,M,12
9,210614_9,E3HN_M,C,Day1,1,MWM_150,6/21/21,60,10.014,0.167,28.8,4.891,0.17,13.5,2.222,0.165,9.5,1.524,0.161,8.2,1.377,0.167,,,20,2.712,0.136,HFD,M,12
10,210614_10,E3HN_M,C,Day1,1,MWM_150,6/21/21,8.5,0.635,0.075,0,0,,0,0,,0,0,,4.4,0.567,0.128,0.567,4.4,0,0,,HFD,M,12
11,210614_11,E3HN_M,C,Day1,1,MWM_150,6/21/21,60,8.61,0.143,0,0,,1.2,0.232,0.198,10.8,1.051,0.097,48,7.326,0.153,,,46.4,6.473,0.139,HFD,M,12
12,210614_12,E3HN_M,C,Day1,1,MWM_150,6/21/21,46.1,5.674,0.123,0,0,,0,0,,7.5,0.668,0.089,34.5,4.878,0.141,5.545,42,17.7,2.388,0.135,HFD,M,12
13,210614_13,E3HN_F,A,Day1,1,MWM_150,6/21/21,32.1,5.242,0.163,0,0,,0,0,,7.6,1.394,0.183,21.7,3.764,0.174,5.069,28,6.7,0.931,0.138,HFD,F,12
14,210614_14,E3HN_F,A,Day1,1,MWM_150,6/21/21,44.5,4.735,0.106,0,0,,0,0,,28.6,2.867,0.1,15.8,1.868,0.118,4.347,40.4,7.6,0.739,0.097,HFD,F,12
15,210614_15,E3HN_F,A,Day1,1,MWM_150,6/21/21,60,9.148,0.152,27.8,4.055,0.146,18.1,2.523,0.14,2.7,0.329,0.123,11.5,2.241,0.195,,,36.2,4.769,0.132,HFD,F,12
16,210614_16,E3HN_F,A,Day1,1,MWM_150,6/21/21,60,8.994,0.15,9.3,1.507,0.163,28.6,4.482,0.157,11.2,1.431,0.128,10.9,1.575,0.145,,,19.6,2.499,0.128,HFD,F,12
17,210614_31,E3HN_F,A,Day1,1,MWM_150,6/21/21,8.9,0.54,0.061,0,0,,0,0,,0,0,,4.8,0.456,0.095,0.456,4.8,0,0,,HFD,F,12
18,210614_17,E3HN_F,A,Day1,1,MWM_150,6/21/21,60,11.735,0.196,13.8,3.004,0.217,13.2,2.426,0.183,17.3,3.736,0.216,15.6,2.568,0.164,,,15,2.336,0.156,Control,F,12
19,210614_18,E3HN_F,A,Day1,1,MWM_150,6/21/21,18.2,3.13,0.172,0,0,,0,0,,1.2,0.077,0.066,16.8,3.053,0.181,2.544,14.2,5.9,1.062,0.181,Control,F,12
20,210614_19,E3HN_F,A,Day1,1,MWM_150,6/21/21,7.5,0.653,0.088,0,0,,0,0,,0,0,,3.4,0.574,0.17,0.574,3.4,0,0,,Control,F,12
