Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
1,211004_1,E33_M,C,Day1,1,MWM_150,10/11/21,5.5,0.18,0.033,0,0,,0,0,,0,0,,5.5,0.18,0.033,0.042,1.4,0,0,,Control,M,12
2,211004_2,E33_M,C,Day1,1,MWM_150,10/11/21,6.3,0.368,0.059,0,0,,0,0,,0.8,0.045,0.057,5.5,0.323,0.059,0.283,2.2,0,0,,Control,M,12
3,211004_3,E33_M,C,Day1,1,MWM_150,10/11/21,13.6,1.874,0.137,0,0,,0,0,,0,0,,13.6,1.874,0.137,1.749,9.6,1.9,0.295,0.158,Control,M,12
4,211004_5,E33_F,C,Day1,1,MWM_150,10/11/21,60,9.923,0.165,39,6.19,0.159,1.8,0.279,0.155,10.8,2.102,0.194,8.3,1.352,0.162,,,43,7.357,0.171,HFD,F,12
5,211004_9,E33_F,C,Day1,1,MWM_150,10/11/21,15.3,2.299,0.15,0,0,,0,0,,6.5,1.325,0.204,8.8,0.975,0.111,2.252,11.2,5.2,1.193,0.229,HFD,F,12
6,211004_10,E4HN_F,B,Day1,1,MWM_150,10/11/21,20,2.383,0.119,6.8,0.891,0.132,5.2,0.815,0.157,0,0,,8,0.677,0.084,2.267,15.9,0,0,,Control,F,12
7,211004_11,E4HN_F,B,Day1,1,MWM_150,10/11/21,60,8.796,0.147,0,0,,5.8,0.794,0.136,40,5.28,0.132,14.2,2.722,0.192,,,31.2,3.798,0.122,Control,F,12
8,211004_12,E4HN_F,B,Day1,1,MWM_150,10/11/21,46.6,6.968,0.15,0,0,,0,0,,34.4,5.644,0.164,12.1,1.324,0.109,6.968,42.5,15.8,2.4,0.152,Control,F,12
9,211004_13,E4HN_F,B,Day1,1,MWM_150,10/11/21,60,10.803,0.18,19,3.2,0.169,4.5,1.149,0.257,28.1,4.646,0.166,8.5,1.807,0.212,,,29.1,5.577,0.191,Control,F,12
10,211004_14,E4HN_M,B,Day1,1,MWM_150,10/11/21,60,8.089,0.135,0,0,,5.6,1.099,0.195,29.2,3.267,0.112,25.2,3.723,0.148,,,34.6,4.411,0.128,HFD,M,12
11,211004_15,E4HN_M,B,Day1,1,MWM_150,10/11/21,60,7.52,0.125,0.6,0.095,0.154,0,0,,39.3,4.911,0.125,20.1,2.514,0.125,,,31.4,3.298,0.105,HFD,M,12
12,211004_16,E4HN_M,B,Day1,1,MWM_150,10/11/21,60,9.372,0.156,7,1.412,0.201,0.7,0.101,0.144,20.6,3.155,0.153,31.7,4.704,0.148,,,34,5.43,0.16,HFD,M,12
13,211004_17,E4HN_M,B,Day1,1,MWM_150,10/11/21,60,8.362,0.139,4.5,0.755,0.167,2.8,0.611,0.216,20.5,3.426,0.167,32.1,3.57,0.111,,,29.4,2.89,0.098,HFD,M,12
14,211004_19,E44_M,A,Day1,1,MWM_150,10/11/21,8.3,0.82,0.098,0,0,,0,0,,0,0,,8.3,0.82,0.098,0.53,4.2,0,0,,Control,M,18
15,211004_20,E44_F,A,Day1,1,MWM_150,10/11/21,60,11.8,0.197,16.7,3.072,0.184,8.1,1.525,0.188,22.2,4.344,0.196,13,2.858,0.22,,,30.4,6.113,0.201,Control,F,18
16,211004_21,E4HN_M,B,Day1,1,MWM_150,10/11/21,5.5,0.173,0.031,0,0,,0,0,,0,0,,5.5,0.173,0.031,0.132,1.4,0,0,,Control,M,18
17,211004_1,E33_M,C,Day1,2,MWM_150,10/11/21,60,12.19,0.203,29.3,6.01,0.205,6,1.02,0.169,15,2.986,0.199,9.7,2.174,0.225,,,37.1,6.812,0.184,Control,M,12
