Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
1,211122_1,E2HN_F_hfd,B,Day1,1,MWM_150,11/29/2021,60,12.192,0.203,16.4,3.126,0.191,17.5,3.123,0.179,14.1,3.224,0.229,12,2.718,0.226,,,36.2,6.608,0.182,HFD,F,12
2,211122_2,E2HN_F_hfd,B,Day1,1,MWM_150,11/29/2021,60,11.062,0.184,5.3,1.152,0.219,25.9,3.817,0.147,14.7,3.281,0.223,14.1,2.811,0.2,,,12.8,1.482,0.116,HFD,F,12
3,211122_3,E2HN_F_hfd,B,Day1,1,MWM_150,11/29/2021,23.1,3.189,0.138,0,0,,0,0,,12.7,2.255,0.178,10.4,0.934,0.089,3.149,19,3.6,0.413,0.116,HFD,F,12
4,211122_4,E2HN_F_hfd,B,Day1,1,MWM_150,11/29/2021,5.7,0.795,0.14,0,0,,1,0.042,0.042,0,0,,4.7,0.753,0.161,0.297,1.6,0,0,,HFD,F,12
5,211122_5,E2HN_F_hfd,B,Day1,1,MWM_150,11/29/2021,60,11.026,0.184,17.3,3.057,0.177,26.8,4.991,0.186,5.5,1.162,0.21,10.4,1.816,0.175,,,17.1,2.658,0.156,HFD,F,12
6,211122_6,E2HN_F_hfd,B,Day1,1,MWM_150,11/29/2021,60,10.003,0.167,17.5,2.667,0.152,0,0,,28.9,4.929,0.17,13.6,2.407,0.177,,,26.4,3.696,0.14,HFD,F,12
7,211122_7,E2HN_F_hfd,B,Day1,1,MWM_150,11/29/2021,60,10.456,0.174,34.1,5.769,0.169,3.4,0.606,0.178,19.7,3.61,0.183,2.8,0.471,0.166,,,24.2,3.758,0.156,HFD,F,12
8,211122_8,E2HN_F_hfd,B,Day1,1,MWM_150,11/29/2021,4.5,0.283,0.062,0,0,,0,0,,0,0,,4.5,0.283,0.062,,0.5,0,0,,HFD,F,12
9,211122_9,E2HN_M_ctrl,A,Day1,1,MWM_150,11/29/2021,60,11.671,0.195,6.6,1.192,0.18,0,0,,38.8,7.433,0.192,14.6,3.047,0.209,,,20.2,3.034,0.151,Control,M,12
10,211122_10,E2HN_M_ctrl,A,Day1,1,MWM_150,11/29/2021,60,11.636,0.194,11.1,2.14,0.192,24.3,4.508,0.186,9,2.235,0.249,15.6,2.753,0.176,,,32.1,5.435,0.169,Control,M,12
11,211122_11,E2HN_M_ctrl,A,Day1,1,MWM_150,11/29/2021,60,12.797,0.213,18.8,4.369,0.233,9.7,2.117,0.218,18.6,3.855,0.207,12.9,2.456,0.19,,,22.5,4.699,0.209,Control,M,12
