Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
1,220307_1,E3HN_18mnth control_F,D,Day1,1,MWM_150,3/21/2022,5.9,0.205,0.035,0.0,0.000,,0.0,0.000,,0.0,0.000,,5.9,0.205,0.035,0.049,0.8,0.0,0.000,,Control,F,18.00
2,220307_2,E3HN_18mnth control_F,D,Day1,1,MWM_150,3/21/2022,60.0,10.055,0.168,25.7,4.469,0.174,8.1,0.921,0.113,25.4,4.604,0.181,0.7,0.061,0.083,,,39.4,6.355,0.161,Control,F,18.00
3,220307_4,E3HN_18mnth control_F,D,Day1,1,MWM_150,3/21/2022,60.0,9.584,0.160,40.2,6.280,0.156,0.0,0.000,,18.6,3.111,0.167,1.2,0.193,0.157,,,40.2,5.785,0.144,Control,F,18.00
4,220307_5,E3HN_18mnth control_F,D,Day1,1,MWM_150,3/21/2022,23.8,2.947,0.124,2.2,0.318,0.142,3.6,0.548,0.151,0.8,0.165,0.198,17.1,1.916,0.112,2.871,18.7,0.0,0.000,,Control,F,18.00
5,220307_6,E2HN_18mnth control_M,A,Day1,1,MWM_150,3/21/2022,60.0,9.739,0.162,8.8,1.548,0.175,0.0,0.000,,43.9,7.308,0.166,7.3,0.883,0.122,,,34.7,5.278,0.152,Control,M,18.00
6,220307_7,E2HN_18mnth control_M,A,Day1,1,MWM_150,3/21/2022,60.0,10.135,0.169,6.2,1.182,0.190,0.0,0.000,,34.6,5.646,0.163,19.2,3.306,0.173,,,40.8,6.032,0.148,Control,M,18.00
7,220307_8,E2HN_18mnth control_M,A,Day1,1,MWM_150,3/21/2022,6.6,0.360,0.055,0.0,0.000,,0.0,0.000,,0.0,0.000,,6.6,0.360,0.055,0.271,1.6,0.0,0.000,,Control,M,18.00
8,220307_9,E2HN_18mnth control_F,C,Day1,1,MWM_150,3/21/2022,60.0,8.767,0.146,12.5,1.773,0.142,43.3,6.310,0.146,0.0,0.000,,4.2,0.684,0.161,,,29.9,3.880,0.130,Control,F,18.00
9,220307_10,E2HN_18mnth control_F,C,Day1,1,MWM_150,3/21/2022,5.4,0.149,0.028,0.0,0.000,,0.0,0.000,,0.0,0.000,,5.4,0.149,0.028,0.000,0.0,0.0,0.000,,Control,F,18.00
10,220307_11,E2HN_18mnth control_F,C,Day1,1,MWM_150,3/21/2022,60.0,11.182,0.186,8.1,1.519,0.188,5.9,1.077,0.184,34.7,6.508,0.188,11.4,2.078,0.183,,,28.3,4.760,0.168,Control,F,18.00
11,220307_12,E2HN_18mnth control_F,C,Day1,1,MWM_150,3/21/2022,24.7,3.256,0.132,0.0,0.000,,1.9,0.313,0.165,0.0,0.000,,22.8,2.943,0.129,3.103,19.6,3.3,0.583,0.175,Control,F,18.00
12,220307_13,E2HN_18mnth control_F,C,Day1,1,MWM_150,3/21/2022,60.0,9.447,0.157,12.0,1.979,0.165,2.0,0.355,0.175,30.3,4.424,0.146,15.7,2.690,0.171,,,26.9,3.541,0.132,Control,F,18.00
13,220307_14,E3HN_18mnth control_M,B,Day1,1,MWM_150,3/21/2022,60.0,9.873,0.165,0.8,0.176,0.211,0.8,0.108,0.129,40.4,6.601,0.164,18.0,2.988,0.166,,,38.6,5.430,0.141,Control,M,18.00
14,220307_15,E3HN_18mnth control_M,B,Day1,1,MWM_150,3/21/2022,60.0,10.411,0.174,12.3,2.385,0.194,0.4,0.059,0.139,33.3,6.239,0.188,14.0,1.728,0.123,,,35.4,5.546,0.157,Control,M,18.00
15,220307_16,E3HN_18mnth control_M,B,Day1,1,MWM_150,3/21/2022,60.0,11.183,0.186,21.9,4.447,0.203,0.0,0.000,,36.1,6.409,0.178,2.1,0.327,0.158,,,49.8,9.172,0.184,Control,M,18.00
16,220307_17,E3HN_18mnth control_M,B,Day1,1,MWM_150,3/21/2022,60.0,10.323,0.172,9.7,1.777,0.183,37.4,6.019,0.161,3.2,0.809,0.253,9.6,1.718,0.178,,,17.9,2.823,0.158,Control,M,18.00
17,220307_1,E3HN_18mnth control_F,D,Day1,2,MWM_150,3/21/2022,60.0,9.494,0.158,41.3,6.524,0.158,17.0,2.610,0.153,1.7,0.359,0.211,0.0,0.000,,,,21.5,3.398,0.158,Control,F,18.00
18,220307_2,E3HN_18mnth control_F,D,Day1,2,MWM_150,3/21/2022,60.0,10.688,0.178,25.5,4.336,0.170,17.0,3.359,0.198,3.1,0.711,0.233,14.4,2.282,0.158,,,25.7,4.265,0.166,Control,F,18.00
19,220307_4,E3HN_18mnth control_F,D,Day1,2,MWM_150,3/21/2022,60.0,9.830,0.164,12.9,1.785,0.138,18.6,2.944,0.159,19.7,3.258,0.166,8.8,1.843,0.209,,,43.4,6.769,0.156,Control,F,18.00
20,220307_5,E3HN_18mnth control_F,D,Day1,2,MWM_150,3/21/2022,60.0,8.659,0.144,16.0,1.852,0.116,2.3,0.371,0.161,32.1,4.757,0.148,9.6,1.679,0.175,,,36.0,4.520,0.125,Control,F,18.00
21,220307_6,E2HN_18mnth control_M,A,Day1,2,MWM_150,3/21/2022,60.0,10.486,0.175,18.1,3.112,0.172,26.8,4.293,0.160,6.4,1.365,0.212,8.6,1.716,0.199,,,45.4,7.986,0.176,Control,M,18.00
22,220307_7,E2HN_18mnth control_M,A,Day1,2,MWM_150,3/21/2022,60.0,10.434,0.174,21.3,2.659,0.125,11.8,2.318,0.197,12.0,2.266,0.188,14.9,3.191,0.215,,,35.8,5.617,0.157,Control,M,18.00
23,220307_8,E2HN_18mnth control_M,A,Day1,2,MWM_150,3/21/2022,40.5,7.503,0.185,7.9,1.718,0.216,7.8,1.645,0.211,10.5,2.214,0.211,14.2,1.926,0.136,7.418,35.4,13.4,2.651,0.197,Control,M,18.00
24,220307_9,E2HN_18mnth control_F,C,Day1,2,MWM_150,3/21/2022,60.0,11.062,0.184,30.9,4.995,0.162,10.4,2.257,0.218,6.2,1.495,0.241,12.5,2.316,0.185,,,35.0,6.025,0.172,Control,F,18.00
25,220307_10,E2HN_18mnth control_F,C,Day1,2,MWM_150,3/21/2022,60.0,12.385,0.206,34.5,6.666,0.193,8.0,1.797,0.225,15.2,3.441,0.227,2.3,0.481,0.206,,,28.8,5.425,0.188,Control,F,18.00
26,220307_11,E2HN_18mnth control_F,C,Day1,2,MWM_150,3/21/2022,51.4,9.089,0.177,3.7,0.624,0.170,2.3,0.407,0.174,21.7,4.441,0.205,23.7,3.617,0.152,9.018,46.4,23.2,4.556,0.196,Control,F,18.00
27,220307_12,E2HN_18mnth control_F,C,Day1,2,MWM_150,3/21/2022,25.7,4.205,0.164,3.7,0.570,0.152,3.7,0.792,0.212,7.4,1.491,0.201,10.8,1.352,0.125,4.094,20.7,6.1,1.089,0.179,Control,F,18.00
28,220307_13,E2HN_18mnth control_F,C,Day1,2,MWM_150,3/21/2022,32.5,5.292,0.163,15.8,1.770,0.112,7.6,1.541,0.202,3.4,0.781,0.227,5.6,1.200,0.213,4.133,27.4,17.9,2.279,0.127,Control,F,18.00
29,220307_14,E3HN_18mnth control_M,B,Day1,2,MWM_150,3/21/2022,60.0,11.258,0.188,12.1,2.604,0.215,8.6,1.618,0.189,31.8,5.255,0.165,7.6,1.781,0.235,,,41.5,7.099,0.171,Control,M,18.00
30,220307_15,E3HN_18mnth control_M,B,Day1,2,MWM_150,3/21/2022,60.0,10.188,0.170,14.6,2.163,0.148,9.7,2.077,0.214,5.6,1.252,0.222,30.1,4.696,0.156,,,35.7,5.103,0.143,Control,M,18.00
31,220307_16,E3HN_18mnth control_M,B,Day1,2,MWM_150,3/21/2022,60.0,9.790,0.163,30.9,4.602,0.149,8.5,1.331,0.156,15.4,2.778,0.180,5.2,1.078,0.207,,,30.7,4.416,0.144,Control,M,18.00
32,220307_17,E3HN_18mnth control_M,B,Day1,2,MWM_150,3/21/2022,60.0,9.969,0.166,4.4,1.017,0.229,4.8,1.031,0.213,37.0,5.536,0.150,13.7,2.386,0.174,,,37.1,5.812,0.157,Control,M,18.00
33,220307_1,E3HN_18mnth control_F,D,Day1,3,MWM_150,3/21/2022,60.0,7.336,0.122,20.6,1.860,0.090,32.4,4.861,0.150,0.0,0.000,,7.0,0.616,0.088,,,32.1,3.174,0.099,Control,F,18.00
34,220307_2,E3HN_18mnth control_F,D,Day1,3,MWM_150,3/21/2022,60.0,12.520,0.209,15.9,3.573,0.225,14.4,2.843,0.197,14.7,2.762,0.188,15.0,3.343,0.223,,,33.9,7.525,0.222,Control,F,18.00
35,220307_4,E3HN_18mnth control_F,D,Day1,3,MWM_150,3/21/2022,60.0,10.207,0.170,4.3,1.011,0.235,2.1,0.459,0.214,29.0,5.029,0.173,24.5,3.709,0.151,,,29.0,4.357,0.150,Control,F,18.00
36,220307_5,E3HN_18mnth control_F,D,Day1,3,MWM_150,3/21/2022,41.3,6.284,0.152,8.9,1.723,0.193,18.3,2.705,0.148,2.7,0.632,0.231,11.3,1.224,0.108,6.177,36.2,2.0,0.268,0.136,Control,F,18.00
37,220307_6,E2HN_18mnth control_M,A,Day1,3,MWM_150,3/21/2022,60.0,8.736,0.146,1.1,0.210,0.196,26.0,3.509,0.135,0.0,0.000,,33.0,5.018,0.152,,,36.5,4.400,0.120,Control,M,18.00
38,220307_7,E2HN_18mnth control_M,A,Day1,3,MWM_150,3/21/2022,38.0,3.948,0.104,0.0,0.000,,17.1,1.382,0.081,6.0,1.166,0.193,14.9,1.400,0.094,3.948,32.9,9.2,1.436,0.156,Control,M,18.00
39,220307_8,E2HN_18mnth control_M,A,Day1,3,MWM_150,3/21/2022,60.0,9.843,0.164,4.4,0.826,0.188,13.1,2.455,0.188,32.6,5.077,0.156,9.9,1.485,0.150,,,31.8,4.198,0.132,Control,M,18.00
40,220307_9,E2HN_18mnth control_F,C,Day1,3,MWM_150,3/21/2022,60.0,8.593,0.143,3.6,0.769,0.214,53.4,7.123,0.133,0.0,0.000,,3.0,0.701,0.237,,,32.0,3.036,0.095,Control,F,18.00
41,220307_10,E2HN_18mnth control_F,C,Day1,3,MWM_150,3/21/2022,56.7,7.862,0.139,18.1,2.121,0.117,12.1,1.544,0.127,12.8,2.855,0.223,13.7,1.343,0.098,7.787,51.6,19.5,1.931,0.099,Control,F,18.00
42,220307_11,E2HN_18mnth control_F,C,Day1,3,MWM_150,3/21/2022,60.0,11.364,0.189,11.1,2.188,0.197,8.7,1.773,0.203,29.6,5.225,0.176,10.5,2.178,0.207,,,23.1,3.590,0.155,Control,F,18.00
43,220307_12,E2HN_18mnth control_F,C,Day1,3,MWM_150,3/21/2022,44.2,7.572,0.171,1.6,0.308,0.197,4.1,0.616,0.151,17.4,3.405,0.195,21.1,3.242,0.154,7.500,39.1,11.7,2.126,0.182,Control,F,18.00
44,220307_13,E2HN_18mnth control_F,C,Day1,3,MWM_150,3/21/2022,60.0,9.296,0.155,11.1,2.240,0.202,23.8,3.232,0.136,16.0,2.663,0.167,9.2,1.161,0.127,,,40.0,5.846,0.146,Control,F,18.00
45,220307_14,E3HN_18mnth control_M,B,Day1,3,MWM_150,3/21/2022,9.4,0.750,0.080,0.0,0.000,,1.9,0.238,0.125,0.0,0.000,,7.4,0.512,0.069,0.670,4.3,0.0,0.000,,Control,M,18.00
46,220307_15,E3HN_18mnth control_M,B,Day1,3,MWM_150,3/21/2022,7.6,0.557,0.073,0.0,0.000,,1.1,0.218,0.191,0.0,0.000,,6.5,0.339,0.052,0.474,2.6,0.0,0.000,,Control,M,18.00
47,220307_16,E3HN_18mnth control_M,B,Day1,3,MWM_150,3/21/2022,60.0,9.770,0.163,20.6,3.776,0.183,37.6,5.609,0.149,0.0,0.000,,1.8,0.385,0.218,,,17.1,2.595,0.152,Control,M,18.00
48,220307_17,E3HN_18mnth control_M,B,Day1,3,MWM_150,3/21/2022,60.0,7.667,0.128,0.0,0.000,,8.9,0.730,0.082,20.1,2.695,0.134,31.0,4.242,0.137,,,29.8,2.828,0.095,Control,M,18.00
49,220307_1,E3HN_18mnth control_F,D,Day1,4,MWM_150,3/21/2022,60.0,9.705,0.162,14.9,2.514,0.169,11.7,2.317,0.198,21.0,2.783,0.132,12.4,2.090,0.169,,,37.0,5.989,0.162,Control,F,18.00
50,220307_2,E3HN_18mnth control_F,D,Day1,4,MWM_150,3/21/2022,60.0,11.271,0.188,10.3,1.932,0.188,7.0,1.698,0.244,29.3,5.003,0.171,13.5,2.638,0.196,,,25.4,4.385,0.173,Control,F,18.00
51,220307_4,E3HN_18mnth control_F,D,Day1,4,MWM_150,3/21/2022,60.0,8.685,0.145,10.5,1.896,0.180,14.4,2.129,0.148,16.6,2.792,0.168,18.4,1.867,0.101,,,23.9,3.680,0.154,Control,F,18.00
52,220307_5,E3HN_18mnth control_F,D,Day1,4,MWM_150,3/21/2022,60.0,9.629,0.160,11.5,1.989,0.172,1.4,0.000,0.000,27.2,4.277,0.157,19.9,3.364,0.169,,,31.8,4.282,0.135,Control,F,18.00
53,220307_6,E2HN_18mnth control_M,A,Day1,4,MWM_150,3/21/2022,58.2,9.165,0.158,5.0,1.103,0.219,5.3,1.079,0.202,29.2,4.556,0.156,18.6,2.427,0.131,9.082,53.1,37.6,6.584,0.175,Control,M,18.00
54,220307_7,E2HN_18mnth control_M,A,Day1,4,MWM_150,3/21/2022,60.0,9.517,0.159,1.8,0.272,0.154,4.0,0.495,0.125,36.7,5.683,0.155,17.6,3.068,0.174,,,27.4,4.676,0.171,Control,M,18.00
55,220307_8,E2HN_18mnth control_M,A,Day1,4,MWM_150,3/21/2022,60.0,9.725,0.162,0.0,0.000,,10.8,1.752,0.162,28.1,4.043,0.144,21.0,3.930,0.187,,,35.5,5.544,0.156,Control,M,18.00
56,220307_9,E2HN_18mnth control_F,C,Day1,4,MWM_150,3/21/2022,60.0,11.823,0.197,13.3,2.598,0.196,12.5,2.689,0.216,14.9,2.716,0.183,19.4,3.820,0.197,,,20.6,3.239,0.158,Control,F,18.00
57,220307_10,E2HN_18mnth control_F,C,Day1,4,MWM_150,3/21/2022,54.3,8.587,0.158,5.6,1.182,0.210,12.2,1.946,0.160,13.6,2.356,0.173,22.9,3.102,0.135,8.512,49.3,27.1,4.052,0.150,Control,F,18.00
58,220307_11,E2HN_18mnth control_F,C,Day1,4,MWM_150,3/21/2022,46.5,6.704,0.144,9.4,1.656,0.177,5.7,1.113,0.195,19.7,2.752,0.139,11.7,1.183,0.101,6.628,41.4,29.3,4.877,0.166,Control,F,18.00
59,220307_12,E2HN_18mnth control_F,C,Day1,4,MWM_150,3/21/2022,39.3,6.093,0.155,13.1,2.367,0.181,0.0,0.000,,19.0,3.387,0.178,7.2,0.339,0.047,6.027,34.3,14.0,2.569,0.183,Control,F,18.00
60,220307_13,E2HN_18mnth control_F,C,Day1,4,MWM_150,3/21/2022,60.0,10.534,0.176,11.4,2.358,0.207,10.2,2.208,0.216,29.3,4.143,0.142,9.1,1.825,0.201,,,40.0,7.382,0.184,Control,F,18.00
61,220307_14,E3HN_18mnth control_M,B,Day1,4,MWM_150,3/21/2022,35.3,5.978,0.169,0.0,0.000,,0.0,0.000,,25.7,5.089,0.198,9.6,0.888,0.093,5.899,30.2,13.4,2.457,0.183,Control,M,18.00
62,220307_15,E3HN_18mnth control_M,B,Day1,4,MWM_150,3/21/2022,60.0,10.673,0.178,6.6,1.132,0.172,16.0,2.609,0.163,23.9,4.067,0.170,13.5,2.865,0.212,,,38.7,6.521,0.169,Control,M,18.00
63,220307_16,E3HN_18mnth control_M,B,Day1,4,MWM_150,3/21/2022,60.0,9.484,0.158,2.0,0.378,0.189,17.5,2.847,0.162,26.1,3.722,0.143,14.4,2.537,0.176,,,34.0,5.203,0.153,Control,M,18.00
64,220307_17,E3HN_18mnth control_M,B,Day1,4,MWM_150,3/21/2022,60.0,10.172,0.170,6.0,1.062,0.178,12.6,2.266,0.180,17.2,2.346,0.137,24.3,4.499,0.185,,,36.3,5.269,0.145,Control,M,18.00
65,220307_1,E3HN_18mnth control_F,D,Day2,1,MWM_150,3/22/2022,60.0,10.229,0.170,19.0,3.240,0.171,8.7,1.433,0.164,17.2,3.338,0.194,15.1,2.218,0.147,,,37.6,6.243,0.166,Control,F,18.00
66,220307_2,E3HN_18mnth control_F,D,Day2,1,MWM_150,3/22/2022,44.8,7.018,0.157,19.2,2.613,0.136,7.9,1.745,0.221,4.2,1.032,0.248,13.5,1.628,0.121,6.984,39.7,10.3,2.340,0.226,Control,F,18.00
