Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age,Genotype
1,220509_1,E22_M_18mnth HFD,A,Day1,1,MWM_150,5/16/22,60,7.843,0.131,3.7,0.575,0.155,34.4,4.09,0.119,4.9,0.713,0.146,17,2.465,0.145,,,31.5,3.759,0.119,HFD,M,18,E22
2,220509_2,E22_F_18mnth HFD,D,Day1,1,MWM_150,5/16/22,5.4,0.278,0.051,0,0,,0,0,,0,0,,5.4,0.278,0.051,0.149,1.3,0,0,,HFD,F,18,E22
3,220509_4,E22_F_18mnth HFD,D,Day1,1,MWM_150,5/16/22,9,0.812,0.091,0,0,,0,0,,2.9,0.441,0.153,6.1,0.371,0.061,0.683,4.9,0,0,,HFD,F,18,E22
4,220509_6,E22_F_18mnth HFD,D,Day1,1,MWM_150,5/16/22,6.2,0.418,0.068,0,0,,0.7,0.042,0.057,0,0,,5.4,0.376,0.069,0.238,2.1,0,0,,HFD,F,18,E22
5,220509_7,E33_M_18mnth HFD,C,Day1,1,MWM_150,5/16/22,60,8.377,0.14,0,0,,7.2,0.966,0.135,19.8,2.984,0.15,33,4.427,0.134,,,36.3,4.885,0.135,HFD,M,18,E33
6,220509_8,E33_F_18mnth HFD,F,Day1,1,MWM_150,5/16/22,60,11.179,0.186,10.4,1.788,0.172,6.1,1.213,0.198,34.7,6.438,0.185,8.8,1.74,0.198,,,33,5.63,0.17,HFD,F,18,E33
7,220509_10,E33_F_18mnth HFD,F,Day1,1,MWM_150,5/16/22,60,5.979,0.1,22.8,2.638,0.116,1.6,0.38,0.237,22.1,2.109,0.095,13.5,0.852,0.063,,,31.7,2.411,0.076,HFD,F,18,E33
8,220509_11,E44_F_18mnth Control,E,Day1,1,MWM_150,5/16/22,60,11.214,0.187,0.3,0.047,0.175,2.5,0.477,0.188,28.5,5.173,0.182,28.6,5.472,0.192,,,40.9,7.54,0.184,Control,F,18,E44
9,220509_12,E22_F_12mnth Control,B,Day1,1,MWM_150,5/16/22,5.5,0.254,0.046,0,0,,0,0,,0,0,,5.5,0.254,0.046,0.041,1.5,0,0,,Control,F,12,E22
10,220509_13,E22_F_12mnth Control,B,Day1,1,MWM_150,5/16/22,60,9.262,0.154,0,0,,14.6,2.57,0.176,15.3,2.351,0.154,30.1,4.341,0.144,,,48.7,7.251,0.149,Control,F,12,E22
11,220509_14,E22_F_12mnth Control,B,Day1,1,MWM_150,5/16/22,60,11.872,0.198,22,4.714,0.215,7.8,1.542,0.198,17.8,3.531,0.199,12.5,2.086,0.168,,,24,4.157,0.173,Control,F,12,E22
12,220509_1,E22_M_18mnth HFD,A,Day1,2,MWM_150,5/16/22,22.7,2.114,0.093,14,1.401,0.1,1.9,0.408,0.211,0,0,,6.7,0.305,0.045,1.987,18.6,9.2,0.733,0.08,HFD,M,18,E22
13,220509_2,E22_F_18mnth HFD,D,Day1,2,MWM_150,5/16/22,54.3,8.988,0.165,18.8,3.461,0.184,11.5,1.989,0.172,9.9,1.9,0.193,14,1.576,0.113,8.988,50.3,26.9,4.634,0.172,HFD,F,18,E22
14,220509_4,E22_F_18mnth HFD,D,Day1,2,MWM_150,5/16/22,60,10.43,0.174,24,4.524,0.188,30.4,4.714,0.155,2.2,0.507,0.234,3.5,0.684,0.197,,,24.8,3.298,0.133,HFD,F,18,E22
15,220509_6,E22_F_18mnth HFD,D,Day1,2,MWM_150,5/16/22,60,10.787,0.18,28.7,4.952,0.173,6.8,1.315,0.192,12.7,2.551,0.201,11.8,1.969,0.167,,,18.7,2.899,0.155,HFD,F,18,E22
16,220509_7,E33_M_18mnth HFD,C,Day1,2,MWM_150,5/16/22,60,10.046,0.167,37.1,6.607,0.178,9.8,1.361,0.139,13.1,2.078,0.159,0,0,,,,38.8,6.639,0.171,HFD,M,18,E33
17,220509_8,E33_F_18mnth HFD,F,Day1,2,MWM_150,5/16/22,60,12.183,0.203,21.6,4.722,0.218,17.7,3.571,0.201,12.3,2.438,0.198,8.3,1.452,0.174,,,28.2,5.237,0.186,HFD,F,18,E33
18,220509_10,E33_F_18mnth HFD,F,Day1,2,MWM_150,5/16/22,60,8.891,0.148,36.4,4.76,0.131,0,0,,12.2,2.489,0.204,11.2,1.642,0.147,,,53.1,7.892,0.149,HFD,F,18,E33
19,220509_11,E44_F_18mnth Control,E,Day1,2,MWM_150,5/16/22,60,11.532,0.192,40.2,7.679,0.191,15.1,2.86,0.19,4.5,0.952,0.21,0,0,,,,39.7,7.635,0.192,Control,F,18,E44
20,220509_12,E22_F_12mnth Control,B,Day1,2,MWM_150,5/16/22,60,12.792,0.213,40.8,8.871,0.218,1.2,0.259,0.222,18.1,3.661,0.203,0,0,,,,33.1,6.648,0.201,Control,F,12,E22
