Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
1,220606_1,E3HN_M_18moCtrl,B,Day1,1,MWM_150,6/13/2022,7.9,0.905,0.115,0,0,,0.9,0.212,0.236,0,0,,2.9,0.513,0.175,0.725,3.8,0,0,,Control,M,18
2,220606_2,E4HN_F_18moCtrl,D,Day1,1,MWM_150,6/13/2022,8.6,0.456,0.053,0,0,,0,0,,0,0,,5.4,0.368,0.068,0.368,4.6,0,0,,Control,F,18
3,220606_3,E4HN_F_18moCtrl,D,Day1,1,MWM_150,6/13/2022,9.7,1.079,0.111,0,0,,0,0,,3.1,0.612,0.2,2.6,0.327,0.127,0.939,5.6,0,0,,Control,F,18
4,220606_4,E4HN_F_18moCtrl,D,Day1,1,MWM_150,6/13/2022,60,10,0.167,13.2,1.613,0.123,0,0,,44,8.005,0.182,1.8,0.237,0.131,,,43.2,7.016,0.162,Control,F,18
5,220606_5,E4HN_F_18moCtrl,D,Day1,1,MWM_150,6/13/2022,60,10.27,0.171,19.4,3.197,0.165,16.2,3.123,0.193,19.2,3.211,0.167,5.2,0.739,0.142,,,26.2,3.79,0.145,Control,F,18
6,220606_6,E4HN_F_18moCtrl,D,Day1,1,MWM_150,6/13/2022,37.2,6.972,0.187,10.2,2.209,0.216,8.1,1.686,0.208,13.2,2.199,0.167,2.6,0.6,0.232,6.412,33.2,13.6,2.258,0.166,Control,F,18
7,220606_7,E44_M_18moHFD,C,Day1,1,MWM_150,6/13/2022,60,8.159,0.136,3.8,0.801,0.212,41.1,5.258,0.128,3.3,0.404,0.124,10.9,1.591,0.145,,,22,2.009,0.091,HFD,M,18
8,220606_8,E44_M_18moHFD,C,Day1,1,MWM_150,6/13/2022,60,8.124,0.135,30.9,4.344,0.141,25.1,3.423,0.137,1.2,0.155,0.133,2.9,0.201,0.069,,,36.7,5.233,0.143,HFD,M,18
9,220606_9,E44_F_18moCtrl,A,Day1,1,MWM_150,6/13/2022,60,9.901,0.165,13.6,2.082,0.154,1.5,0.097,0.065,39.1,6.595,0.169,0,0,,,,40.6,5.472,0.135,Control,F,18
10,220606_10,E44_F_18moCtrl,A,Day1,1,MWM_150,6/13/2022,60,12.077,0.201,7.8,1.613,0.208,37.1,7.657,0.206,2.2,0.535,0.245,3.9,0.797,0.205,,,28.7,5.031,0.175,Control,F,18
11,220606_11,E22_M_ctrl,E,Day1,1,MWM_150,6/13/2022,60,11.845,0.197,24,4.505,0.188,4.5,1.097,0.245,22.2,4.475,0.201,3.3,0.632,0.189,,,25.8,4.847,0.188,Control,M,12
12,220606_12,E22_M_ctrl,E,Day1,1,MWM_150,6/13/2022,60,11.523,0.192,2,0.402,0.198,17.4,3.533,0.203,13.5,2.222,0.165,6.7,1.304,0.195,,,42.2,7.894,0.187,Control,M,12
13,220606_13,E22_M_ctrl,E,Day1,1,MWM_150,6/13/2022,5.7,0.19,0.033,0,0,,0,0,,0,0,,1.7,0.078,0.047,0.078,1.7,0,0,,Control,M,12
