date,week,animal-id,genotype,weight,glucose,sex,,,
10/5,0,201012-1,E4HN,25.00,142.00,M,,,
10/5,0,201012-2,E4HN,25.00,123.00,M,,,
10/5,0,201012-3,E4HN,28.00,145.00,M,,,
10/5,0,201012-4,E4HN,21.00,116.00,F,,,
10/5,0,201012-5,E4HN,23.00,185.00,F,,,
10/5,0,201012-6,E4HN,23.00,128.00,F,,,
10/5,0,201012-7,E4HN,25.00,161.00,F,,,
10/5,0,201012-8,E4HN,26.00,98.00,F,,,
10/5,0,201012-9,E4HN,25.00,123.00,F,,,
10/5,0,201012-10,E4HN,28.00,147.00,F,,,
10/5,0,201012-11,E3HN,32.00,105.00,F,,,
10/5,0,201012-12,E3HN,30.00,171.00,F,,,
10/5,0,201012-13,E3HN,25.00,151.00,M,,,
10/5,0,201012-14,E3HN,28.00,,M,,,
10/5,0,201012-15,E33,26.00,150.00,F,,,
10/5,0,201012-16,E33,27.00,138.00,F,,,
10/5,0,201012-17,E33,26.00,109.00,F,,,
10/5,0,201012-18,E33,29.00,150.00,F,,,
10/5,0,201012-19,E33,27.00,138.00,F,,,
10/5,0,201012-20,E33,28.00,160.00,F,,,
10/5,0,201012-21,E33,29.00,141.00,F,,,
10/5,0,201012-22,E33,29.00,244.00,M,,,
10/5,0,201012-23,E33,37.00,195.00,M,,,
10/5,0,201012-24,E33,28.00,134.00,M,,,
10/5,0,201012-25,E33,27.00,160.00,M,,,
10/5,0,201012-26,E33,26.00,187.00,M,,,
10/5,0,201012-27,E33,28.00,145.00,M,,,
10/16,1,201012-1,E4HN,26.00,,M,,,
10/16,1,201012-2,E4HN,29.00,,M,,,
10/16,1,201012-3,E4HN,31.00,,M,,,
10/16,1,201012-4,E4HN,23.00,,F,,,
10/16,1,201012-5,E4HN,26.00,,F,,,
10/16,1,201012-6,E4HN,26.00,,F,,,
10/16,1,201012-7,E4HN,27.00,,F,,,
10/16,1,201012-8,E4HN,30.00,,F,,,
10/16,1,201012-9,E4HN,27.00,,F,,,
10/16,1,201012-10,E4HN,29.00,,F,,,
10/16,1,201012-11,E3HN,37.00,,F,,,
10/16,1,201012-12,E3HN,34.00,,F,,,
10/16,1,201012-13,E3HN,27.00,,M,,,
10/16,1,201012-14,E3HN,,,M,,,
10/16,1,201012-15,E33,29.00,,F,,,
10/16,1,201012-16,E33,29.00,,F,,,
10/16,1,201012-17,E33,27.00,,F,,,
10/16,1,201012-18,E33,29.00,,F,,,
10/16,1,201012-19,E33,29.00,,F,,,
10/16,1,201012-20,E33,33.00,,F,,,
10/16,1,201012-21,E33,31.00,,F,,,
10/16,1,201012-22,E33,42.00,,M,,,
10/16,1,201012-23,E33,33.00,,M,,,
10/16,1,201012-24,E33,35.00,,M,,,
10/16,1,201012-25,E33,32.00,,M,,,
10/16,1,201012-26,E33,38.00,,M,,,
10/16,1,201012-27,E33,31.00,,M,,,
10/19,2,201012-1,E4HN,27.00,,M,,,
10/19,2,201012-2,E4HN,28.00,,M,,,
