Animal_ID,Experiment,Trial,Box,Treatment,Sex,Genotype,,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index,Month
210809-1,VF083121_094304,day1_trial1,Chamber1,Control,female,APOE33HN,,White House Light,7,299.1,99.7,99.7,0.14,0,81,October
210809-2,VF083121_094304,day1_trial1,Chamber 2,Control,female,APOE33HN,,White House Light,82,230.367,76.79,76.79,7.76,0,504,October
210809-3,VF083121_095112,day1_trial2,Chamber1,Control,female,APOE33HN,,White House Light,4,299.133,99.71,99.71,0.06,0,69,October
210809-4,VF083121_095112,day1_trial2,Chamber 2,Control,female,APOE33HN,,White House Light,38,291.833,97.28,97.28,1.07,0,156,October
210809-5,VF083121_100652,day1_trial3,Chamber1,HFD,male,APOE22HN,,White House Light,8,295.9,98.63,98.63,0.33,0,95,October
210809-6,VF083121_100652,day1_trial3,Chamber 2,HFD,male,APOE22HN,,White House Light,38,292.2,97.4,97.4,1.18,0,166,October
210809-7,VF083121_101516,day1_trial4,Chamber1,HFD,male,APOE22HN,,White House Light,36,277.533,92.51,92.51,3.75,0,463,October
210809-8,VF083121_101516,day1_trial4,Chamber 2,HFD,male,APOE22HN,,White House Light,69,254.5,84.83,84.83,4.67,0,235,October
,,,,,,,,,,,,,,,,
210906-1,VF092821_110306,day1_trial1,Chamber1,Control,female,APOE22HN,,White House Light,20,294.267,98.09,98.09,0.8,0,101,September
210906-2,VF092821_110306,day1_trial1,Chamber 2,Control,female,APOE22HN,,White House Light,90,272.267,90.76,90.76,4.23,0,484,September
210906-3,VF092821_111219,day1_trial2,Chamber1,Control,female,APOE22HN,,White House Light,54,272.667,90.89,90.89,3.23,0,529,September
210906-4,VF092821_111219,day1_trial2,Chamber 2,Control,female,APOE22HN,,White House Light,96,245.7,81.9,81.9,8.82,0,3120,September
210906-5,VF092821_111819,day1_trial3,Chamber1,Control,female,APOE22HN,,White House Light,58,273.9,91.3,91.3,2.13,0,238,September
210906-6,VF092821_111819,day1_trial3,Chamber 2,Control,male,APOE22HN,,White House Light,92,253.333,84.44,84.44,4.9,0,411,September
210906-7,VF092821_112625,day1_trial4,Chamber1,Control,female,APOE22HN,,White House Light,106,259.667,86.56,86.56,5.15,0,310,September
210906-8,VF092821_112625,day1_trial4,Chamber 2,Control,female,APOE22HN,,White House Light,68,241.167,80.39,80.39,12.21,0,879,September
210906-9,VF092821_113453,day1_trial5,Chamber1,HFD,female,APOE44,,White House Light,41,283.133,94.38,94.38,1.83,0,137,September
210906-10,VF092821_113453,day1_trial5,Chamber 2,HFD,female,APOE44,,White House Light,103,236.833,78.94,78.94,7.79,0,949,September
210906-11,VF092821_114250,day1_trial6,Chamber1,HFD,female,APOE44,,White House Light,130,162.333,54.11,54.11,26.05,0,657,September
210906-12,VF092821_114250,day1_trial6,Chamber 2,HFD,female,APOE44,,White House Light,94,227.933,75.98,75.98,17.39,0,5394,September
210906-13,VF092821_115014,day1_trial7,Chamber1,HFD,female,APOE44,,White House Light,41,280.1,93.37,93.37,2.36,0,195,September
210906-14,VF092821_115014,day1_trial7,Chamber 2,HFD,female,APOE44,,White House Light,145,156.433,52.14,52.14,23.05,0,3071,September
