Animal_ID,Experiment,Trial,Box,Treatment,Sex,Genotype,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index,Month
210809-1,VF090121_120333,day2_trial1,Chamber1,Control,female,APOAPOE33HN,Day2_Acclimation,41,64.067,14.24,35.59,90.26,0,1320,August
210809-1,VF090121_120333,day2_trial1,Chamber1,Control,female,APOAPOE33HN,Day2_CSTone,73,140.633,31.25,39.06,54.94,0,1017,August
210809-1,VF090121_120333,day2_trial1,Chamber1,Control,female,APOAPOE33HN,Day2_Exploration,21,17.567,3.9,3.9,92.88,0,1017,August
,,,,,,,,,,,,,,,
210809-2,VF090121_120333,day2_trial1,Chamber 2,Control,female,APOAPOE33HN,Day2_Acclimation,36,96.967,21.55,53.87,53.94,0,1493,August
210809-2,VF090121_120333,day2_trial1,Chamber 2,Control,female,APOAPOE33HN,Day2_CSTone,26,232.267,51.61,64.52,6.72,0,349,August
210809-2,VF090121_120333,day2_trial1,Chamber 2,Control,female,APOAPOE33HN,Day2_Exploration,13,58.667,13.04,13.04,15.78,0,313,August
,,,,,,,,,,,,,,,
210809-3,VF090121_121241,day2_trial2,Chamber1,Control,female,APOAPOE33HN,Day2_Acclimation,20,44.7,9.93,24.83,131.25,0,1203,August
210809-3,VF090121_121241,day2_trial2,Chamber1,Control,female,APOAPOE33HN,Day2_CSTone,56,212.533,47.23,59.04,34.1,0,4255,August
210809-3,VF090121_121241,day2_trial2,Chamber1,Control,female,APOAPOE33HN,Day2_Exploration,25,68.233,15.16,15.16,9.29,0,235,August
,,,,,,,,,,,,,,,
210809-4,VF090121_121241,day2_trial2,Chamber 2,Control,female,APOAPOE33HN,Day2_Acclimation,6,4.233,0.94,2.35,249.96,0,1781,August
210809-4,VF090121_121241,day2_trial2,Chamber 2,Control,female,APOAPOE33HN,Day2_CSTone,55,77.167,17.15,21.44,130.03,0,2134,August
210809-4,VF090121_121241,day2_trial2,Chamber 2,Control,female,APOAPOE33HN,Day2_Exploration,14,11.367,2.53,2.53,159.19,0,2134,August
,,,,,,,,,,,,,,,
210809-5,VF090121_122309,day2_trial3,Chamber1,HFD,male,APOE22HN,Day2_Acclimation,33,57.267,12.73,31.81,132.09,0,1180,August
210809-5,VF090121_122309,day2_trial3,Chamber1,HFD,male,APOE22HN,Day2_CSTone,50,187,41.56,51.94,38.97,0,840,August
210809-5,VF090121_122309,day2_trial3,Chamber1,HFD,male,APOE22HN,Day2_Exploration,19,39.233,8.72,8.72,85.09,0,776,August
,,,,,,,,,,,,,,,
210809-6,VF090121_122309,day2_trial3,Chamber 2,HFD,male,APOE22HN,Day2_Acclimation,27,31.7,7.04,17.61,139.89,0,1717,August
210809-6,VF090121_122309,day2_trial3,Chamber 2,HFD,male,APOE22HN,Day2_CSTone,50,188.567,41.9,52.38,29.43,0,1117,August
210809-6,VF090121_122309,day2_trial3,Chamber 2,HFD,male,APOE22HN,Day2_Exploration,20,40.633,9.03,9.03,49.36,0,699,August
,,,,,,,,,,,,,,,
210809-7,VF090121_123401,day2_trial4,Chamber1,HFD,male,APOE22HN,Day2_Acclimation,32,26.333,5.85,14.63,196.95,0,1740,August
210809-7,VF090121_123401,day2_trial4,Chamber1,HFD,male,APOE22HN,Day2_CSTone,86,129.3,28.73,35.92,85.71,0,1468,August
210809-7,VF090121_123401,day2_trial4,Chamber1,HFD,male,APOE22HN,Day2_Exploration,20,23.2,5.16,5.16,137.85,0,1364,August
,,,,,,,,,,,,,,,
210809-8,VF090121_123401,day2_trial4,Chamber 2,HFD,male,APOE22HN,Day2_Acclimation,16,22.4,4.98,12.44,110.31,0,1068,August
210809-8,VF090121_123401,day2_trial4,Chamber 2,HFD,male,APOE22HN,Day2_CSTone,50,123.8,27.51,34.39,44.96,0,636,August
210809-8,VF090121_123401,day2_trial4,Chamber 2,HFD,male,APOE22HN,Day2_Exploration,11,9.633,2.14,2.14,73.41,0,636,August
,,,,,,,,,,,,,,,
210906-1,VF092921_094426,day2_trial1,Chamber1,Control,female,APOE22HN,Day2_Acclimation,7,4,0.89,2.22,180.11,0,2218,September
210906-1,VF092921_094426,day2_trial1,Chamber1,Control,female,APOE22HN,Day2_CSTone,54,59.667,13.26,16.57,131.07,0,2929,September
210906-1,VF092921_094426,day2_trial1,Chamber1,Control,female,APOE22HN,Day2_Exploration,10,6.2,1.38,1.38,212.09,0,2195,September
,,,,,,,,,,,,,,,
210906-2,VF092921_094426,day2_trial1,Chamber 2,Control,female,APOE22HN,Day2_Acclimation,48,34.667,7.7,19.26,103.22,0,1208,September
210906-2,VF092921_094426,day2_trial1,Chamber 2,Control,female,APOE22HN,Day2_CSTone,85,82.8,18.4,23,79.68,0,1438,September
210906-2,VF092921_094426,day2_trial1,Chamber 2,Control,female,APOE22HN,Day2_Exploration,16,12.667,2.81,2.81,124.13,0,1285,September
,,,,,,,,,,,,,,,
210906-3,VF092921_095422,day2_trial2,Chamber1,Control,female,APOE22HN,Day2_Acclimation,27,49.133,10.92,27.3,93.59,0,835,September
210906-3,VF092921_095422,day2_trial2,Chamber1,Control,female,APOE22HN,Day2_CSTone,44,135.267,30.06,37.57,61.68,0,748,September
210906-3,VF092921_095422,day2_trial2,Chamber1,Control,female,APOE22HN,Day2_Exploration,9,20.933,4.65,4.65,111.45,0,748,September
,,,,,,,,,,,,,,,
210906-4,VF092921_095422,day2_trial2,Chamber 2,Control,female,APOE22HN,Day2_Acclimation,9,4.367,0.97,2.43,164.71,0,1567,September
210906-4,VF092921_095422,day2_trial2,Chamber 2,Control,female,APOE22HN,Day2_CSTone,62,52.567,11.68,14.6,88.68,0,1584,September
210906-4,VF092921_095422,day2_trial2,Chamber 2,Control,female,APOE22HN,Day2_Exploration,19,19.5,4.33,4.33,91.9,0,1584,September
,,,,,,,,,,,,,,,
210906-5,VF092921_102223,day2_trial3,Chamber1,Control,female,APOE22HN,Day2_Acclimation,45,69.5,15.44,38.61,69.08,0,623,September
210906-5,VF092921_102223,day2_trial3,Chamber1,Control,female,APOE22HN,Day2_CSTone,72,134.267,29.84,37.3,43.83,0,719,September
210906-5,VF092921_102223,day2_trial3,Chamber1,Control,female,APOE22HN,Day2_Exploration,24,35.7,7.93,7.93,50.19,0,562,September
,,,,,,,,,,,,,,,
210906-6,VF092921_102223,day2_trial3,Chamber 2,Control,male,APOE22HN,Day2_Acclimation,45,48.333,10.74,26.85,106.31,0,980,September
210906-6,VF092921_102223,day2_trial3,Chamber 2,Control,male,APOE22HN,Day2_CSTone,68,170.433,37.87,47.34,28.92,0,962,September
210906-6,VF092921_102223,day2_trial3,Chamber 2,Control,male,APOE22HN,Day2_Exploration,23,24.067,5.35,5.35,50.54,0,446,September
,,,,,,,,,,,,,,,
210906-7,VF092921_103213,day2_trial4,Chamber1,Control,female,APOE22HN,Day2_Acclimation,35,19.133,4.25,10.63,166.64,0,1436,September
210906-7,VF092921_103213,day2_trial4,Chamber1,Control,female,APOE22HN,Day2_CSTone,70,81.967,18.21,22.77,125.3,0,1282,September
210906-7,VF092921_103213,day2_trial4,Chamber1,Control,female,APOE22HN,Day2_Exploration,9,8.467,1.88,1.88,181.14,0,1282,September
,,,,,,,,,,,,,,,
210906-8,VF092921_103213,day2_trial4,Chamber 2,Control,female,APOE22HN,Day2_Acclimation,9,8.833,1.96,4.91,226.99,0,1591,September
210906-8,VF092921_103213,day2_trial4,Chamber 2,Control,female,APOE22HN,Day2_CSTone,62,92.367,20.53,25.66,108.49,0,1674,September
210906-8,VF092921_103213,day2_trial4,Chamber 2,Control,female,APOE22HN,Day2_Exploration,13,16.767,3.73,3.73,128.09,0,1674,September
,,,,,,,,,,,,,,,
210906-9,VF092921_104429,day2_trial5,Chamber1,HFD,female,APOE44,Day2_Acclimation,23,26.233,5.83,14.57,119.19,0,1002,September
210906-9,VF092921_104429,day2_trial5,Chamber1,HFD,female,APOE44,Day2_CSTone,59,129.433,28.76,35.95,47.68,0,2253,September
210906-9,VF092921_104429,day2_trial5,Chamber1,HFD,female,APOE44,Day2_Exploration,19,32.833,7.3,7.3,46.91,0,627,September
,,,,,,,,,,,,,,,
210906-10,VF092921_104429,day2_trial5,Chamber 2,HFD,female,APOE44,Day2_Acclimation,30,72.433,16.1,40.24,69.61,0,1335,September
210906-10,VF092921_104429,day2_trial5,Chamber 2,HFD,female,APOE44,Day2_CSTone,61,189.767,42.17,52.71,14.11,0,537,September
210906-10,VF092921_104429,day2_trial5,Chamber 2,HFD,female,APOE44,Day2_Exploration,20,46.867,10.41,10.41,23.89,0,437,September
,,,,,,,,,,,,,,,
210906-11,VF092921_105501,day2_trial6,Chamber1,HFD,female,APOE44,Day2_Acclimation,1,0.533,0.12,0.3,193.35,0,1177,September
210906-11,VF092921_105501,day2_trial6,Chamber1,HFD,female,APOE44,Day2_CSTone,42,38.767,8.61,10.77,113.93,0,1046,September
210906-11,VF092921_105501,day2_trial6,Chamber1,HFD,female,APOE44,Day2_Exploration,6,4.3,0.96,0.96,115.79,0,1046,September
,,,,,,,,,,,,,,,
210906-12,VF092921_105501,day2_trial6,Chamber 2,HFD,female,APOE44,Day2_Acclimation,9,18.5,4.11,10.28,131.89,0,1516,September
210906-12,VF092921_105501,day2_trial6,Chamber 2,HFD,female,APOE44,Day2_CSTone,32,230.8,51.29,64.11,13.31,0,3300,September
210906-12,VF092921_105501,day2_trial6,Chamber 2,HFD,female,APOE44,Day2_Exploration,19,81.8,18.18,18.18,3.53,0,206,September
,,,,,,,,,,,,,,,
210906-13,VF092921_110535,day2_trial7,Chamber1,HFD,female,APOE44,Day2_Acclimation,9,25.467,5.66,14.15,169.85,0,1377,September
210906-13,VF092921_110535,day2_trial7,Chamber1,HFD,female,APOE44,Day2_CSTone,26,162,36,45,65.2,0,1179,September
210906-13,VF092921_110535,day2_trial7,Chamber1,HFD,female,APOE44,Day2_Exploration,7,35.433,7.87,7.87,100.25,0,839,September
,,,,,,,,,,,,,,,
210906-14,VF092921_110535,day2_trial7,Chamber 2,HFD,female,APOE44,Day2_Acclimation,5,3.067,0.68,1.7,195.94,0,1652,September
210906-14,VF092921_110535,day2_trial7,Chamber 2,HFD,female,APOE44,Day2_CSTone,81,89.133,19.81,24.76,90.17,0,3103,September
210906-14,VF092921_110535,day2_trial7,Chamber 2,HFD,female,APOE44,Day2_Exploration,21,15.867,3.53,3.53,83.01,0,981,September
,,,,,,,,,,,,,,,
210906-15,VF092921_111555,day2_trial8,Chamber1,HFD,female,APOE44,Day2_Acclimation,14,14.767,3.28,8.2,216.96,0,1466,September
210906-15,VF092921_111555,day2_trial8,Chamber1,HFD,female,APOE44,Day2_CSTone,69,115.633,25.7,32.12,67.5,0,928,September
210906-15,VF092921_111555,day2_trial8,Chamber1,HFD,female,APOE44,Day2_Exploration,19,15,3.33,3.33,104.83,0,868,September
,,,,,,,,,,,,,,,
210906-16,VF092921_111555,day2_trial8,Chamber 2,HFD,female,APOE44,Day2_Acclimation,20,17.367,3.86,9.65,148.98,0,1272,September
210906-16,VF092921_111555,day2_trial8,Chamber 2,HFD,female,APOE44,Day2_CSTone,70,137.433,30.54,38.18,53.22,0,1419,September
210906-16,VF092921_111555,day2_trial8,Chamber 2,HFD,female,APOE44,Day2_Exploration,32,38.567,8.57,8.57,36.72,0,760,September
,,,,,,,,,,,,,,,
210906-17,VF092921_112618,day2_trial9,Chamber1,HFD,female,APOE44,Day2_Acclimation,2,1.8,0.4,1,226.59,0,1252,September
210906-17,VF092921_112618,day2_trial9,Chamber1,HFD,female,APOE44,Day2_CSTone,44,98.1,21.8,27.25,75.96,0,1083,September
210906-17,VF092921_112618,day2_trial9,Chamber1,HFD,female,APOE44,Day2_Exploration,4,5.733,1.27,1.27,149.38,0,1083,September
,,,,,,,,,,,,,,,
210906-18,VF092921_112618,day2_trial9,Chamber 2,HFD,female,APOE44,Day2_Acclimation,18,8.5,1.89,4.72,99.27,0,975,September
210906-18,VF092921_112618,day2_trial9,Chamber 2,HFD,female,APOE44,Day2_CSTone,78,119.1,26.47,33.08,40.49,0,1094,September
210906-18,VF092921_112618,day2_trial9,Chamber 2,HFD,female,APOE44,Day2_Exploration,21,35.367,7.86,7.86,38.11,0,880,September
,,,,,,,,,,,,,,,
210906-19,VF092921_113655,day2_trial10,Chamber1,HFD,male,APOE44,Day2_Acclimation,31,74.9,16.64,41.61,63.22,0,937,September
210906-19,VF092921_113655,day2_trial10,Chamber1,HFD,male,APOE44,Day2_CSTone,60,127.833,28.41,35.51,54.6,0,1053,September
210906-19,VF092921_113655,day2_trial10,Chamber1,HFD,male,APOE44,Day2_Exploration,19,27.6,6.13,6.13,74.19,0,848,September
,,,,,,,,,,,,,,,
210906-20,VF092921_113655,day2_trial10,Chamber 2,HFD,male,APOE44,Day2_Acclimation,22,45.633,10.14,25.35,76.33,0,878,September
210906-20,VF092921_113655,day2_trial10,Chamber 2,HFD,male,APOE44,Day2_CSTone,38,191.1,42.47,53.08,19.56,0,723,September
210906-20,VF092921_113655,day2_trial10,Chamber 2,HFD,male,APOE44,Day2_Exploration,13,38.833,8.63,8.63,30.19,0,415,September
,,,,,,,,,,,,,,,
210906-21,VF092921_114742,day2_trial11,Chamber1,HFD,male,APOE44,Day2_Acclimation,5,3,0.67,1.67,193.32,0,1349,September
210906-21,VF092921_114742,day2_trial11,Chamber1,HFD,male,APOE44,Day2_CSTone,79,170,37.78,47.22,48.95,0,861,September
210906-21,VF092921_114742,day2_trial11,Chamber1,HFD,male,APOE44,Day2_Exploration,14,25.367,5.64,5.64,107.94,0,861,September
,,,,,,,,,,,,,,,
210906-22,VF092921_114742,day2_trial11,Chamber 2,HFD,male,APOE44,Day2_Acclimation,33,79.433,17.65,44.13,69.87,0,1050,September
210906-22,VF092921_114742,day2_trial11,Chamber 2,HFD,male,APOE44,Day2_CSTone,35,188.233,41.83,52.29,28.39,0,1121,September
210906-22,VF092921_114742,day2_trial11,Chamber 2,HFD,male,APOE44,Day2_Exploration,14,20.467,4.55,4.55,76.62,0,1121,September
,,,,,,,,,,,,,,,
210906-23,VF092921_115821,day2_trial12,Chamber1,Control,female,APOE44,Day2_Acclimation,13,10.4,2.31,5.78,214.14,0,1432,September
210906-23,VF092921_115821,day2_trial12,Chamber1,Control,female,APOE44,Day2_CSTone,81,116.167,25.81,32.27,67.23,0,2533,September
210906-23,VF092921_115821,day2_trial12,Chamber1,Control,female,APOE44,Day2_Exploration,15,12.733,2.83,2.83,95.57,0,768,September
,,,,,,,,,,,,,,,
210906-24,VF092921_115821,day2_trial12,Chamber 2,Control,female,APOE44,Day2_Acclimation,27,33.733,7.5,18.74,162.18,0,1362,September
210906-24,VF092921_115821,day2_trial12,Chamber 2,Control,female,APOE44,Day2_CSTone,76,161.833,35.96,44.95,45.58,0,1382,September
210906-24,VF092921_115821,day2_trial12,Chamber 2,Control,female,APOE44,Day2_Exploration,21,44.533,9.9,9.9,51.02,0,800,September
,,,,,,,,,,,,,,,
211004-1,VF102721_100039,day2_trial1,Chamber1,Control,male,APOE33,Day2_Acclimation,52,59.1,13.13,32.83,73.88,0,1009,October
211004-1,VF102721_100039,day2_trial1,Chamber1,Control,male,APOE33,Day2_CSTone,49,134.3,29.84,37.31,61.36,0,1180,October
211004-1,VF102721_100039,day2_trial1,Chamber1,Control,male,APOE33,Day2_Exploration,14,16.3,3.62,3.62,112.04,0,1180,October
,,,,,,,,,,,,,,,
211004-2,VF102721_100039,day2_trial1,Chamber 2,Control,male,APOE33,Day2_Acclimation,32,42.133,9.36,23.41,157.9,0,1517,October
211004-2,VF102721_100039,day2_trial1,Chamber 2,Control,male,APOE33,Day2_CSTone,61,127.467,28.33,35.41,65.6,0,3857,October
211004-2,VF102721_100039,day2_trial1,Chamber 2,Control,male,APOE33,Day2_Exploration,11,9.467,2.1,2.1,108.84,0,935,October
,,,,,,,,,,,,,,,
211004-3,VF102721_101020,day2_trial2,Chamber1,Control,male,APOE33,Day2_Acclimation,26,27.433,6.1,15.24,141.52,0,1373,October
211004-3,VF102721_101020,day2_trial2,Chamber1,Control,male,APOE33,Day2_CSTone,32,143.733,31.94,39.93,53.41,0,788,October
211004-3,VF102721_101020,day2_trial2,Chamber1,Control,male,APOE33,Day2_Exploration,7,5.6,1.24,1.24,121.51,0,788,October
,,,,,,,,,,,,,,,
211004-5,VF102721_101020,day2_trial2,Chamber 2,HFD,female,APOE33,Day2_Acclimation,3,2.667,0.59,1.48,239.1,0,1553,October
211004-5,VF102721_101020,day2_trial2,Chamber 2,HFD,female,APOE33,Day2_CSTone,52,86.4,19.2,24,117.5,0,1423,October
