"","Animal","Genotype","Diet","Day","Sex","Time","Distance","TimeNorm","DistNorm","Quadrant"
"149","190715_10","E22","Control","Probe_D8","M",13.5,0.2867,0.225,0.262882816798093,"SW"
"150","190715_5","E22","Control","Probe_D8","M",25.9,0.5443,0.431666666666667,0.425068332682546,"SW"
"151","190715_6","E22","Control","Probe_D8","M",32.7,0.6701,0.545,0.518212048565463,"SW"
"152","190715_7","E22","Control","Probe_D8","F",36.5,0.6072,0.608333333333333,0.538775510204082,"SW"
"153","190715_8","E22","Control","Probe_D8","F",25.3,0.5365,0.421666666666667,0.412185003073141,"SW"
"154","190715_9","E22","Control","Probe_D8","M",18.8,0.409,0.313333333333333,0.33338767525269,"SW"
"155","191028_3","E22","Control","Probe_D8","F",22.3,0.4606,0.371666666666667,0.365207738661592,"SW"
"156","191028_4","E22","Control","Probe_D8","F",47.6,0.7823,0.792013311148086,0.767412203256818,"SW"
"157","191028_5","E22","Control","Probe_D8","F",24.9,0.5634,0.414309484193012,0.438477702544945,"SW"
"158","191028_6","E22","Control","Probe_D8","M",10.7,0.2453,0.178333333333333,0.203873005319149,"SW"
"159","191028_7","E22","Control","Probe_D8","M",18.7,0.4069,0.311666666666667,0.330302784316909,"SW"
"160","210222_16","E22","Control","Probe_D8","M",22.2,0.4689,0.54014598540146,0.510951291271657,"SW"
"161","210222_17","E22","Control","Probe_D8","F",19.2,0.4269,0.327086882453152,0.320519558525415,"SW"
"162","210503-18","E22","Control","Probe_D8","M",17.8,0.4281,0.346978557504873,0.35488684406864,"SW"
"163","210503-19","E22","Control","Probe_D8","M",8.6,0.154,0.230563002680965,0.190429083714604,"SW"
"164","210503-20","E22","Control","Probe_D8","M",22.9,0.4816,0.442940038684719,0.449421425905188,"SW"
"165","210503-21","E22","Control","Probe_D8","F",15.8,0.3714,0.300380228136882,0.312784234461849,"SW"
"166","210503-22","E22","Control","Probe_D8","F",16.9,0.3425,0.326254826254826,0.313128542695191,"SW"
"167","190715_1","E33","Control","Probe_D8","M",15.3,0.3493,0.255,0.252238590410168,"SW"
"168","190715_2","E33","Control","Probe_D8","M",25.4,0.5532,0.423333333333333,0.394860813704497,"SW"
"169","190715_3","E33","Control","Probe_D8","M",32.9,0.6132,0.547420965058236,0.555434782608696,"SW"
"170","190909_2","E33","Control","Probe_D8","M",15.2,0.363,0.253333333333333,0.251873438800999,"SW"
"171","190909_3","E33","Control","Probe_D8","F",19.9,0.4031,0.332775919732441,0.364433595515776,"SW"
"172","190909_4","E33","Control","Probe_D8","F",16.2,0.3869,0.27979274611399,0.277188708984095,"SW"
"173","190909_8","E33","Control","Probe_D8","M",8.4,0.1966,0.14,0.137396044447551,"SW"
"174","190909_9","E33","Control","Probe_D8","F",5.3,0.1178,0.0884808013355593,0.109510086455331,"SW"
"175","210118-15","E33","HFD","Probe_D8","F",45.3,0.642,0.755,0.757432751297782,"SW"
"176","210118-16","E33","HFD","Probe_D8","F",40.6,0.7035,0.67779632721202,0.647253657190174,"SW"
"177","210118-17","E33","HFD","Probe_D8","F",39.3,0.7932,0.653910149750416,0.648410038420665,"SW"
"178","210118-18","E33","HFD","Probe_D8","F",21.4,0.437,0.356666666666667,0.372009874861667,"SW"
"179","210118-19","E33","HFD","Probe_D8","F",35.9,0.6706,0.598333333333333,0.570432119768629,"SW"
"180","210118-20","E33","HFD","Probe_D8","F",24.8,0.4669,0.413333333333333,0.417658108954289,"SW"
"181","210118-21","E33","HFD","Probe_D8","F",39.2,0.7215,0.653333333333333,0.628922594142259,"SW"
"182","210118-22","E33","HFD","Probe_D8","M",30,0.5005,0.5,0.448919185577182,"SW"
"183","210118-23","E33","HFD","Probe_D8","M",42.7,0.575,0.711666666666667,0.679267572356763,"SW"
