"","Group.1","Group.2","Group.3","Group.4","Test","Animal","Treatment","Diet","APOE","Sex","Code","Stage","Trial","LaunchQuad","Apparatus","Date","Winding","Duration","Distance","Mean.speed","NE.time","NE.distance","NE...average.speed","NW.time","NW.distance","NW...average.speed","SE.time","SE.distance","SE...average.speed","SW.time","SW.distance","SW...average.speed","NormSWTime","NormSWDist","Island...distance.to.first.entry","Island...latency.to.first.entry","Thigmitaxis...time","Thigmitaxis...distance","Thigmitaxis...average.speed","SW...latency.to.first.entry","residuals"
"1",12,1,1,1,30,12,NA,NA,1,1,NA,1,3,NA,NA,NA,23.743618955,53.85,0.86895,0.158,18.05,0.2939,0.153,8.9,0.1538,0.1705,13.4,0.238,0.169,13.5,0.1833,0.174,0.27227463312369,0.254560783437104,NA,NA,37.9,5.854,0.1505,NA,3.69221897090795
"2",15,1,1,1,25,15,NA,NA,1,1,NA,1,3,NA,NA,NA,15.1172903045,35.25,0.70725,0.193,17.35,0.36865,0.216,9.55,0.16905,0.1885,4.9,0.1139,0.2625,3.4,0.05565,0.1695,0.205952380952381,0.140767398166099,NA,NA,18.85,3.863,NA,NA,-6.98549223580256
"3",16,1,1,1,26,16,NA,NA,1,1,NA,1,3,NA,NA,NA,25.61990485,60,1.1674,0.1945,18.45,0.378,0.205,21.05,0.3888,0.1745,8.45,0.1691,0.2135,12.05,0.23155,0.195,0.200833333333333,0.206073471281711,NA,NA,35.9,6.697,0.19,NA,1.63974871248125
"4",17,1,1,1,27,17,NA,NA,1,1,NA,1,3,NA,NA,NA,30.008429095,60,0.95195,0.1585,9.65,0.1833,0.1905,21.3,0.30425,0.1665,21.65,0.32695,0.1455,7.35,0.1375,NA,0.1225,0.123086563423149,NA,NA,39.05,5.3405,0.142,NA,-2.46603404633089
"5",18,1,1,1,28,18,NA,NA,1,1,NA,1,3,NA,NA,NA,30.509366585,41.95,0.6456,0.152,2.55,0.05745,NA,18.55,0.24875,0.136,10.1,0.1699,NA,10.8,0.1695,0.1575,0.304612970711297,0.313842683958275,NA,NA,13.65,2.1755,0.313,NA,1.09125517777248
"6",19,1,1,1,29,19,NA,NA,1,1,NA,1,3,NA,NA,NA,18.46991378,32.05,0.64385,0.222,3.05,0.0663,NA,11,0.25415,0.238,9.4,0.16075,NA,8.6,0.1626,0.2055,0.331589095940416,0.309533292547796,6.35,30,14.75,2.78,0.2535,NA,-2.26416723564836
"7",25,1,1,1,11,25,NA,NA,1,1,NA,1,3,NA,NA,NA,21.188620345,55.05,0.94625,0.1715,9.7,0.169,0.188,8,0.1282,0.1405,22.2,0.40905,0.183,15.1,0.24005,0.159,0.277025948103792,0.256180044990332,NA,NA,28.85,4.322,0.15,NA,5.06938750546239
"8",26,1,1,1,12,26,NA,NA,1,1,NA,1,3,NA,NA,NA,14.554370585,44.65,0.82895,0.1815,8.35,0.12335,NA,6,0.1219,0.19,18.85,0.363,0.1895,11.45,0.2207,0.1905,0.274655858930603,0.288260550714306,NA,NA,16.55,2.867,0.165,NA,1.25432716068798
"9",27,1,1,1,13,27,NA,NA,1,1,NA,1,3,NA,NA,NA,19.37563156,60,1.1247,0.1875,12.95,0.26355,0.202,8,0.14805,0.186,21.85,0.4007,0.1825,17.2,0.3124,0.1845,0.286666666666667,0.278667509948101,NA,NA,28.3,4.7345,0.1655,NA,6.90529095382334
"10",28,1,1,1,14,28,NA,NA,1,1,NA,1,3,NA,NA,NA,10.79689598,33.75,0.63435,0.1845,12.85,0.2132,NA,7.85,0.16575,NA,6.25,0.12555,0.192,6.7,0.1298,0.191,0.420833333333333,0.427312797508094,NA,NA,17.3,3.194,0.1615,NA,-3.54519094274434
