QA,PumpGroup,NameGroup,Source,CIVM_ID,Treatment,BadeaID,OldBadeaID,Geno,Sex_other,IDStripped,TestDate,Age_Substracted,DOB,Weight,Perfusion ,Age_Months,Age_Imaging,Age_Years,Age_Label,Specimens ID,DWI,GRE,T1,T2,Notes,AgeExVivoMRI,Diet,Age_Handling,Unnamed: 28,age
,1,original_2019_scans,In House,190610_1,Control,190610_1,190610_1,APOE44,male,190610,6/10/19,14,4/3/18,30.7,8/8/15,16.2,16,1.35,,190610_1:1,N57437,N57439,,,,16.2,Control,,,14
,2,original_2019_scans,In House,190610_6,Control,190610_6,190610_6,APOE44,female,190610,6/10/19,14,4/3/18,25.6,8/8/15,16.2,16,1.35,,190610_6:1,N57442,N57443,140,28,,16.2,Control,,,14
,3,original_2019_scans,In House,190610_2:1,Control,190610_2,190610_2,APOE44,male,190610,6/10/19,14,4/3/18,32.1,8/8/15,16.2,16,1.35,,190610_2:1,N57446,N57445,140,25,,16.2,Control,,,14
,4,original_2019_scans,In House,190610_7:1,Control,190610_7,190610_7,APOE44,female,190610,6/10/19,14,4/3/18,28.7,8/8/15,16.2,16,1.35,,190610_7:1,N57447,N57448,115,26,,16.2,Control,,,14
,5,original_2019_scans,In House,190610_3:1,Control,190610_3,190610_3,APOE44,male,190610,6/10/19,14,4/3/18,31.6,8/8/15,16.2,16,1.35,,190610_3:1,N57449,N57450,115,26,,16.2,Control,,,14
,6,original_2019_scans,In House,190610_8:1,Control,190610_8,190610_8,APOE44,female,190610,6/10/19,14,4/3/18,25.7,8/8/15,16.2,16,1.35,,190610_8:1,N57451,N57517,117,28,,16.2,Control,,,14
,7,original_2019_scans,In House,190715_7:1,Control,190715_7,190715_7,APOE22,female,190715,7/15/19,13,5/26/18,27.5,9/12/15,15.57,16,1.3,,190715_7:1,N57496,N57497,102,22,,15.57,Control,,,14
,8,original_2019_scans,In House,190715_6:1,Control,190715_6,190715_6,APOE22,male,190715,7/15/19,13,5/26/18,30.3,9/12/15,15.57,16,1.3,,190715_6:1,N57498,N57499,115,23,,15.57,Control,,,14
,9,original_2019_scans,In House,190715_8:1,Control,190715_8,190715_8,APOE22,female,190715,7/15/19,13,5/26/18,28,9/12/15,15.57,16,1.3,,190715_8:1,N57500,N57501,108,22,,15.57,Control,,,14
,10,original_2019_scans,In House,190715_9:1,Control,190715_9,190715_9,APOE22,male,190715,7/15/19,13,5/26/18,29.3,9/12/15,15.57,16,1.3,,190715_9:1,N57502,N57503,114,24,,15.57,Control,,,14
