UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	17
1	17
15	6
28	7
12	3
11	1
10	1
21	0
12	0
19	2
5	1
0	0
0	0
0	0
0	0
2	8
0	8
17	2
0	0
0	0
8	3
0	3
0	0
0	0
0	1
0	1
0	0
3	0
0	0
0	0
0	1
0	1
0	3
0	2
0	2
0	0
0	0
0	0
0	1
0	1
0	1
0	1
0	0
0	2
0	0
0	0
0	3
0	3
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	3
0	6
0	6
1	0
0	8
0	0
0	0
0	2
0	1
1	0
1	0
0	0
0	4
0	4
0	3
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	2
0	2
0	0
0	0
0	8
0	4
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	2
0	2
0	0
0	0
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	4
0	3
0	3
0	0
0	0
0	0
0	0
1	2
0	3
0	0
0	3
0	0
0	3
0	3
1	0
0	0
0	0
1	0
0	3
2	0
2	4
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	6
4	0
10	0
6	0
1	2
6	0
8	0
0	0
0	0
0	0
0	0
0	27
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	24
0	27
0	27
0	8
0	6
0	0
0	0
0	0
0	1
0	6
0	27
0	8
0	5
0	8
0	0
0	0
0	8
0	0
0	6
0	6
0	6
0	0
0	0
0	0
2	25
4	0
0	25
0	25
0	0
0	24
0	0
0	5
0	5
0	5
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	0
0	0
22	142
16	180
0	39
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
1	3
0	0
1	20
0	11
0	0
0	0
3	836
8	65
0	17
0	838
18	55
0	16
0	54
0	39
0	0
0	0
22	22
0	0
0	0
0	182
0	180
0	174
0	180
0	174
0	180
0	174
0	0
0	0
0	0
0	180
13	201
1	212
0	182
0	0
0	0
0	0
0	0
0	0
0	0
0	0
14	799
0	55
15	14
3	55
26	29
0	55
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	0
1	12
14	15
0	9
0	2
0	0
6	2
0	0
0	0
0	0
0	0
