,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSMUSG00000000001,240.2736712,0.193849769,0.283513389,0.129356257,0.687103153
ENSMUSG00000000028,24.80725419,0.070175536,0.238254326,0.287009401,0.890725263
ENSMUSG00000000037,0.383539679,0.006607211,0.233417455,0.692276307,0.999871382
ENSMUSG00000000049,18.65109151,-0.052479075,0.238761967,0.171949128,0.759855834
ENSMUSG00000000056,452.6594528,0.342552003,0.31316869,0.039194098,0.419514648
ENSMUSG00000000058,8.600815322,0.020759486,0.232021728,0.535785923,0.999871382
ENSMUSG00000000078,699.3896083,0.181363465,0.236047123,0.170118898,0.757216816
ENSMUSG00000000085,110.745201,-0.523043095,0.48538746,0.012943009,0.245292332
ENSMUSG00000000088,1909.046186,0.053787155,0.174228713,0.64129917,0.999871382
ENSMUSG00000000093,4.635638445,0.006178754,0.232871804,0.552482318,0.999871382
ENSMUSG00000000094,0.139041316,-0.002766968,0.233359847,0.700661568,0.999871382
ENSMUSG00000000120,29.66774197,0.007420849,0.22657987,0.893871095,0.999871382
ENSMUSG00000000126,0.273451748,0.000544801,0.233284293,0.861472581,0.999871382
ENSMUSG00000000127,81.5637113,-0.060223058,0.221690624,0.487019651,0.999871382
ENSMUSG00000000131,982.7281426,-0.078942535,0.173469673,0.509204692,0.999871382
ENSMUSG00000000134,456.559931,0.173485976,0.203609959,0.191267132,0.786447909
ENSMUSG00000000142,22.34852902,0.009981807,0.228229085,0.854220672,0.999871382
ENSMUSG00000000148,182.0821636,-0.072912406,0.214388117,0.483897539,0.999871382
ENSMUSG00000000149,204.2196412,0.556908725,0.32211841,0.008544376,0.196867149
ENSMUSG00000000154,8.406207592,-0.009590085,0.230621797,0.805475051,0.999871382
ENSMUSG00000000157,21.70063711,0.014616608,0.228266457,0.737341335,0.999871382
ENSMUSG00000000159,0.398409959,-0.001366242,0.233301894,0.73189694,0.999871382
ENSMUSG00000000167,1.382972322,0.034668113,0.236850379,0.170226377,0.757541837
ENSMUSG00000000168,90.47950433,0.028025056,0.223432024,0.689669998,0.999871382
ENSMUSG00000000171,211.474426,0.181480614,0.238527068,0.172163858,0.759903816
ENSMUSG00000000183,1.088128162,-0.013892482,0.233476787,0.549403131,0.999871382
ENSMUSG00000000184,610.3731681,-0.118948984,0.209041576,0.338327458,0.9283847
ENSMUSG00000000194,318.0005089,-0.098335975,0.193577895,0.415249222,0.972442556
ENSMUSG00000000197,0.974911617,0.003637692,0.232643796,0.63409523,0.999871382
ENSMUSG00000000202,0.703682904,-0.0066065,0.23343459,0.622470831,0.999871382
ENSMUSG00000000204,262.4695185,0.091239772,0.239036799,0.274400809,0.877511157
ENSMUSG00000000216,0.109015991,0.003243328,0.233353596,0.67494744,0.999871382
ENSMUSG00000000223,9.442938769,0.009381355,0.229804551,0.811600851,0.999871382
ENSMUSG00000000244,542.3810667,0.033882071,0.172711859,0.771853277,0.999871382
ENSMUSG00000000248,20.25583538,0.011216902,0.228786125,0.849605997,0.999871382
ENSMUSG00000000253,1034.705561,-0.002470869,0.203068335,0.977556574,0.999871382
ENSMUSG00000000266,2.077683847,0.030475867,0.231566614,0.482896823,0.999871382
ENSMUSG00000000275,540.8006396,0.234519512,0.224730984,0.094690758,0.613522434
ENSMUSG00000000276,40.75330414,0.099183033,0.244563911,0.248400763,0.847944237
ENSMUSG00000000278,367.0621494,0.098221042,0.210435031,0.401274264,0.963928927
ENSMUSG00000000282,269.8584453,0.019617741,0.187225993,0.864713617,0.999871382
ENSMUSG00000000290,5366.081596,0.229290263,0.184810417,0.087439435,0.593616721
ENSMUSG00000000295,72.08821203,-0.049602977,0.219406085,0.55854655,0.999871382
ENSMUSG00000000301,17.4671276,-0.069879935,0.245920971,0.061771696,0.513477681
ENSMUSG00000000303,8.324534787,0.047406543,0.236733298,0.212547427,0.810804598
ENSMUSG00000000308,0.765235761,-0.000539495,0.233167526,0.761247102,0.999871382
ENSMUSG00000000317,0.981232935,0.002305166,0.233198585,0.686553425,0.999871382
ENSMUSG00000000318,58.57247376,-0.16624655,0.284226429,0.114008139,0.659163917
ENSMUSG00000000320,18974.64492,0.165023935,0.249572964,0.165019593,0.747485989
ENSMUSG00000000326,7230.268448,-0.050550724,0.226793763,0.431077594,0.978604897
ENSMUSG00000000339,153.9345364,-0.133245431,0.193866008,0.278961736,0.880668696
ENSMUSG00000000340,60.58839056,-0.064858082,0.222080597,0.480138681,0.999871382
ENSMUSG00000000346,15370.00739,0.08318554,0.221804692,0.377923444,0.951057967
ENSMUSG00000000355,91.77642466,-0.033266621,0.213626103,0.711348859,0.999871382
ENSMUSG00000000359,11.71271049,0.019125237,0.231030661,0.624206587,0.999871382
ENSMUSG00000000365,2.790874514,0.004702553,0.232738845,0.901380337,0.999871382
ENSMUSG00000000374,193.0005206,0.162977665,0.284074224,0.113940534,0.659163917
ENSMUSG00000000378,858.0282737,0.052236056,0.142695553,0.648333223,0.999871382
ENSMUSG00000000384,329.6778893,-0.008431554,0.195570068,0.934580258,0.999871382
ENSMUSG00000000385,0.137812725,-0.000117281,0.233278613,0.971810505,0.999871382
ENSMUSG00000000386,67.07249952,-0.035945824,0.22517954,0.620347684,0.999871382
ENSMUSG00000000392,3.323959998,0.032710348,0.235171149,0.226297845,0.824452855
ENSMUSG00000000399,344.5997242,-0.45975533,0.359565414,0.017747077,0.288078603
ENSMUSG00000000402,2.404797137,0.008180242,0.231735287,0.752734764,0.999871382
ENSMUSG00000000409,952.617396,-0.158379987,0.239436153,0.201753585,0.797868469
ENSMUSG00000000411,0.743217425,0.001137107,0.233315002,0.902248341,0.999871382
ENSMUSG00000000420,3210.284403,0.167347557,0.260187411,0.136982156,0.70173028
